#  	Player  	GM  	KI  	MK  	HB  	DI  	DA  	GL  	BH  	HO  	TK  	RB  	IF  	CL  	CG  	FF  	FA  	BR  	CP  	UP  	CM  	MI  	1%  	BO  	GA  	%P  	SU  
30	Milera, Wayne	7	111	40	64	175	25.00	 	 	 	13	39	14	8	15	1	4	 	42	103	3	 	9	4	1	80.3	 
24	Worrell, Josh	7	110	47	61	171	24.43	 	 	 	9	46	14	3	21	4	7	 	44	99	1	 	30	4	 	85.7	 
8	Rachele, Josh	7	100	26	53	153	21.86	10	2	 	23	13	30	29	32	7	10	 	63	83	 	4	4	2	2	81.6	 
3	Berry, Sam	7	77	14	74	151	21.57	1	4	1	45	11	20	36	26	9	8	 	90	74	 	1	11	4	2	74.0	 
25	Peatling, James	7	89	16	51	140	20.00	2	3	 	34	10	22	36	17	11	5	 	67	71	2	 	5	1	5	73.0	 
12	Dawson, Jordan	5	83	21	40	123	24.60	6	 	 	23	14	21	18	16	7	4	 	42	72	2	2	7	1	2	82.0	 
29	Laird, Rory	5	71	36	51	122	24.40	 	 	 	5	16	5	4	13	2	1	 	26	86	 	 	9	1	2	77.2	 
15	Cook, Brayden	7	78	34	42	120	17.14	4	3	 	9	19	16	5	13	3	2	 	37	81	1	3	13	3	6	81.4	 
28	Neal-Bullen, Alex	6	66	23	39	105	17.50	5	5	 	16	6	20	5	23	3	5	 	38	66	1	7	5	 	4	83.2	 
16	Michalanney, Max	7	65	42	37	102	14.57	 	 	 	22	25	6	4	13	5	6	 	31	70	4	1	14	 	2	81.1	 
2	Keays, Ben	7	58	17	42	100	14.29	7	5	 	20	2	17	7	26	4	9	 	37	53	 	6	6	1	7	86.9	 
23	Rankine, Izak	6	64	15	34	98	16.33	7	8	 	20	7	20	12	21	6	7	 	47	49	2	3	10	6	3	80.8	 
7	Thilthorpe, Riley	7	71	41	22	93	13.29	12	10	8	12	1	23	8	16	10	1	 	45	52	14	17	12	2	6	85.9	 
44	Cumming, Isaac	6	59	22	32	91	15.17	4	 	 	21	9	14	6	19	6	5	 	32	61	 	1	13	 	1	78.8	 
9	Murray, Nick	7	59	29	25	84	12.00	1	 	 	13	29	10	2	11	3	5	 	26	53	5	 	53	 	2	92.9	 
42	McAndrew, Lachlan	7	41	11	40	81	11.57	 	1	230	34	6	16	35	21	14	8	 	52	28	3	 	12	 	2	71.7	 
14	Soligo, Jake	5	40	11	31	71	14.20	3	1	 	22	3	13	10	7	5	5	 	31	36	 	4	3	 	7	71.4	 
13	Walker, Taylor	6	46	31	21	67	11.17	11	5	 	13	1	15	 	18	5	8	 	30	42	6	11	11	 	6	78.2	 
41	Butts, Jordon	5	37	25	26	63	12.60	1	1	 	3	17	5	1	12	2	8	 	24	39	4	 	32	 	 	93.2	 
21	Bond, Hugh	5	44	19	16	60	12.00	 	1	 	14	14	3	3	9	1	3	 	16	46	 	1	11	1	 	84.4	 
10	Pedlar, Luke	6	38	15	17	55	9.17	4	3	 	10	4	11	2	13	5	1	 	22	31	 	3	3	 	2	69.7	 
19	Taylor, Zac	5	35	21	20	55	11.00	4	1	 	8	3	14	1	6	4	1	 	17	42	 	3	9	1	2	72.0	 
27	Nankervis, Luke	3	18	6	18	36	12.00	 	1	 	5	3	3	2	6	2	2	 	11	24	1	 	3	 	 	60.3	 
1	Jones, Chayce	3	19	7	16	35	11.67	 	 	 	5	8	2	 	3	2	1	 	14	14	 	 	2	 	 	85.0	 
36	Maley, Finnbar	5	16	15	19	35	7.00	3	2	28	12	1	6	2	9	3	6	 	19	18	7	6	10	 	2	62.2	 
11	Edwards, Charlie	2	20	6	10	30	15.00	 	1	 	4	 	5	5	8	 	3	 	11	23	 	 	4	1	1	73.0	 
32	Fogarty, Darcy	3	18	10	8	26	8.67	4	2	 	8	 	4	 	13	1	4	 	12	14	 	5	3	 	2	76.0	 
4	Ah Chee, Callum	2	9	7	11	20	10.00	 	2	 	2	1	4	3	3	1	2	 	9	14	 	1	5	 	 	64.5	 
39	Murray, Toby	2	10	6	3	13	6.50	 	 	13	2	1	 	 	4	2	 	 	5	8	 	2	2	 	 	45.0	 
35	Borlase, James	2	8	4	3	11	5.50	 	1	 	4	3	1	 	1	1	 	 	5	5	2	 	31	 	 	90.0	 
20	Hinge, Mitch	1	6	1	4	10	10.00	 	 	 	1	1	1	1	 	1	 	 	4	4	 	 	1	 	 	37.0	 
43	OBrien, Reilly	1	2	1	1	3	3.00	 	 	15	1	 	 	2	2	1	 	 	2	1	 	 	2	 	 	35.0	 
32 players used	1568	619	931	2499	15.52	89	62	295	433	313	355	250	417	131	131	 	951	1462	58	81	345	32	69	 	 
[Top]
Brisbane Lions [Players Game by Game][Team Game by Game]
#  	Player  	GM  	KI  	MK  	HB  	DI  	DA  	GL  	BH  	HO  	TK  	RB  	IF  	CL  	CG  	FF  	FA  	BR  	CP  	UP  	CM  	MI  	1%  	BO  	GA  	%P  	SU  
9	Neale, Lachie	7	102	45	116	218	31.14	 	2	 	15	12	33	54	16	3	1	 	94	121	3	1	7	2	4	85.4	 
8	Ashcroft, Will	7	116	34	83	199	28.43	3	2	 	26	12	30	39	32	6	8	 	64	127	1	3	3	5	2	84.1	 
44	Wilmot, Darcy	7	110	43	35	145	20.71	 	1	 	8	23	14	12	10	4	2	 	37	83	2	 	16	1	 	85.9	 
10	Ashcroft, Levi	7	87	44	57	144	20.57	1	5	 	10	10	13	8	9	3	1	 	39	108	1	1	8	1	3	78.4	 
5	Dunkley, Josh	7	62	33	82	144	20.57	 	2	 	40	7	17	17	16	3	6	 	59	80	4	1	12	 	2	78.6	 
3	Fletcher, Jaspa	7	91	44	43	134	19.14	2	 	 	15	18	19	5	16	3	7	 	30	98	 	 	10	4	2	84.0	 
