firstName,surname,id,team,season,jumperNumber,position,providerId,dateOfBirth,draftYear,heightInCm,weightInKg,recruitedFrom,debutYear,draftType,draftPosition,data_accessed
Izak,Rankine,1815,Adelaide,2026,23,MEDIUM_FORWARD,CD_I1001195,23/04/2000,2018,179,0,Flinders Park (SA)/Henley High School (SA)/W Adelaide (SANFL)/Gold Coast,2020,nationalDraft,3,27/04/2026
Isaac,Cumming,1386,Adelaide,2026,44,MIDFIELDER,CD_I1001396,11/08/1998,2016,188,0,North Broken Hill (NSW)/North Adelaide (SANFL)/WSU (NEAFL)/GWS GIANTS,2018,nationalDraft,20,27/04/2026
Mitchell,Hinge,1292,Adelaide,2026,20,MEDIUM_DEFENDER,CD_I1004863,28/06/1998,2020,187,0,Mundulla (SA)/Glenelg (SANFL)/Brisbane,2019,other,NA,27/04/2026
Jordon,Butts,1824,Adelaide,2026,41,KEY_DEFENDER,CD_I1004995,31/12/1999,2018,195,0,Shepparton Bears (Vic)/Murray U18,2020,rookieElevation,39,27/04/2026
James,Peatling,2541,Adelaide,2026,25,MIDFIELDER,CD_I1006013,21/08/2000,2021,186,0,Pennant Hills (NSW)/GWS Giants (VFL)/GWS GIANTS,2021,other,8,27/04/2026
Lachlan,Sholl,1761,Adelaide,2026,38,MIDFIELDER,CD_I1006136,7/03/2000,2018,186,0,St Bernard's (Vic)/St Bernard's College (Vic)/Calder U18,2020,nationalDraft,64,27/04/2026
Chayce,Jones,1782,Adelaide,2026,1,MEDIUM_DEFENDER,CD_I1006203,14/01/2000,2018,180,0,Launceston (Tas),2019,nationalDraft,9,27/04/2026
Nick,Murray,2474,Adelaide,2026,9,KEY_DEFENDER,CD_I1008230,18/12/2000,2020,195,0,Wangaratta Rovers/Adelaide (SANFL),2021,preseason,NA,27/04/2026
Riley,Thilthorpe,4046,Adelaide,2026,7,KEY_FORWARD,CD_I1008384,7/07/2002,2020,201,0,Goodwood (SA)/West Adelaide (SANFL),2021,nationalDraft,2,27/04/2026
James,Borlase,4050,Adelaide,2026,35,KEY_DEFENDER,CD_I1009029,18/07/2002,2023,192,0,Unley (SA)/Sturt (SANFL),2023,rookieElevation,20,27/04/2026
Josh,Worrell,2696,Adelaide,2026,24,MEDIUM_DEFENDER,CD_I1011981,11/04/2001,2019,195,0,Bentleigh (Vic)/Haileybury College (Vic)/Sandringham U18,2021,nationalDraft,28,27/04/2026
Luke,Pedlar,4049,Adelaide,2026,10,MEDIUM_FORWARD,CD_I1012218,17/05/2002,2020,183,0,Kingston (SA)/Prince Alfred College (SA)/Glenelg (SANFL),2021,nationalDraft,11,27/04/2026
Sam,Berry,2465,Adelaide,2026,3,MIDFIELDER,CD_I1012807,12/02/2002,2020,181,0,Maffra (Vic)/Melbourne Grammar (Vic)/Gippsland U18,2021,nationalDraft,28,27/04/2026
Mark,Keane,1901,Adelaide,2026,48,KEY_DEFENDER,CD_I1013974,17/03/2000,2018,194,0,County Cork (Ireland)/Collingwood,2020,other,NA,27/04/2026
Billy,Dowling,8619,Adelaide,2026,31,MIDFIELDER_FORWARD,CD_I1015329,1/07/2004,2022,187,0,Walkerville (SA)/St Peter's College (SA)/North Adelaide U18 (SA),2024,nationalDraft,43,27/04/2026
Max,Michalanney,8620,Adelaide,2026,16,MEDIUM_DEFENDER,CD_I1015370,26/02/2004,2022,190,0,Glenunga (SA)/Norwood (SANFL),2023,fatherSon,17,27/04/2026
Josh,Rachele,3232,Adelaide,2026,8,MIDFIELDER,CD_I1017051,11/04/2003,2021,180,0,Shepparton Swans (Vic)/Caulfield Grammar (Vic)/Murray U18,2022,nationalDraft,6,27/04/2026
Zac,Taylor,2378,Adelaide,2026,19,MEDIUM_FORWARD,CD_I1017065,31/01/2003,2021,180,0,Oak Park (Vic)/Penola Catholic College (Vic)/Calder U18,2024,nationalDraft,44,27/04/2026
Jake,Soligo,2770,Adelaide,2026,14,MIDFIELDER,CD_I1017109,25/01/2003,2021,179,0,Dromana (Vic)/Rowville Secondary College (Vic)/Eastern U18,2022,nationalDraft,36,27/04/2026
Brayden,Cook,4048,Adelaide,2026,15,MIDFIELDER,CD_I1018335,18/07/2002,2020,189,0,Happy Valley (SA)/South Adelaide (SANFL),2021,nationalDraft,25,27/04/2026
