fullName,firstName,lastName,sources,sourceCount
Adam Cooney,Adam,Cooney,Brownlow,1
Adam Goodes,Adam,Goodes,Brownlow,1
Alex Jesaulenko,Alex,Jesaulenko,Captain|Legend,2
Andrew Embley,Andrew,Embley,NormSmith,1
Andrew McLeod,Andrew,McLeod,NormSmith,1
Barrie Robran,Barrie,Robran,Legend,1
Barry Davis,Barry,Davis,Captain,1
Barry Hall,Barry,Hall,Captain,1
Ben Cousins,Ben,Cousins,Brownlow,1
Bernie Quinlan,Bernie,Quinlan,Brownlow|Coleman,2
Bill Hutchison,Bill,Hutchison,Legend,1
Billy Duckworth,Billy,Duckworth,NormSmith,1
Bob Pratt,Bob,Pratt,Legend,1
Bob Skilton,Bob,Skilton,Legend,1
Bobby Hill,Bobby,Hill,NormSmith,1
Brad Hardie,Brad,Hardie,Brownlow,1
Brendan Fevola,Brendan,Fevola,Coleman,1
Brian Lake,Brian,Lake,NormSmith,1
Brian Taylor,Brian,Taylor,Coleman,1
Brian Wilson,Brian,Wilson,Brownlow,1
Bruce Doull,Bruce,Doull,NormSmith,1
Bruce Monteath,Bruce,Monteath,Captain,1
Byron Pickett,Byron,Pickett,NormSmith,1
Cameron Ling,Cameron,Ling,Captain,1
Charlie Curnow,Charlie,Curnow,Coleman,1
Chris Judd,Chris,Judd,Brownlow|Captain|NormSmith,3
Christian Petracca,Christian,Petracca,NormSmith,1
Colin Robertson,Colin,Robertson,NormSmith,1
Cyril Rioli,Cyril,Rioli,NormSmith,1
Dane Swan,Dane,Swan,Brownlow,1
Darcy Moore,Darcy,Moore,Captain,1
Darrel Baldock,Darrel,Baldock,Legend,1
David Dench,David,Dench,Captain,1
David Neitz,David,Neitz,Coleman,1
David Parkin,David,Parkin,Captain,1
David Rhys-Jones,David,Rhys-Jones,NormSmith,1
Dean Kemp,Dean,Kemp,NormSmith,1
Dick Reynolds,Dick,Reynolds,Legend,1
Don Scott,Don,Scott,Captain,1
Doug Wade,Doug,Wade,Coleman,1
Dustin Martin,Dustin,Martin,Brownlow|NormSmith,2
Easton Wood,Easton,Wood,Captain,1
Fraser Gehrig,Fraser,Gehrig,Coleman,1
Gary Ablett,Gary,Ablett,Brownlow,1
Gary Ablett Sr.,Gary,Ablett Sr.,Coleman|NormSmith,2
Gary Ayres,Gary,Ayres,NormSmith,1
Gary Dempsey,Gary,Dempsey,Brownlow,1
Gavin Wanganeen,Gavin,Wanganeen,Brownlow,1
Gerard Healy,Gerard,Healy,Brownlow,1
Glenn Archer,Glenn,Archer,NormSmith,1
Gordon Coventry,Gordon,Coventry,Legend,1
Graham Farmer,Graham,Farmer,Legend,1
Graham Moss,Graham,Moss,Brownlow,1
Graham Teasdale,Graham,Teasdale,Brownlow,1
Greg Williams,Greg,Williams,Brownlow|NormSmith,2
Harris Andrews,Harris,Andrews,Captain,1
Harry McKay,Harry,McKay,Coleman,1
Haydn Bunton senior,Haydn,Bunton senior,Legend,1
Ian Stewart,Ian,Stewart,Brownlow|Legend,2
Isaac Smith,Isaac,Smith,NormSmith,1
Jack Dyer,Jack,Dyer,Legend,1
Jack Oatey,Jack,Oatey,Legend,1
Jack Riewoldt,Jack,Riewoldt,Coleman,1
James 'Jock' McHale,James,'Jock' McHale,Legend,1
James Hird,James,Hird,Captain|NormSmith,2
Jarrad McVeigh,Jarrad,McVeigh,Captain,1
Jarryd Roughead,Jarryd,Roughead,Coleman,1
Jason Akermanis,Jason,Akermanis,Brownlow,1
Jason Dunstall,Jason,Dunstall,Coleman|Legend,2
Jason Johannisen,Jason,Johannisen,NormSmith,1
Jeremy Cameron,Jeremy,Cameron,Coleman,1
Jesse Hogan,Jesse,Hogan,Coleman,1
Jim Stynes,Jim,Stynes,Brownlow,1
Jimmy Bartel,Jimmy,Bartel,Brownlow|NormSmith,2
Joel Selwood,Joel,Selwood,Captain,1
John Coleman,John,Coleman,Legend,1
John Kennedy snr,John,Kennedy snr,Legend,1
John Longmire,John,Longmire,Coleman,1
John Nicholls,John,Nicholls,Captain|Legend,2
John Worsfold,John,Worsfold,Captain,1
Jonathan Brown,Jonathan,Brown,Coleman,1
Josh Kennedy,Josh,Kennedy,Coleman,1
Keith Greig,Keith,Greig,Brownlow,1
Kelvin Templeton,Kelvin,Templeton,Brownlow|Coleman,2
Kevin Bartlett,Kevin,Bartlett,Legend|NormSmith,2
Kevin Murray,Kevin,Murray,Legend,1
Kevin Sheedy,Kevin,Sheedy,Legend,1
Lachie Neale,Lachie,Neale,Brownlow|Captain,2
Lance Franklin,Lance,Franklin,Coleman,1
Larry Donohue,Larry,Donohue,Coleman,1
Leigh Matthews,Leigh,Matthews,Captain|Coleman|Legend,3
Len Thompson,Len,Thompson,Brownlow,1
Lenny Hayes,Lenny,Hayes,NormSmith,1
Luke Hodge,Luke,Hodge,Captain|NormSmith,2
Luke Shuey,Luke,Shuey,NormSmith,1
Malcolm Blight,Malcolm,Blight,Brownlow|Coleman|Legend,3
Mark Bickley,Mark,Bickley,Captain,1
Mark Ricciuto,Mark,Ricciuto,Brownlow,1
Mark Thompson,Mark,Thompson,Captain,1
Matt Priddis,Matt,Priddis,Brownlow,1
Matt Rowell,Matt,Rowell,Brownlow,1
Matthew Lloyd,Matthew,Lloyd,Coleman,1
Maurice Rioli,Maurice,Rioli,NormSmith,1
Max Gawn,Max,Gawn,Captain,1
Merv McIntosh,Merv,McIntosh,Legend,1
Michael Long,Michael,Long,NormSmith,1
Michael Roach,Michael,Roach,Coleman,1
Michael Tuck,Michael,Tuck,Captain,1
Michael Voss,Michael,Voss,Brownlow|Captain,2
Mike Fitzpatrick,Mike,Fitzpatrick,Captain,1
Nat Fyfe,Nat,Fyfe,Brownlow,1
Nathan Buckley,Nathan,Buckley,NormSmith,1
Nick Maxwell,Nick,Maxwell,Captain,1
Norm Smith,Norm,Smith,Legend,1
Ollie Wines,Ollie,Wines,Brownlow,1
Patrick Cripps,Patrick,Cripps,Brownlow,1
Patrick Dangerfield,Patrick,Dangerfield,Brownlow,1
Paul Chapman,Paul,Chapman,NormSmith,1
Paul Couch,Paul,Couch,Brownlow,1
Paul Dear,Paul,Dear,NormSmith,1
Paul Kelly,Paul,Kelly,Brownlow,1
Peter Bedford,Peter,Bedford,Brownlow,1
Peter Hudson,Peter,Hudson,Coleman|Legend,2
Peter Matera,Peter,Matera,NormSmith,1
Peter McKenna,Peter,McKenna,Coleman,1
Peter Moore,Peter,Moore,Brownlow,1
Robert DiPierdomenico,Robert,DiPierdomenico,Brownlow,1
Robert Harvey,Robert,Harvey,Brownlow,1
Ron Barassi,Ron,Barassi,Legend,1
Ross Glendinning,Ross,Glendinning,Brownlow,1
Roy Cazaly,Roy,Cazaly,Legend,1
Royce Hart,Royce,Hart,Captain|Legend,2
Russell Ebert,Russell,Ebert,Legend,1
Ryan O'Keefe,Ryan,O'Keefe,NormSmith,1
Sam Mitchell,Sam,Mitchell,Brownlow|Captain,2
Scott Cummings,Scott,Cummings,Coleman,1
Scott Pendlebury,Scott,Pendlebury,NormSmith,1
Scott Wynd,Scott,Wynd,Brownlow,1
Shane Crawford,Shane,Crawford,Brownlow,1
Shane Woewodin,Shane,Woewodin,Brownlow,1
Shannon Grant,Shannon,Grant,NormSmith,1
Shannon Hurn,Shannon,Hurn,Captain,1
Shaun Hart,Shaun,Hart,NormSmith,1
Simon Beasley,Simon,Beasley,Coleman,1
Simon Black,Simon,Black,Brownlow|NormSmith,2
Simon Madden,Simon,Madden,NormSmith,1
Stephen Kernahan,Stephen,Kernahan,Captain,1
Steve Johnson,Steve,Johnson,NormSmith,1
Ted Whitten,Ted,Whitten,Legend,1
Terry Daniher,Terry,Daniher,Captain,1
Tom Harley,Tom,Harley,Captain,1
Tom Hawkins,Tom,Hawkins,Coleman,1
Tom Mitchell,Tom,Mitchell,Brownlow,1
Tony Liberatore,Tony,Liberatore,Brownlow,1
Tony Lockett,Tony,Lockett,Brownlow|Coleman|Legend,3
Tony Modra,Tony,Modra,Coleman,1
Tony Shaw,Tony,Shaw,Captain|NormSmith,2
Trent Cotchin,Trent,Cotchin,Captain,1
Warren Tredrea,Warren,Tredrea,Captain,1
Wayne Carey,Wayne,Carey,Captain,1
Wayne Harmes,Wayne,Harmes,NormSmith,1
Will Ashcroft,Will,Ashcroft,NormSmith,1
