firstName,lastName,team_from_file,team_from_afl,jumperNumber,heightCm,DOB,gamesPlayed,debutYear,finalYear,active,position,draftType,draftPosition,matched_afl,fameSource
Scott,Pendlebury,Collingwood,Collingwood,10,191,1988-01-07,431,2006,2026,True,MIDFIELDER,nationalDraft,5,yes,NormSmith
Michael,Tuck,Hawthorn,,17,188,1953-06-24,426,1972,1991,False,,,,no,Captain
Kevin,Bartlett,Richmond,,29,177,1947-03-06,403,1965,1983,False,,,,no,Legend|NormSmith
Robert,Harvey,Stkilda,,35,181,1971-08-21,383,1988,2008,False,,,,no,Brownlow
Simon,Madden,Essendon,,27,198,1957-12-30,378,1974,1992,False,,,,no,NormSmith
Adam,Goodes,Sydney,,37,191,1980-01-08,372,1999,2015,False,,,,no,Brownlow
Tom,Hawkins,Geelong,,26,198,1988-07-21,359,2007,2024,False,,,,no,Coleman
Bruce,Doull,Carlton,,11,185,1950-09-11,356,1969,1986,False,,,,no,NormSmith
Joel,Selwood,Geelong,,14,183,1988-05-26,355,2007,2022,False,,,,no,Captain
Jack,Riewoldt,Richmond,,8,193,1988-10-31,347,2007,2023,False,,,,no,Coleman
Andrew,McLeod,Adelaide,,23,181,1976-08-04,340,1995,2010,False,,,,no,NormSmith
Shannon,Hurn,WestCoast,,25,187,1987-09-04,333,2006,2023,False,,,,no,Captain
Kevin,Murray,Fitzroy,,1,178,1938-06-18,333,1955,1974,False,,,,no,Legend
Leigh,Matthews,Hawthorn,,3,178,1952-03-01,332,1969,1985,False,,,,no,Captain|Coleman|Legend
John,Nicholls,Carlton,,2,189,1939-08-13,328,1957,1974,False,,,,no,Captain|Legend
Jarrad,McVeigh,Sydney,,3,184,1985-04-07,325,2004,2019,False,,,,no,Captain
Simon,Black,Brisbane,,20,186,1979-04-03,322,1998,2013,False,,,,no,Brownlow|NormSmith
Dick,Reynolds,Essendon,,3,179,1915-06-20,320,1933,1951,False,,,,no,Legend
Tony,Shaw,Collingwood,,22,170,1960-07-23,313,1978,1994,False,,,,no,Captain|NormSmith
Mark,Ricciuto,Adelaide,,32,184,1975-06-08,312,1993,2007,False,,,,no,Brownlow
Glenn,Archer,NorthMelbourne,,11,182,1973-03-24,311,1992,2007,False,,,,no,NormSmith
Trent,Cotchin,Richmond,,9,185,1990-04-07,306,2008,2023,False,,,,no,Captain
Gordon,Coventry,Collingwood,,7,183,1901-09-25,306,1920,1937,False,,,,no,Legend
David,Neitz,Melbourne,,9,191,1975-01-22,306,1993,2008,False,,,,no,Coleman
Jimmy,Bartel,Geelong,,3,187,1983-12-04,305,2002,2016,False,,,,no,Brownlow|NormSmith
Shane,Crawford,Hawthorn,,9,174,1974-09-09,305,1993,2008,False,,,,no,Brownlow
Dustin,Martin,Richmond,,4,187,1991-06-26,302,2010,2024,False,,,,no,Brownlow|NormSmith
Don,Scott,Hawthorn,,23,190,1947-12-20,302,1967,1981,False,,,,no,Captain
Lenny,Hayes,Stkilda,,7,186,1980-01-14,297,1999,2014,False,,,,no,NormSmith
Terry,Daniher,Essendon,,5,188,1957-08-15,294,1978,1992,False,,,,no,Captain
Keith,Greig,NorthMelbourne,,27,180,1951-10-23,294,1971,1985,False,,,,no,Brownlow
Bill,Hutchison,Essendon,,7,174,1923-04-28,290,1942,1957,False,,,,no,Legend
Ryan,OKeefe,Sydney,,5,187,1981-01-24,286,2000,2014,False,,,,no,NormSmith
Tony,Liberatore,WesternBulldogs,,39,163,1966-02-11,283,1986,2002,False,,,,no,Brownlow
Jarryd,Roughead,Hawthorn,,2,193,1987-01-23,283,2005,2019,False,,,,no,Coleman
Josh,Kennedy,Sydney,,12,189,1988-06-20,277,2010,2022,False,,,,no,Coleman
Ollie,Wines,PortAdelaide,Port Adelaide,16,190,1994-10-07,277,2013,2026,True,MIDFIELDER,nationalDraft,7,yes,Brownlow
David,Dench,NorthMelbourne,,23,191,1951-08-23,275,1969,1984,False,,,,no,Captain
Mark,Bickley,Adelaide,,26,178,1969-08-04,272,1991,2003,False,,,,no,Captain
Matthew,Lloyd,Essendon,,18,192,1978-04-16,270,1995,2009,False,,,,no,Coleman
Gary,Ayres,Hawthorn,,7,187,1960-09-28,269,1978,1993,False,,,,no,NormSmith
Jason,Dunstall,Hawthorn,,19,188,1964-08-14,269,1985,1998,False,,,,no,Coleman|Legend
Jim,Stynes,Melbourne,,11,199,1966-04-23,264,1987,1998,False,,,,no,Brownlow
Nathan,Buckley,Collingwood,,5,186,1972-07-26,260,1994,2007,False,,,,no,NormSmith
Paul,Couch,Geelong,,7,180,1964-07-19,259,1985,1997,False,,,,no,Brownlow
Dane,Swan,Collingwood,,36,185,1984-02-25,258,2003,2016,False,,,,no,Brownlow
Jonathan,Brown,Brisbane,,16,195,1981-10-29,256,2000,2014,False,,,,no,Coleman
Warren,Tredrea,PortAdelaide,,16,194,1978-12-24,255,1997,2010,False,,,,no,Captain
Max,Gawn,Melbourne,Melbourne,11,208,1991-12-30,254,2011,2026,True,RUCK,NA,NA,yes,Captain
James,Hird,Essendon,,5,188,1973-02-04,253,1992,2007,False,,,,no,Captain|NormSmith
Peter,Matera,WestCoast,,30,183,1969-04-03,253,1990,2002,False,,,,no,NormSmith
Stephen,Kernahan,Carlton,,4,196,1963-09-01,251,1986,1997,False,,,,no,Captain
Kevin,Sheedy,Richmond,,10,180,1947-12-24,251,1967,1979,False,,,,no,Legend
Andrew,Embley,WestCoast,,32,189,1981-06-27,250,1999,2013,False,,,,no,NormSmith
Nat,Fyfe,Fremantle.xlsx,,7,192,1991-09-18,248,2010,2025,False,,,,no,Brownlow
Luke,Shuey,WestCoast,,13,183,1990-06-02,248,2010,2023,False,,,,no,NormSmith
Gary,Ablett,Geelong,,29,182,1984-05-14,247,2002,2020,False,,,,no,Brownlow
Cameron,Ling,Geelong,,45,189,1981-02-27,246,2000,2011,False,,,,no,Captain
Harris,Andrews,Brisbane,Brisbane Lions,31,201,1996-12-11,243,2015,2026,True,KEY_DEFENDER,nationalDraft,61,yes,Captain
Shannon,Grant,NorthMelbourne,,6,180,1977-04-19,243,1998,2008,False,,,,no,NormSmith
Dean,Kemp,WestCoast,,2,182,1969-02-17,243,1990,2001,False,,,,no,NormSmith
Robert,DiPierdomenico,Hawthorn,,9,185,1958-05-05,240,1975,1991,False,,,,no,Brownlow
Matt,Priddis,WestCoast,,11,184,1985-03-21,240,2006,2017,False,,,,no,Brownlow
Patrick,Cripps,Carlton,Carlton,9,195,1995-03-18,237,2014,2026,True,MIDFIELDER,nationalDraft,13,yes,Brownlow
Bob,Skilton,Sydney,,14,171,1938-11-08,237,1956,1971,False,,,,no,Legend
Scott,Wynd,WesternBulldogs,,15,201,1970-01-25,237,1988,2000,False,,,,no,Brownlow
Paul,Kelly,Sydney,,14,179,1969-07-28,234,1990,2002,False,,,,no,Brownlow
Jason,Johannisen,WesternBulldogs,,39,180,1992-11-08,212,2012,2025,False,,,,no,NormSmith
David,Parkin,Hawthorn,,27,180,1942-09-12,211,1961,1974,False,,,,no,Captain
Norm,Smith,Melbourne,,4,183,1915-11-21,210,1935,1948,False,,,,no,Legend
Michael,Voss,Brisbane,,3,183,1975-07-07,210,1997,2006,False,,,,no,Brownlow|Captain
Patrick,Dangerfield,Geelong,Geelong,35,189,1990-04-05,209,2016,2026,True,MEDIUM_FORWARD,nationalDraft,10,yes,Brownlow
John,Worsfold,WestCoast,,24,180,1968-09-25,209,1987,1998,False,,,,no,Captain
Nick,Maxwell,Collingwood,,5,193,1983-06-03,208,2004,2014,False,,,,no,Captain
Mark,Thompson,Essendon,,26,177,1963-11-19,202,1983,1996,False,,,,no,Captain
John,Longmire,NorthMelbourne,,35,194,1970-12-31,200,1988,1999,False,,,,no,Coleman
Michael,Roach,Richmond,,8,193,1958-10-09,200,1977,1989,False,,,,no,Coleman
Tom,Harley,Geelong,,2,193,1978-07-18,197,1999,2009,False,,,,no,Captain
Darcy,Moore,Collingwood,Collingwood,30,203,1996-01-25,196,2015,2026,True,KEY_DEFENDER,fatherSon,9,yes,Captain
Michael,Long,Essendon,,13,178,1969-10-01,190,1989,2001,False,,,,no,NormSmith
Bernie,Quinlan,Fitzroy,,5,193,1951-07-21,189,1978,1986,False,,,,no,Brownlow|Coleman
Cyril,Rioli,Hawthorn,,33,177,1989-07-14,189,2008,2018,False,,,,no,NormSmith
Easton,Wood,WesternBulldogs,,10,187,1989-09-04,188,2009,2021,False,,,,no,Captain
Royce,Hart,Richmond,,4,187,1948-02-10,187,1967,1977,False,,,,no,Captain|Legend
Malcolm,Blight,NorthMelbourne,,15,182,1950-02-16,178,1974,1982,False,,,,no,Brownlow|Coleman|Legend
Gavin,Wanganeen,PortAdelaide,,4,181,1973-06-18,173,1997,2006,False,,,,no,Brownlow
Lance,Franklin,Sydney,,23,199,1987-01-30,172,2014,2023,False,,,,no,Coleman
Shaun,Hart,Brisbane,,32,175,1971-05-17,171,1997,2004,False,,,,no,NormSmith
Wayne,Harmes,Carlton,,37,177,1960-02-09,169,1977,1988,False,,,,no,NormSmith
Lachie,Neale,Brisbane,Brisbane Lions,9,177,1993-05-24,166,2019,2026,True,MIDFIELDER,nationalDraft,58,yes,Brownlow|Captain
Simon,Beasley,WesternBulldogs,,18,195,1956-07-26,154,1982,1989,False,,,,no,Coleman
Mike,Fitzpatrick,Carlton,,3,191,1953-01-28,150,1975,1983,False,,,,no,Captain
Harry,McKay,Carlton,Carlton,10,204,1997-12-24,146,2017,2026,True,KEY_FORWARD,nationalDraft,10,yes,Coleman
Fraser,Gehrig,Stkilda,,9,195,1976-03-03,145,2001,2008,False,,,,no,Coleman
Chris,Judd,Carlton,,5,189,1983-09-08,145,2008,2015,False,,,,no,Brownlow|Captain|NormSmith
Ted,Whitten,WesternBulldogs,,22,178,1957-03-15,144,1974,1982,False,,,,no,Legend
Peter,Hudson,Hawthorn,,26,189,1946-02-19,129,1967,1977,False,,,,no,Coleman|Legend
Paul,Dear,Hawthorn,,13,188,1966-12-28,123,1987,1996,False,,,,no,NormSmith
Gary,Dempsey,NorthMelbourne,,24,197,1948-11-22,122,1979,1984,False,,,,no,Brownlow
Darrel,Baldock,Stkilda,,4,179,1938-09-29,119,1962,1968,False,,,,no,Legend
Bruce,Monteath,Richmond,,11,188,1955-09-20,118,1975,1980,False,,,,no,Captain
Colin,Robertson,Hawthorn,,32,182,1957-06-19,116,1980,1986,False,,,,no,NormSmith
Jeremy,Cameron,Geelong,Geelong,5,196,1993-04-01,115,2021,2026,True,KEY_FORWARD,other,NA,yes,Coleman
Matt,Rowell,Goldcoast,Gold Coast,18,178,2001-07-01,114,2020,2026,True,MIDFIELDER,NA,NA,yes,Brownlow
Greg,Williams,Carlton,,2,176,1963-09-30,109,1992,1997,False,,,,no,Brownlow|NormSmith
David,Rhys-Jones,Carlton,,26,187,1962-06-16,106,1985,1992,False,,,,no,NormSmith
Larry,Donohue,Geelong,,23,196,1955-04-22,105,1973,1980,False,,,,no,Coleman
Graham,Farmer,Geelong,,5,191,1935-03-10,101,1962,1967,False,,,,no,Legend
Roy,Cazaly,Sydney,,11,180,1893-01-13,99,1921,1927,False,,,,no,Legend
John,Coleman,Essendon,,10,185,1928-11-23,98,1949,1954,False,,,,no,Legend
Tony,Lockett,Sydney,,4,191,1966-03-09,98,1995,2002,False,,,,no,Brownlow|Coleman|Legend
Jesse,Hogan,GWS,GWS,23,195,1995-02-12,97,2021,2026,True,KEY_FORWARD,other,2,yes,Coleman
Brian,Taylor,Collingwood,,9,191,1962-04-10,97,1985,1990,False,,,,no,Coleman
Graham,Moss,Essendon,,25,196,1950-05-14,84,1973,1976,False,,,,no,Brownlow
Gerard,Healy,Sydney,,3,184,1961-03-01,81,1986,1990,False,,,,no,Brownlow
Ian,Stewart,Richmond,,2,180,1943-07-14,78,1971,1975,False,,,,no,Brownlow|Legend
Jason,Akermanis,WesternBulldogs,,21,177,1977-02-24,77,2007,2010,False,,,,no,Brownlow
Peter,Moore,Melbourne,,30,198,1957-01-11,77,1983,1987,False,,,,no,Brownlow
Barry,Davis,NorthMelbourne,,32,185,1943-09-15,71,1973,1975,False,,,,no,Captain
Isaac,Smith,Geelong,,7,188,1988-12-30,70,2021,2023,False,,,,no,NormSmith
Will,Ashcroft,Brisbane,Brisbane Lions,8,182,2004-05-06,65,2023,2026,True,MIDFIELDER,fatherSon,2,yes,NormSmith
Shane,Woewodin,Collingwood,,2,185,1976-07-12,62,2003,2005,False,,,,no,Brownlow
Bobby,Hill,Collingwood,Collingwood,23,175,2000-02-09,61,2023,2025,False,MEDIUM_FORWARD,nationalDraft,24,yes,NormSmith
Doug,Wade,NorthMelbourne,,2,188,1941-10-16,59,1973,1975,False,,,,no,Coleman
Maurice,Rioli,Richmond,Richmond,10,179,2002-09-01,55,2021,2026,True,MEDIUM_FORWARD,NA,NA,yes,NormSmith
Brian,Lake,Hawthorn,,17,195,1982-02-27,54,2013,2015,False,,,,no,NormSmith
Ron,Barassi,Carlton,,31,179,1936-02-27,50,1965,1969,False,,,,no,Legend
Tony,Modra,Fremantle.xlsx,,6,188,1969-03-01,47,1999,2001,False,,,,no,Coleman
Luke,Hodge,Brisbane,,2,185,1984-06-15,41,2018,2019,False,,,,no,Captain|NormSmith
Ross,Glendinning,WestCoast,,4,188,1956-09-17,40,1987,1988,False,,,,no,Brownlow
Steve,Johnson,GWS,,17,189,1983-07-04,40,2016,2017,False,,,,no,NormSmith
Barry,Hall,WesternBulldogs,,28,194,1977-02-08,39,2010,2011,False,,,,no,Captain
Tom,Mitchell,Collingwood,,6,182,1993-05-31,36,2023,2025,False,,,,no,Brownlow
Bob,Pratt,Sydney,,10,174,1936-03-24,35,1955,1958,False,,,,no,Legend
Kelvin,Templeton,Melbourne,,31,191,1956-09-30,34,1983,1985,False,,,,no,Brownlow|Coleman
Ben,Cousins,Richmond,,32,179,1978-06-30,32,2009,2010,False,,,,no,Brownlow
Adam,Cooney,Essendon,,17,187,1985-09-30,31,2015,2016,False,,,,no,Brownlow
Paul,Chapman,Essendon,,3,179,1981-11-05,29,2014,2015,False,,,,no,NormSmith
Byron,Pickett,Melbourne,,33,178,1977-08-11,29,2006,2007,False,,,,no,NormSmith
Wayne,Carey,Adelaide,,2,192,1971-05-27,28,2003,2004,False,,,,no,Captain
Russell,Ebert,NorthMelbourne,,7,183,1949-06-22,25,1979,1979,False,,,,no,Legend
Alex,Jesaulenko,Stkilda,,25,182,1945-08-02,23,1980,1981,False,,,,no,Captain|Legend
Sam,Mitchell,WestCoast,,1,180,1982-10-12,22,2017,2017,False,,,,no,Brownlow|Captain
Len,Thompson,Sydney,,2,200,1947-08-27,20,1979,1979,False,,,,no,Brownlow
Brendan,Fevola,Brisbane,,5,191,1981-01-20,17,2010,2010,False,,,,no,Coleman
Graham,Teasdale,Collingwood,,20,193,1955-06-26,14,1982,1983,False,,,,no,Brownlow
Peter,McKenna,Carlton,,27,191,1946-08-27,11,1977,1977,False,,,,no,Coleman
Peter,Bedford,Carlton,,6,180,1947-04-11,8,1977,1978,False,,,,no,Brownlow
Charlie,Curnow,Sydney,Sydney,35,192,1997-02-03,7,2026,2026,True,KEY_FORWARD,NA,NA,yes,Coleman
Brian,Wilson,Stkilda,,17,180,1961-09-30,7,1991,1991,False,,,,no,Brownlow
Scott,Cummings,Collingwood,,32,194,1974-01-18,5,2002,2002,False,,,,no,Coleman
Jack,Oatey,Sydney,,4,168,1920-08-29,5,1944,1944,False,,,,no,Legend
Christian,Petracca,Goldcoast,Gold Coast,3,186,1996-01-04,5,2026,2026,True,MIDFIELDER_FORWARD,NA,NA,yes,NormSmith
Jack,Dyer,Richmond,,17,182,1940-12-15,3,1960,1960,False,,,,no,Legend
Brad,Hardie,Collingwood,,9,181,1962-10-10,2,1992,1992,False,,,,no,Brownlow
