id,firstName,lastName,team,position,age,heightCm,gamesPlayed,jumperNumber,state,debutYear,finalYear,draftPick,nicknames,active,NEEDS_REVIEW,NOTES
callum-ah-chee,Callum,Ah Chee,Adelaide,Small Forward,28,182,171,4,,2026,,,,TRUE,,
hugh-bond,Hugh,Bond,Adelaide,Half Back,21,185,16,21,,2026,,,,TRUE,,
james-borlase,James,Borlase,Adelaide,Key Defender,23,192,15,35,,2023,,,,TRUE,,
brayden-cook,Brayden,Cook,Adelaide,Midfielder,23,189,36,15,,2026,,,,TRUE,,
indy-cotton,Indy,Cotton,Adelaide,Key Forward,18,195,0,33,,2026,,,,TRUE,,
matt-crouch,Matt,Crouch,Adelaide,,31,182,161,5,,2014,,,,TRUE,,
isaac-cumming,Isaac,Cumming,Adelaide,Midfielder,27,184,84,44,,2018,,,,TRUE,,
daniel-curtin,Daniel,Curtin,Adelaide,Midfielder,21,197,10,6,,2024,,,,TRUE,,
jordan-dawson,Jordan,Dawson,Adelaide,Midfielder,29,192,134,12,,2017,,,,TRUE,,
billy-dowling,Billy,Dowling,Adelaide,Midfielder,21,187,10,31,,2026,,,,TRUE,,
sid-draper,Sid,Draper,Adelaide,Midfielder,19,182,3,34,,2025,,,,TRUE,,
charlie-edwards,Charlie,Edwards,Adelaide,Key Defender,20,191,1,11,,2026,,,,TRUE,,
darcy-fogarty,Darcy,Fogarty,Adelaide,Key Forward,26,193,105,32,,2018,,,,TRUE,,
mitch-hinge,Mitch,Hinge,Adelaide,,27,190,68,20,,2019,,,,TRUE,,
mitchell-hinge,Mitchell,Hinge,Adelaide,Half Back,27,187,90,20,,2026,,,,TRUE,,
mark-keane,Mark,Keane,Adelaide,Key Defender,26,194,34,48,,2020,,,,TRUE,,
ben-keays,Ben,Keays,Adelaide,Forward Flank,29,185,139,2,,2016,,,,TRUE,,
rory-laird,Rory,Laird,Adelaide,Small Defender,32,177,250,29,,2013,,,,TRUE,,
archie-ludowyke,Archie,Ludowyke,Adelaide,Key Forward,18,197,0,34,,2026,,,,TRUE,,
finnbar-maley,Finnbar,Maley,Adelaide,Key Forward,22,197,11,36,,2026,,,,TRUE,,
mitchell-marsh,Mitchell,Marsh,Adelaide,Key Forward,19,192,0,26,,2026,,,,TRUE,,
lachlan-mcandrew,Lachlan,McAndrew,Adelaide,Ruck,25,209,8,42,,2026,,,,TRUE,,
max-michalanney,Max,Michalanney,Adelaide,Key Defender,22,190,48,16,,2023,,,,TRUE,,
wayne-milera,Wayne,Milera,Adelaide,Half Back,28,184,102,30,,2016,,,,TRUE,,
nick-murray,Nick,Murray,Adelaide,Key Defender,25,195,57,9,,2021,,,,TRUE,,
toby-murray,Toby,Murray,Adelaide,Key Forward,22,200,1,39,,2026,,,,TRUE,,
luke-nankervis,Luke,Nankervis,Adelaide,Midfielder,22,189,34,27,,2026,,,,TRUE,,
alex-neal-bullen,Alex,Neal-Bullen,Adelaide,Small Forward,30,182,179,28,,2015,,,,TRUE,,
reilly-obrien,Reilly,OBrien,Adelaide,Ruck,30,202,124,43,,2016,,,,TRUE,,
james-peatling,James,Peatling,Adelaide,Midfielder,25,182,48,25,,2021,,,,TRUE,,
luke-pedlar,Luke,Pedlar,Adelaide,Forward Flank,23,183,44,10,,2026,,,,TRUE,,
josh-rachele,Josh,Rachele,Adelaide,Midfielder,23,180,59,8,,2022,,,,TRUE,,
izak-rankine,Izak,Rankine,Adelaide,Midfielder,26,179,86,23,,2020,,,,TRUE,,
oscar-ryan,Oscar,Ryan,Adelaide,Half Back,20,187,0,22,,2026,,,,TRUE,,
lachlan-sholl,Lachlan,Sholl,Adelaide,Midfielder,26,185,77,38,,2020,,,,TRUE,,
jake-soligo,Jake,Soligo,Adelaide,Midfielder,23,180,63,14,,2022,,,,TRUE,,
zac-taylor,Zac,Taylor,Adelaide,Small Forward,23,180,30,19,,2026,,,,TRUE,,
riley-thilthorpe,Riley,Thilthorpe,Adelaide,Key Forward,23,200,56,7,,2021,,,,TRUE,,
taylor-walker,Taylor,Walker,Adelaide,Key Forward,36,193,281,13,,2009,,,,TRUE,,
tyler-welsh,Tyler,Welsh,Adelaide,Key Forward,19,191,0,17,,2026,,,,TRUE,,
josh-worrell,Josh,Worrell,Adelaide,Key Defender,25,195,33,24,,2021,,,,TRUE,,
oscar-allen,Oscar,Allen,Brisbane,Key Forward,27,196,111,4,,2018,,,,TRUE,,
harris-andrews,Harris,Andrews,Brisbane,Key Defender,29,201,215,31,,2015,,,,TRUE,,
daniel-annable,Daniel,Annable,Brisbane,Midfielder,19,184,1,14,,2026,,,,TRUE,,
noah-answerth,Noah,Answerth,Brisbane,Small Defender,26,182,74,43,,2019,,,,TRUE,,
levi-ashcroft,Levi,Ashcroft,Brisbane,Midfielder,19,179,3,10,,2025,,,,TRUE,,
will-ashcroft,Will,Ashcroft,Brisbane,Midfielder,21,182,34,8,,2023,,,,TRUE,,
zac-bailey,Zac,Bailey,Brisbane,Midfielder,26,182,143,33,,2018,,,,TRUE,,
luke-beecken,Luke,Beecken,Brisbane,Midfielder,25,185,1,17,,2026,,,,TRUE,,
jarrod-berry,Jarrod,Berry,Brisbane,Midfielder,28,193,163,7,,2017,,,,TRUE,,
shadeau-brain,Shadeau,Brain,Brisbane,Half Back,22,183,9,34,,2026,,,,TRUE,,
charlie-cameron,Charlie,Cameron,Brisbane,Small Forward,31,181,230,23,,2014,,,,TRUE,,
callum-chee,Callum,Chee,Brisbane,,28,182,146,4,,2016,,,,TRUE,,
cody-curtin,Cody,Curtin,Brisbane,Key Forward,18,200,0,37,,2026,,,,TRUE,,
sam-day,Sam,Day,Brisbane,,33,197,157,14,,2011,,,,TRUE,,
tom-doedee,Tom,Doedee,Brisbane,Key Defender,29,190,83,12,,2026,,,,TRUE,,
sam-draper,Sam,Draper,Brisbane,Key Forward,27,205,83,2,,2020,,,,TRUE,,
josh-dunkley,Josh,Dunkley,Brisbane,Midfielder,29,190,170,5,,2016,,,,TRUE,,
koby-evans,Koby,Evans,Brisbane,Midfielder,18,187,0,24,,2026,,,,TRUE,,
jaspa-fletcher,Jaspa,Fletcher,Brisbane,Half Back,22,183,44,3,,2023,,,,TRUE,,
darcy-fort,Darcy,Fort,Brisbane,Ruck,32,204,38,32,,2019,,,,TRUE,,
ty-gallop,Ty,Gallop,Brisbane,Key Defender,20,194,12,22,,2026,,,,TRUE,,
tai-hayes,Tai,Hayes,Brisbane,Midfielder,21,190,0,42,,2026,,,,TRUE,,
eric-hipwood,Eric,Hipwood,Brisbane,Key Forward,28,204,180,30,,2016,,,,TRUE,,
darragh-joyce,Darragh,Joyce,Brisbane,Key Defender,29,195,25,41,,2026,,,,TRUE,,
ryan-lester,Ryan,Lester,Brisbane,Key Defender,33,192,210,35,,2011,,,,TRUE,,
luke-lloyd,Luke,Lloyd,Brisbane,Key Forward,20,193,0,19,,2026,,,,TRUE,,
kai-lohmann,Kai,Lohmann,Brisbane,Forward Flank,22,185,37,1,,2022,,,,TRUE,,
sam-marshall,Sam,Marshall,Brisbane,Midfielder,20,185,11,20,,2026,,,,TRUE,,
hugh-mccluggage,Hugh,McCluggage,Brisbane,Midfielder,28,187,185,6,,2017,,,,TRUE,,
oscar-mcinerney,Oscar,McInerney,Brisbane,,31,205,153,46,,2018,,,,TRUE,,
conor-mckenna,Conor,McKenna,Brisbane,Forward Flank,30,184,125,26,,2015,,,,TRUE,,
will-mclachlan,Will,McLachlan,Brisbane,Forward Flank,21,185,1,28,,2025,,,,TRUE,,
logan-morris,Logan,Morris,Brisbane,Key Forward,20,191,22,13,,2024,,,,TRUE,,
ben-murphy,Ben,Murphy,Brisbane,Key Defender,0,191,0,39,,2026,,,,TRUE,,
lachie-neale,Lachie,Neale,Brisbane,Midfielder,32,177,275,9,,2012,,,,TRUE,,
jack-payne,Jack,Payne,Brisbane,Key Defender,26,197,71,40,,2020,,,,TRUE,,
cam-rayner,Cam,Rayner,Brisbane,,26,187,143,16,,2018,,,,TRUE,,
cameron-rayner,Cameron,Rayner,Brisbane,Forward Flank,26,187,173,16,,2026,,,,TRUE,,
bruce-reville,Bruce,Reville,Brisbane,Midfielder,25,185,14,38,,2024,,,,TRUE,,
henry-smith,Henry,Smith,Brisbane,Key Forward,23,202,6,25,,2026,,,,TRUE,,
reece-torrent,Reece,Torrent,Brisbane,Midfielder,20,184,0,36,,2026,,,,TRUE,,
