Cap  	#  	Player  	DOB  	HT  	WT  	Games (W-D-L)  	Goals  	Seasons  	Debut  	Last  
66	23	McLeod, Andrew	1976-08-04	181cm	81kg	340 (185-0-155)	275	1995-2010	18y 274d	33y 346d
67	9	Edwards, Tyson	1976-08-06	178cm	81kg	321 (175-0-146)	192	1995-2010	18y 308d	33y 303d
51	32	Ricciuto, Mark	1975-06-08	184cm	93kg	312 (162-1-149)	292	1993-2007	17y 326d	32y 92d
38	34	Hart, Ben	1974-07-09	190cm	83kg	311 (166-1-144)	45	1992-2006	17y 257d	32y 49d
165	13	Walker, Taylor	1990-04-25	193cm	100kg	306 (158-2-146)	690	2009-2026	18y 337d	35y 358d
16	7	Smart, Nigel	1969-05-21	188cm	91kg	278 (140-1-137)	116	1991-2004	21y 305d	35y 30d
77	36	Goodwin, Simon	1976-12-26	185cm	86kg	275 (155-0-120)	162	1997-2010	20y 94d	33y 202d
176	33	Smith, Brodie	1992-01-14	189cm	90kg	273 (140-2-131)	74	2011-2025	19y 71d	33y 241d
193	29	Laird, Rory	1993-12-29	177cm	81kg	273 (139-2-132)	31	2013-2026	19y 113d	32y 110d
27	26	Bickley, Mark	1969-08-04	178cm	82kg	272 (138-0-134)	77	1991-2003	21y 252d	34y 39d
143	5	Thompson, Scott	1983-03-14	184cm	86kg	269 (154-0-115)	145	2005-2017	22y 20d	34y 115d
168	9	Sloane, Rory	1990-03-17	182cm	83kg	255 (134-1-120)	136	2009-2023	19y 150d	33y 155d
155	14	Mackay, David	1988-07-25	181cm	78kg	248 (136-1-111)	68	2008-2021	19y 242d	33y 28d
149	26	Douglas, Richard	1987-02-06	181cm	79kg	246 (133-1-112)	164	2006-2019	19y 202d	32y 200d
115	11	Doughty, Michael	1979-08-05	177cm	81kg	231 (135-0-96)	46	2000-2012	20y 255d	33y 48d
136	25	Rutten, Ben	1983-05-28	190cm	98kg	229 (129-0-100)	9	2003-2014	20y 53d	31y 95d
125	18	Johncock, Graham	1982-10-21	178cm	87kg	227 (124-0-103)	120	2002-2013	19y 161d	30y 175d
87	8	Bassett, Nathan	1976-12-07	190cm	87kg	210 (117-0-93)	25	1998-2008	21y 111d	31y 274d
144	7	van Berlo, Nathan	1986-06-06	184cm	83kg	205 (117-0-88)	68	2005-2013, 2015-2016	18y 308d	29y 357d
130	3	Reilly, Brent	1983-11-12	183cm	85kg	203 (112-0-91)	52	2002-2014	18y 243d	30y 292d
182	12	Talia, Daniel	1991-10-02	197cm	98kg	200 (110-1-89)	6	2011-2020	19y 273d	28y 353d
190	16	Brown, Luke	1992-09-22	181cm	81kg	189 (95-1-93)	13	2012-2022	19y 297d	29y 248d
180	24	Jacobs, Sam	1988-04-10	200cm	102kg	184 (104-1-79)	45	2011-2019	23y 13d	31y 137d
98	24	Burton, Brett	1978-05-04	185cm	83kg	177 (93-0-84)	264	1999-2010	20y 327d	32y 5d
198	5	Crouch, Matt	1995-04-21	182cm	80kg	164 (85-2-77)	31	2014-2020, 2022-2025	18y 349d	30y 4d
184	27	Lynch, Tom	1990-09-15	193cm	88kg	158 (86-1-71)	199	2012-2021	21y 198d	30y 341d
162	32	Dangerfield, Patrick	1990-04-05	189cm	92kg	154 (81-0-73)	163	2008-2015	18y 133d	25y 166d
