Cap  	#  	Player  	DOB  	HT  	WT  	Games (W-D-L)  	Goals  	Seasons  	Debut  	Last  
46	24	Merrett, Roger	1960-04-19	195cm	99kg	164 (54-2-108)	285	1988-1996	27y 350d	36y 155d
58	10	Ashcroft, Marcus	1971-09-25	184cm	83kg	152 (53-2-97)	84	1989-1996	17y 243d	24y 362d
45	7	McIvor, Scott	1966-08-09	191cm	87kg	138 (45-1-92)	77	1988-1996	21y 238d	30y 22d
73	1	Champion, Richard	1968-04-14	186cm	94kg	119 (44-2-73)	37	1991-1996	22y 350d	28y 160d
53	4	Gastev, John	1964-08-11	180cm	76kg	113 (29-1-83)	41	1989-1994	24y 233d	30y 10d
66	41	Kennedy, Matthew	1970-02-04	191cm	98kg	113 (39-1-73)	25	1990-1996	20y 83d	26y 230d
55	17	Leslie, Martin	1962-11-17	187cm	90kg	107 (28-1-78)	11	1989-1995	26y 135d	32y 220d
63	32	Hart, Shaun	1971-05-17	175cm	74kg	102 (37-1-64)	81	1990-1996	18y 318d	25y 127d
6	5	Hardie, Brad	1962-10-10	181cm	88kg	101 (25-0-76)	192	1987-1991	24y 168d	28y 312d
95	33	White, Darryl	1973-06-12	189cm	85kg	90 (39-2-49)	106	1992-1996	18y 283d	23y 101d
77	19	McLean, Michael	1965-03-03	180cm	84kg	87 (28-0-59)	17	1991-1996	26y 27d	31y 202d
52	22	Bain, David	1966-05-02	176cm	67kg	86 (17-1-68)	44	1989-1993	22y 334d	27y 119d
107	6	Fletcher, Adrian	1969-10-10	178cm	84kg	86 (38-1-47)	49	1993-1996	23y 168d	26y 347d
16	8	Richardson, Michael	1959-03-16	182cm	82kg	81 (23-0-58)	43	1987-1990	28y 11d	31y 169d
2	25	Campbell, Matthew	1964-01-30	188cm	93kg	79 (16-1-62)	28	1987-1993	23y 56d	29y 62d
102	3	Voss, Michael	1975-07-07	183cm	88kg	79 (38-1-40)	72	1992-1996	17y 11d	21y 69d
106	16	Clarke, Matthew	1973-09-18	200cm	100kg	69 (36-1-32)	6	1993-1996	19y 190d	23y 3d
12	31	OKeeffe, David	1962-02-20	189cm	89kg	68 (18-0-50)	25	1987-1991	25y 35d	29y 115d
74	12	Clarke, Troy	1969-06-08	173cm	74kg	68 (18-1-49)	31	1991-1996	21y 295d	27y 21d
