Cap  	#  	Player  	DOB  	HT  	WT  	Games (W-D-L)  	Goals  	Seasons  	Debut  	Last  
39	20	Black, Simon	1979-04-03	186cm	81kg	322 (174-4-144)	171	1998-2013	18y 359d	34y 136d
143	15	Zorko, Dayne	1989-02-09	175cm	78kg	309 (156-2-151)	239	2012-2026	23y 93d	37y 61d
42	6	Power, Luke	1980-01-08	179cm	78kg	282 (152-3-127)	226	1998-2011	18y 86d	31y 231d
114	10	Rich, Daniel	1990-06-07	183cm	87kg	275 (120-1-154)	116	2009-2023	18y 294d	33y 3d
56	16	Brown, Jonathan	1981-10-29	195cm	103kg	256 (145-3-108)	594	2000-2014	18y 162d	32y 228d
171	31	Andrews, Harris	1996-12-11	201cm	100kg	242 (126-2-114)	11	2015-2026	18y 128d	29y 129d
131	35	Lester, Ryan	1992-08-26	192cm	85kg	239 (121-2-116)	48	2011-2026	18y 212d	33y 236d
34	36	Bradshaw, Daniel	1978-11-21	191cm	95kg	219 (122-3-94)	496	1997-1998, 2000-2006, 2008-2009	18y 178d	30y 294d
11	44	Lappin, Nigel	1976-06-21	188cm	87kg	218 (130-5-83)	134	1997-2005, 2007-2008	20y 282d	31y 296d
66	9	McGrath, Ashley	1983-05-20	183cm	86kg	214 (103-2-109)	170	2001-2014	18y 91d	31y 96d
190	6	McCluggage, Hugh	1998-03-03	187cm	85kg	212 (126-2-84)	135	2017-2026	19y 37d	28y 47d
20	3	Voss, Michael	1975-07-07	183cm	88kg	210 (129-1-80)	173	1997-2006	21y 266d	31y 57d
25	12	Akermanis, Jason	1977-02-24	177cm	85kg	210 (128-3-79)	263	1997-2006	20y 48d	29y 141d
46	8	Notting, Tim	1978-10-21	188cm	90kg	208 (121-4-83)	138	1998-2009	19y 206d	30y 325d
75	7	Adcock, Jed	1985-11-15	183cm	83kg	206 (79-2-125)	59	2004-2015	18y 175d	29y 294d
8	2	Johnson, Chris	1976-05-30	180cm	89kg	205 (120-5-80)	105	1997-2007	20y 304d	31y 94d
81	21	Merrett, Daniel	1984-12-12	195cm	103kg	200 (79-3-118)	70	2005-2016	20y 111d	31y 260d
