Cap  	#  	Player  	DOB  	HT  	WT  	Games (W-D-L)  	Goals  	Seasons  	Debut  	Last  
931	21	Bradley, Craig	1963-10-23	180cm	81kg	375 (220-2-153)	247	1986-2002	22y 159d	38y 291d
811	11	Doull, Bruce	1950-09-11	185cm	85kg	356 (238-5-113)	22	1969-1986	18y 234d	36y 16d
1066	6	Simpson, Kade	1984-05-05	183cm	75kg	342 (124-3-215)	139	2003-2020	19y 34d	36y 137d
708	2	Nicholls, John	1939-08-13	189cm	105kg	328 (205-6-117)	307	1957-1974	17y 250d	34y 348d
927	1	Silvagni, Stephen	1967-05-31	194cm	95kg	312 (198-1-113)	202	1985-2001	17y 346d	34y 107d
1091	3	Murphy, Marc	1987-07-19	180cm	80kg	300 (117-1-182)	197	2006-2021	18y 257d	34y 26d
909	44	Madden, Justin	1961-05-31	206cm	107kg	287 (181-2-104)	170	1983-1996	21y 342d	35y 106d
985	43	Koutoufides, Anthony	1973-01-18	191cm	98kg	278 (136-3-139)	226	1992-2007	19y 147d	34y 191d
825	20	Southby, Geoff	1950-10-27	188cm	87kg	268 (182-5-81)	31	1971-1984	20y 158d	33y 296d
809	43	McKay, David	1949-11-05	191cm	91kg	263 (178-3-82)	277	1969-1981	19y 165d	31y 325d
793	25	Jesaulenko, Alex	1945-08-02	182cm	86kg	256 (180-5-71)	424	1967-1979	21y 256d	34y 58d
969	7	Ratten, Brett	1971-07-11	184cm	90kg	255 (143-0-112)	117	1990-2003	19y 52d	31y 324d
936	4	Kernahan, Stephen	1963-09-01	196cm	102kg	251 (156-2-93)	738	1986-1997	22y 211d	33y 363d
790	28	Jones, Peter	1946-10-20	198cm	105kg	249 (172-4-73)	284	1966-1979	19y 297d	32y 344d
919	35	Dean, Peter	1965-03-09	188cm	85kg	248 (152-1-95)	41	1984-1998	19y 94d	33y 174d
988	5	McKay, Andrew	1970-07-14	185cm	90kg	244 (131-1-112)	28	1993-2003	22y 256d	33y 48d
846	36	Maclure, Mark	1955-07-14	188cm	90kg	243 (159-2-82)	327	1974-1986	18y 350d	31y 75d
718	1	Silvagni, Sergio	1938-06-28	183cm	92kg	239 (146-4-89)	136	1958-1971	19y 330d	33y 61d
181	11	McGregor, Rod	1882-10-19	178cm	75kg	236 (176-5-55)	26	1905-1912, 1914-1920	22y 206d	37y 195d
838	14	Ashman, Rodney	1954-12-03	175cm	76kg	236 (152-3-81)	370	1973-1986	18y 153d	31y 214d
1151	9	Cripps, Patrick	1995-03-18	195cm	92kg	236 (86-2-148)	128	2014-2026	19y 25d	31y 29d
1001	16	Camporeale, Scott	1975-08-11	180cm	80kg	233 (115-0-118)	200	1995-2005	19y 234d	30y 17d
1100	4	Gibbs, Bryce	1989-03-15	188cm	84kg	231 (95-2-134)	137	2007-2017	18y 17d	28y 164d
1129	35	Curnow, Ed	1989-11-07	180cm	85kg	221 (84-3-134)	53	2011-2021, 2023	21y 137d	33y 285d
835	21	Austin, Rod	1953-01-26	180cm	80kg	220 (146-1-73)	20	1972-1985	19y 101d	32y 140d
795	42	Walls, Robert	1950-07-21	193cm	89kg	218 (149-4-65)	367	1967-1978	16y 275d	27y 282d
914	31	Alvin, Tom	1962-04-21	183cm	81kg	218 (129-2-87)	95	1984-1994	21y 345d	32y 143d
1084	19	Betts, Eddie	1986-11-26	174cm	74kg	218 (88-3-127)	330	2005-2013, 2020-2021	18y 120d	34y 268d
1013	8	Whitnall, Lance	1979-08-23	192cm	100kg	216 (89-2-125)	348	1997-2007	17y 220d	28y 10d
1075	29	Scotland, Heath	1980-07-21	182cm	82kg	215 (91-2-122)	69	2004-2014	23y 250d	33y 285d
606	1	Hands, Ken	1926-10-26	185cm	85kg	211 (127-4-80)	188	1945-1957	18y 205d	30y 309d
877	7	Johnston, Wayne	1957-12-19	180cm	82kg	209 (142-1-66)	283	1979-1990	21y 102d	32y 229d
1170	23	Weitering, Jacob	1997-11-23	196cm	98kg	209 (78-1-130)	11	2016-2026	18y 122d	28y 144d
819	8	Keogh, Trevor	1949-07-26	175cm	71kg	208 (142-4-62)	191	1970-1981	20y 273d	31y 343d
456	21	Gill, Frank	1908-12-10	183cm	83kg	205 (145-1-59)	14	1929-1942	20y 138d	33y 213d
424	22	Vallence, Harry	1905-06-04	183cm	81kg	204 (141-1-62)	722	1926-1938	20y 331d	33y 112d
815	12	Armstrong, Barry	1950-09-22	181cm	82kg	204 (139-4-61)	142	1969-1981	18y 307d	30y 334d
1079	1	Walker, Andrew	1986-05-18	190cm	89kg	202 (75-3-124)	139	2004-2016	17y 342d	30y 81d
1040	33	Houlihan, Ryan	1982-01-21	187cm	86kg	201 (71-2-128)	127	2000-2011	18y 120d	29y 197d
967	14	Sexton, Michael	1971-03-05	192cm	92kg	200 (118-1-81)	23	1990-2000	19y 51d	29y 90d
84	1	Elliott, Fred	1879-04-07	177cm	82kg	197 (125-3-69)	86	1900-1901, 1903-1911	21y 28d	32y 162d
