Cap  	#  	Player  	DOB  	HT  	WT  	Games (W-D-L)  	Goals  	Seasons  	Debut  	Last  
1057	10	Pendlebury, Scott	1988-01-07	191cm	90kg	430 (260-5-165)	204	2006-2026	18y 147d	38y 99d
1081	22	Sidebottom, Steele	1991-01-02	184cm	85kg	359 (216-6-137)	209	2009-2026	18y 129d	35y 98d
784	22	Shaw, Tony	1960-07-23	170cm	80kg	313 (177-3-133)	157	1978-1994	18y 20d	34y 50d
246	7	Coventry, Gordon	1901-09-25	183cm	86kg	306 (220-5-81)	1299	1920-1937	18y 324d	36y
674	1	Richardson, Wayne	1946-12-08	179cm	76kg	277 (175-3-99)	323	1966-1978	19y 157d	31y 289d
671	28	Thompson, Len	1947-08-27	200cm	96kg	268 (168-3-97)	217	1965-1978	18y 22d	31y 27d
954	17	Burns, Scott	1974-12-23	181cm	85kg	264 (121-1-142)	149	1995-2008	20y 100d	33y 244d
1118	25	Crisp, Jack	1993-10-02	190cm	90kg	262 (147-4-111)	88	2015-2026	21y 184d	32y 196d
84	17	McHale, Jock	1882-12-12	180cm	78kg	261 (166-5-90)	18	1903-1918, 1920	20y 141d	37y 141d
942	5	Buckley, Nathan	1972-07-26	186cm	91kg	260 (113-2-145)	263	1994-2007	21y 243d	35y 57d
1034	36	Swan, Dane	1984-02-25	185cm	93kg	258 (156-2-100)	211	2003-2016	19y 123d	32y 30d
886	26	Brown, Gavin	1967-09-25	184cm	86kg	254 (114-5-135)	195	1987-2000	19y 184d	32y 315d
303	1	Collier, Harry	1907-10-01	173cm	72kg	253 (193-4-56)	299	1926-1940	18y 226d	32y 244d
434	21	Richards, Lou	1923-03-15	170cm	73kg	250 (152-2-96)	423	1941-1955	18y 84d	32y 151d
792	35	Daicos, Peter	1961-09-20	184cm	84kg	250 (148-4-98)	549	1979-1993	17y 220d	31y 293d
888	28	Crosisca, Gavin	1968-09-15	188cm	88kg	246 (121-5-120)	64	1987-2000	18y 194d	31y 325d
1048	32	Cloke, Travis	1987-03-05	196cm	105kg	246 (149-2-95)	441	2005-2016	18y 51d	29y 176d
373	1	Kyne, Phonse	1915-10-29	188cm	86kg	245 (155-5-85)	237	1934-1944, 1946-1950	18y 188d	34y 287d
1008	26	Johnson, Ben	1981-04-05	183cm	84kg	235 (139-1-95)	70	2000-2013	18y 343d	32y 9d
1122	37	Maynard, Brayden	1996-09-20	189cm	90kg	235 (127-4-104)	25	2015-2026	18y 286d	29y 208d
970	35	Prestigiacomo, Simon	1978-01-31	193cm	96kg	233 (109-1-123)	3	1996-2010	18y 137d	32y 194d
118	13	Lee, Dick	1889-03-19	175cm	76kg	230 (149-5-76)	707	1906-1922	17y 89d	33y 209d
258	6	Coventry, Syd	1899-06-13	182cm	86kg	227 (166-3-58)	62	1922-1934	22y 327d	35y 101d
1004	24	Lockyer, Tarkyn	1979-10-30	178cm	81kg	227 (117-1-109)	149	1999-2010	19y 197d	30y 287d
1009	11	OBree, Shane	1979-03-15	182cm	81kg	227 (117-0-110)	84	2000-2010	20y 364d	31y 75d
138	7	Hughes, Les	1884-04-18	188cm	93kg	225 (147-5-73)	175	1908-1922	24y 14d	38y 144d
1006	1	Davis, Leon	1981-06-17	177cm	80kg	225 (128-2-95)	270	2000-2011	18y 270d	30y 106d
1096	5	Elliott, Jamie	1992-08-21	178cm	81kg	225 (138-3-84)	355	2012-2015, 2017, 2019-2026	19y 279d	33y 238d
975	23	Rocca, Anthony	1977-08-15	195cm	105kg	220 (106-0-114)	404	1997-2009	19y 226d	32y 22d
1024	4	Didak, Alan	1983-02-15	184cm	85kg	218 (138-1-79)	274	2001-2013	18y 87d	30y 204d
283	12	Dibbs, Charlie	1905-04-03	175cm	76kg	216 (164-4-48)	1	1924-1935	19y 37d	30y 185d
687	12	Dunne, Ross	1948-02-25	193cm	82kg	213 (135-2-76)	238	1967-1978	19y 182d	30y 210d
745	25	Picken, Bill	1956-06-07	185cm	81kg	212 (125-2-85)	46	1974-1983, 1986	17y 331d	30y 56d
701	18	Richardson, Max	1948-12-24	183cm	87kg	211 (137-3-71)	158	1969-1978	20y 130d	29y 273d
1041	5	Maxwell, Nick	1983-06-03	193cm	93kg	208 (133-2-73)	29	2004-2014	20y 353d	31y 40d
293	7	Collier, Albert	1909-07-09	180cm	85kg	205 (159-4-42)	54	1925-1930, 1933-1939	15y 297d	30y 83d
910	1	Monkhorst, Damian	1969-08-21	202cm	108kg	205 (107-4-94)	45	1988-1999	18y 232d	29y 344d
909	19	Wright, Graham	1968-06-06	178cm	84kg	201 (110-4-87)	107	1988-1998	19y 302d	30y 85d
1007	25	Fraser, Josh	1982-01-05	202cm	100kg	200 (110-1-89)	156	2000-2010	18y 68d	28y 235d
1055	8	Lumumba, Heritier	1986-11-15	188cm	91kg	199 (129-2-68)	28	2005-2014	18y 258d	27y 287d
328	18	Regan, Jack	1912-09-12	185cm	83kg	196 (135-2-59)	3	1930-1941, 1943, 1946	17y 247d	33y 325d
986	20	Tarrant, Chris	1980-09-18	193cm	94kg	196 (102-0-94)	307	1998-2006, 2011-2012	17y 205d	32y 3d
1123	30	Moore, Darcy	1996-01-25	203cm	100kg	196 (107-4-85)	67	2015-2026	19y 159d	30y 61d
841	7	Morwood, Shane	1961-12-01	191cm	83kg	195 (117-3-75)	111	1983-1993	21y 143d	31y 271d
1136	32	Hoskin-Elliott, Will	1993-09-02	186cm	82kg	190 (113-3-74)	156	2017-2025	23y 203d	31y 339d
70	22	Rowell, Ted	1876-06-15	178cm	80kg	189 (122-2-65)	175	1901-1903, 1906-1915	24y 323d	39y 95d
486	26	Twomey, Bill	1927-09-28	179cm	76kg	189 (124-3-62)	154	1945-1958	17y 205d	30y 329d
924	10	Williams, Paul	1973-04-03	177cm	83kg	189 (81-2-106)	223	1991-2000	17y 355d	27y 124d
1119	2	de Goey, Jordan	1996-03-15	188cm	92kg	187 (102-3-82)	214	2015-2026	19y 20d	30y 26d
705	5	Wearmouth, Ronnie	1950-07-17	175cm	71kg	186 (118-3-65)	127	1969-1981	18y 360d	31y 29d
153	24	Wilson, Percy	1889-03-31	168cm	70kg	183 (123-3-57)	71	1909-1920	20y 38d	31y 185d
648	1	Tuddenham, Des	1943-01-29	180cm	84kg	182 (116-2-64)	251	1962-1971, 1976-1977	19y 110d	34y 70d
654	15	Potter, Ted	1944-11-11	187cm	79kg	182 (114-3-65)	 	1963-1972	18y 188d	27y 303d
923	29	Russell, Scott	1970-05-07	180cm	75kg	182 (97-3-82)	107	1990-1998	19y 329d	28y 100d
997	18	Licuria, Paul	1978-01-04	179cm	82kg	182 (81-0-101)	70	1999-2007	21y 83d	29y 218d
368	16	Pannam, Albert	1914-04-19	169cm	66kg	181 (113-1-67)	453	1933-1943, 1945	19y 94d	31y 128d
533	17	Merrett, Thorold	1933-09-30	168cm	62kg	180 (118-1-61)	148	1950-1960	16y 246d	26y 255d
561	27	Weideman, Murray	1936-02-16	187cm	96kg	180 (99-2-79)	261	1953-1963	17y 173d	27y 203d
665	6	McKenna, Peter	1946-08-27	191cm	87kg	180 (117-2-61)	838	1965-1975	18y 233d	28y 293d
12	 	Pannam, Charlie	1874-10-02	173cm	80kg	179 (124-0-55)	111	1897-1907	22y 218d	32y 214d
485	16	Mann, Neil	1924-08-26	188cm	83kg	179 (116-1-62)	155	1945-1956	20y 238d	32y 20d
521	3	Lucas, Peter	1929-11-23	183cm	81kg	177 (119-1-57)	1	1949-1959	19y 179d	29y 286d
1110	4	Grundy, Brodie	1994-04-15	203cm	100kg	177 (89-2-86)	60	2013-2022	19y 103d	28y 10d
1111	13	Adams, Taylor	1993-09-20	181cm	83kg	175 (96-2-77)	64	2014-2023	20y 175d	29y 352d
1130	38	Howe, Jeremy	1990-06-29	190cm	86kg	175 (104-3-68)	23	2016-2026	25y 285d	35y 291d
37	 	Leach, Arthur	1876-03-02	185cm	86kg	173 (119-0-54)	92	1898-1908	22y 94d	32y 194d
316	22	Murphy, Len	1909-11-23	189cm	86kg	173 (134-4-35)	105	1928-1937	18y 150d	27y 306d
363	28	Whelan, Marcus	1914-06-27	175cm	67kg	173 (117-4-52)	31	1933-1942, 1946-1947	18y 327d	32y 331d
535	9	Kingston, Ron	1931-10-10	179cm	79kg	173 (113-1-59)	7	1950-1959	18y 257d	27y 330d
1054	39	Shaw, Heath	1985-11-27	183cm	86kg	173 (110-2-61)	37	2005-2013	19y 237d	27y 284d
748	30	Moore, Peter	1957-01-11	198cm	97kg	172 (101-2-69)	193	1974-1982	17y 225d	25y 229d
10	 	Monohan, Jack	1873-08-21	184cm	82kg	171 (118-0-53)	7	1897-1907	23y 260d	33y 270d
311	22	Rumney, Harold	1907-05-16	171cm	76kg	171 (130-3-38)	28	1927-1935, 1937	19y 349d	30y 132d
405	10	Hocking, Gordon	1919-08-12	178cm	81kg	171 (103-2-66)	78	1938-1941, 1943-1952	18y 303d	32y 349d
582	11	Turner, Ken	1935-06-30	178cm	76kg	170 (96-3-71)	57	1956-1965	20y 317d	30y 80d
793	12	Banks, Denis	1959-06-16	185cm	81kg	166 (95-2-69)	111	1979-1991	19y 337d	31y 357d
1065	6	Goldsack, Tyson	1987-05-22	193cm	93kg	165 (100-1-64)	50	2007-2018	19y 363d	31y 130d
649	5	Waters, Terry	1943-12-14	188cm	85kg	163 (103-1-59)	181	1963-1972	19y 134d	28y 144d
396	16	Murphy, Jack	1918-02-01	183cm	79kg	160 (84-2-74)	44	1937-1947	19y 138d	29y 210d
574	13	Gabelich, Ray	1933-07-03	193cm	109kg	160 (101-1-58)	43	1955-1960, 1962-1966	21y 301d	33y 83d
760	6	McCormack, Peter	1956-08-01	188cm	86kg	160 (88-1-71)	21	1976-1985	19y 246d	29y 30d
854	24	Turner, Jamie	1962-08-12	183cm	80kg	160 (92-3-65)	33	1984-1993	21y 288d	30y 352d
606	29	Rose, Kevin	1939-06-04	184cm	86kg	159 (94-2-63)	47	1958-1967	19y 66d	28y 90d
1063	34	Toovey, Alan	1987-03-23	189cm	89kg	159 (100-2-57)	9	2007-2016	20y 21d	29y 74d
1147	41	Mihocek, Brody	1993-02-04	192cm	97kg	159 (96-3-60)	267	2018-2025	25y 119d	32y 228d
673	5	Price, Barry	1949-03-08	175cm	73kg	158 (109-2-47)	59	1966-1975, 1979	17y 53d	30y 72d
1020	14	Wakelin, Shane	1974-08-12	191cm	92kg	158 (82-0-76)	1	2001-2008	26y 231d	34y 32d
83	 	Angus, George	1875-04-15	180cm	85kg	157 (108-2-47)	65	1902-1911	27y 55d	36y 133d
106	4	Gibb, Percy	1881-12-06	178cm	72kg	157 (100-2-55)	9	1905-1914	23y 151d	32y 266d
275	15	Makeham, Bob	1901-11-06	185cm	85kg	157 (119-2-36)	97	1923-1932	21y 194d	30y 211d
539	25	Twomey, Michael	1931-09-25	185cm	87kg	157 (95-1-61)	94	1951-1961	19y 208d	29y 279d
1056	13	Thomas, Dale	1987-06-21	185cm	86kg	157 (103-2-52)	121	2006-2013	18y 286d	25y 324d
1084	11	Blair, Jarryd	1990-04-14	174cm	81kg	157 (94-2-61)	121	2010-2018	20y 80d	28y 22d
1142	7	Daicos, Josh	1998-11-26	178cm	76kg	157 (93-3-61)	67	2017-2026	18y 266d	27y 141d
935	36	Rocca, Saverio	1973-11-20	195cm	112kg	156 (70-2-84)	514	1992-2000	18y 214d	26y 225d
270	9	Chesswas, Harry	1901-06-18	173cm	72kg	154 (112-1-41)	45	1922-1931	21y 62d	30y 93d
315	4	Bowyer, Percy	1909-09-06	179cm	71kg	154 (116-3-35)	33	1928-1938	18y 228d	28y 257d
512	8	Hamilton, Jack	1928-11-15	184cm	87kg	154 (100-1-53)	16	1948-1957	19y 196d	28y 282d
