Cap  	#  	Player  	DOB  	HT  	WT  	Games (W-D-L)  	Goals  	Seasons  	Debut  	Last  
115	16	Mundy, David	1985-07-20	193cm	94kg	376 (192-2-182)	161	2005-2022	19y 284d	37y 52d
81	29	Pavlich, Matthew	1981-12-31	192cm	99kg	353 (170-0-183)	700	2000-2016	18y 99d	34y 241d
105	31	Sandilands, Aaron	1982-12-06	211cm	118kg	271 (149-0-122)	98	2003-2019	20y 114d	36y 254d
150	7	Fyfe, Nat	1991-09-18	192cm	96kg	248 (132-3-113)	178	2010-2025	18y 219d	33y 353d
102	18	McPharlin, Luke	1981-12-01	192cm	91kg	244 (132-1-111)	112	2002-2015	20y 197d	33y 272d
114	37	Johnson, Michael	1984-10-20	195cm	92kg	244 (127-1-116)	68	2005-2018	20y 179d	33y 309d
142	10	Walters, Michael	1991-01-07	178cm	78kg	239 (120-3-116)	365	2009-2024	18y 150d	33y 231d
30	23	Parker, Shane	1973-02-18	187cm	92kg	238 (95-0-143)	11	1995-2007	22y 56d	34y 140d
32	8	McManus, Shaun	1976-02-09	179cm	83kg	228 (91-0-137)	95	1995-2008	19y 79d	32y 176d
136	32	Hill, Stephen	1990-05-01	183cm	82kg	218 (111-0-107)	112	2009-2020	18y 332d	30y 142d
79	4	Hasleby, Paul	1981-06-12	182cm	87kg	208 (91-0-117)	131	2000-2007, 2009-2010	18y 273d	29y 76d
74	14	Grover, Antoni	1980-03-11	189cm	98kg	202 (87-0-115)	27	1999-2012	19y 163d	32y 119d
117	15	Crowley, Ryan	1984-03-05	188cm	88kg	188 (104-1-83)	116	2005-2014	21y 84d	30y 192d
196	13	Ryan, Luke	1996-02-06	187cm	92kg	184 (94-2-88)	3	2017-2026	21y 118d	30y 72d
127	5	Ibbotson, Garrick	1988-03-15	186cm	84kg	177 (88-1-88)	22	2007-2017	19y 87d	29y 73d
203	8	Brayshaw, Andrew	1999-11-08	184cm	84kg	176 (89-2-85)	60	2018-2026	18y 136d	26y 162d
131	23	Mayne, Chris	1988-11-02	188cm	84kg	172 (95-1-76)	196	2008-2016	19y 148d	27y 300d
119	41	Duffield, Paul	1985-02-05	188cm	86kg	171 (94-1-76)	33	2006-2015	21y 84d	30y 212d
143	1	Ballantyne, Hayden	1987-07-16	175cm	77kg	171 (94-1-76)	254	2009-2019	21y 346d	32y 32d
3	32	Bell, Peter	1976-03-01	175cm	85kg	163 (72-0-91)	130	1995, 2001-2008	19y 31d	32y 120d
137	8	Suban, Nick	1990-05-09	182cm	85kg	156 (80-1-75)	60	2009-2017	18y 324d	27y 110d
67	19	Walker, James	1979-01-15	178cm	79kg	151 (61-0-90)	16	1998-2007	19y 205d	28y 181d
77	10	Cook, Troy	1976-08-12	176cm	82kg	150 (66-0-84)	66	2000-2007	23y 212d	31y 20d
180	25	Pearce, Alex	1995-06-09	201cm	101kg	144 (72-2-70)	9	2015-2016, 2018-2019, 2021-2026	19y 334d	30y 314d
75	20	Longmuir, Justin	1981-01-21	196cm	100kg	139 (59-0-80)	166	1999-2007	18y 220d	26y 83d
197	36	Cox, Brennan	1998-08-13	195cm	99kg	139 (70-1-68)	32	2017-2026	18y 301d	27y 249d
53	21	Black, Heath	1979-05-28	176cm	82kg	138 (54-0-84)	61	1997-2001, 2005-2008	17y 326d	29y 11d
139	40	de Boer, Matt	1990-03-10	189cm	87kg	138 (78-1-59)	48	2009-2016	19y 53d	26y 171d
12	11	Kickett, Dale	1968-05-04	179cm	81kg	135 (44-0-91)	24	1995-2002	26y 332d	34y 63d
164	27	Neale, Lachie	1993-05-24	177cm	85kg	135 (65-0-70)	67	2012-2018	18y 332d	25y 93d
85	9	Carr, Matthew	1978-12-29	190cm	89kg	134 (61-0-73)	64	2001-2008	22y 92d	29y 112d
223	3	Serong, Caleb	2001-02-09	178cm	83kg	133 (74-2-57)	42	2020-2026	19y 139d	25y 69d
198	4	Darcy, Sean	1998-06-12	202cm	113kg	132 (67-2-63)	50	2017-2026	19y 13d	27y 302d
97	33	Farmer, Jeff	1977-06-24	174cm	80kg	131 (63-0-68)	224	2002-2008	24y 294d	31y 66d
106	3	Schammer, Byron	1985-06-21	176cm	80kg	129 (61-0-68)	38	2003-2011	17y 282d	26y 74d
18	25	Norrish, Jason	1972-01-26	179cm	89kg	128 (42-0-86)	23	1995-2002	23y 65d	30y 218d
103	43	Hayden, Roger	1980-12-09	182cm	82kg	128 (68-0-60)	14	2002-2004, 2006-2011	21y 216d	30y 220d
147	21	Barlow, Michael	1987-12-18	189cm	91kg	126 (78-1-47)	81	2010-2016	22y 100d	28y 210d
172	20	Taberner, Matthew	1993-06-17	198cm	99kg	125 (59-1-65)	173	2013-2024	20y 6d	31y 54d
165	34	Spurr, Lee	1987-07-27	182cm	82kg	120 (72-1-47)	5	2012-2017	24y 283d	29y 360d
202	41	Banfield, Bailey	1998-02-26	190cm	92kg	118 (61-2-55)	66	2018-2025	20y 26d	27y 192d
104	11	Headland, Des	1981-01-21	186cm	91kg	114 (58-0-56)	125	2003-2010	22y 68d	29y 232d
211	39	Switkowski, Sam	1996-11-20	179cm	74kg	111 (61-1-49)	68	2018-2019, 2021-2026	21y 265d	29y 150d
187	18	Tucker, Darcy	1997-01-23	184cm	83kg	108 (42-0-66)	35	2016-2022	19y 92d	25y 209d
186	15	Hughes, Ethan	1994-12-07	188cm	89kg	107 (44-0-63)	6	2015-2024	20y 272d	29y 135d
47	26	Waterhouse, Clive	1974-06-23	184cm	88kg	106 (40-0-66)	178	1996-2001, 2003-2004	21y 296d	29y 340d
41	44	Bandy, Daniel	1975-11-18	200cm	99kg	105 (33-0-72)	80	1995-2001	19y 267d	25y 281d
167	33	Sutcliffe, Cam	1992-05-23	186cm	87kg	104 (59-1-44)	18	2012-2018	20y 46d	26y 67d
169	6	Pearce, Danyle	1986-04-07	178cm	79kg	104 (60-1-43)	51	2013-2018	26y 350d	32y 50d
220	11	Aish, James	1995-11-08	183cm	80kg	104 (54-2-48)	10	2020-2025	24y 134d	29y 223d
225	32	Frederick, Michael	2000-05-17	183cm	71kg	103 (62-1-40)	116	2020-2026	20y 63d	25y 337d
157	13	Mzungu, Tendai	1986-02-28	183cm	86kg	102 (59-1-42)	54	2011-2016	25y 82d	30y 146d
112	25	Dodd, Steven	1983-06-20	191cm	82kg	101 (43-0-58)	7	2004-2010	21y 55d	27y 62d
144	30	Clarke, Zac	1990-03-28	203cm	96kg	101 (52-1-48)	46	2009-2016	19y 91d	26y 145d
141	46	Pearce, Clancee	1990-10-23	182cm	85kg	100 (57-1-42)	36	2009-2016	18y 226d	25y 211d
234	6	Clark, Jordan	2000-10-16	185cm	78kg	100 (59-2-39)	10	2022-2026	21y 155d	25y 185d
94	34	Medhurst, Paul	1981-12-11	179cm	84kg	99 (50-0-49)	166	2002-2006	20y 110d	24y 231d
19	10	OReilly, Stephen	1972-11-09	195cm	100kg	98 (34-0-64)	15	1995-1999	22y 143d	26y 279d
35	42	Callaghan, Craig	1976-03-09	172cm	78kg	95 (28-0-67)	69	1995-2000	19y 72d	24y 136d
222	26	Young, Hayden	2001-04-11	188cm	82kg	91 (48-2-41)	23	2020-2026	19y 63d	25y 8d
215	5	Schultz, Lachie	1997-11-30	178cm	78kg	90 (43-1-46)	101	2019-2023	21y 114d	25y 269d
163	3	Dawson, Zac	1986-02-22	197cm	94kg	89 (52-1-36)	3	2012-2017	26y 38d	31y 39d
101	22	Thornton, Scott	1982-09-11	194cm	87kg	88 (37-0-51)	21	2002-2009	19y 249d	26y 324d
230	35	Treacy, Josh	2002-08-04	193cm	94kg	86 (53-1-32)	131	2021-2026	18y 250d	23y 258d
51	31	Clement, James	1976-09-04	190cm	95kg	84 (26-0-58)	38	1996-2000	19y 286d	23y 336d
113	2	Carr, Josh	1980-04-29	179cm	80kg	83 (40-0-43)	44	2005-2008	24y 331d	28y 122d
23	38	Jones, Anthony	1974-12-19	185cm	89kg	82 (25-0-57)	3	1995-1998, 2000-2003	20y 109d	28y 101d
88	9	McPhee, Adam	1982-10-06	190cm	91kg	81 (40-0-41)	29	2001-2002, 2010-2012	18y 233d	29y 344d
168	11	Sheridan, Tom	1993-10-28	187cm	82kg	81 (40-0-41)	31	2012-2018	18y 309d	24y 301d
28	4	Wills, Andrew	1972-01-03	184cm	84kg	79 (31-0-48)	78	1995-1999	23y 94d	27y 202d
60	2	Fletcher, Adrian	1969-10-10	178cm	84kg	79 (20-0-59)	24	1998-2001	28y 170d	31y 326d
49	28	Koops, Steven	1978-07-24	187cm	83kg	78 (32-0-46)	49	1996-2003	17y 277d	24y 361d
184	19	Blakely, Connor	1996-03-02	188cm	90kg	78 (32-0-46)	3	2015-2021	19y 187d	25y 166d
205	14	Wilson, Nathan	1993-01-07	185cm	81kg	78 (33-0-45)	2	2018-2023	25y 76d	30y 91d
15	9	Mann, Peter	1970-09-07	194cm	89kg	77 (27-0-50)	88	1995-1999	24y 206d	28y 342d
237	24	Amiss, Jye	2003-07-31	196cm	83kg	77 (44-1-32)	127	2022-2026	18y 279d	22y 262d
206	5	Cerra, Adam	1999-10-07	188cm	84kg	76 (32-0-44)	16	2018-2021	18y 175d	21y 312d
118	7	Peake, Brett	1983-07-05	186cm	86kg	75 (34-0-41)	42	2005-2009	21y 349d	26y 42d
95	12	Polak, Graham	1984-06-16	194cm	94kg	73 (40-0-33)	9	2002-2006	17y 288d	22y 78d
238	9	Jackson, Luke	2001-09-29	198cm	84kg	73 (41-1-31)	67	2023-2026	21y 171d	24y 202d
