Cap  	#  	Player  	DOB  	HT  	WT  	Games (W-D-L)  	Goals  	Seasons  	Debut  	Last  
8	4	Greene, Toby	1993-09-25	182cm	83kg	267 (132-2-133)	419	2012-2026	18y 181d	32y 204d
21	8	Ward, Callan	1990-04-10	187cm	84kg	267 (117-4-146)	130	2012-2025	21y 349d	35y 51d
49	6	Whitfield, Lachie	1994-07-18	187cm	81kg	263 (134-4-125)	71	2013-2026	18y 255d	31y 273d
3	3	Coniglio, Stephen	1993-12-15	182cm	86kg	232 (110-1-121)	127	2012-2026	18y 100d	32y 118d
61	22	Kelly, Josh	1995-02-12	184cm	83kg	230 (123-3-104)	144	2014-2025	19y 45d	30y 206d
37	19	Haynes, Nick	1992-05-18	193cm	90kg	211 (100-4-107)	13	2012-2024	20y 15d	32y 99d
74	27	Himmelberg, Harry	1996-05-08	194cm	92kg	207 (115-2-90)	164	2016-2026	20y 70d	29y 344d
5	1	Davis, Phil	1990-08-30	197cm	96kg	174 (81-3-90)	6	2012-2022	21y 207d	31y 313d
2	18	Cameron, Jeremy	1993-04-01	196cm	96kg	171 (77-3-91)	427	2012-2020	18y 358d	27y 170d
12	40	Kennedy, Adam	1992-07-12	182cm	80kg	153 (61-1-91)	14	2012-2023	19y 256d	30y 284d
60	23	Shaw, Heath	1985-11-27	183cm	86kg	152 (86-3-63)	5	2014-2020	28y 108d	34y 296d
18	20	Tomlinson, Adam	1993-08-10	194cm	96kg	140 (61-3-76)	35	2012-2019	18y 227d	26y 49d
16	5	Shiel, Dylan	1993-03-09	182cm	83kg	135 (59-3-73)	64	2012-2018	19y 15d	25y 190d
89	15	Taylor, Sam	1999-05-05	196cm	93kg	131 (73-0-58)	2	2018-2025	19y 29d	26y 124d
101	7	Ash, Lachie	2001-06-21	186cm	80kg	131 (69-1-61)	8	2020-2026	18y 364d	24y 300d
79	36	Perryman, Harry	1998-12-19	184cm	80kg	129 (68-1-60)	28	2017-2024	18y 152d	25y 270d
96	39	Idun, Connor	2000-07-29	191cm	91kg	123 (66-1-56)	 	2019-2026	19y 5d	25y 262d
24	9	Scully, Tom	1991-05-15	181cm	80kg	121 (48-2-71)	67	2012-2018	20y 329d	26y 320d
59	41	Mumford, Shane	1986-07-05	197cm	105kg	116 (70-3-43)	18	2014-2017, 2019-2021	27y 253d	35y 60d
99	12	Green, Tom	2001-01-23	188cm	85kg	115 (60-1-54)	49	2020-2025	19y 58d	24y 226d
72	2	Hopper, Jacob	1997-02-06	187cm	87kg	114 (63-2-49)	42	2016-2022	19y 98d	25y 195d
