Cap  	#  	Player  	DOB  	HT  	WT  	Games (W-D-L)  	Goals  	Seasons  	Debut  	Last  
1010	26	Hawkins, Tom	1988-07-21	198cm	103kg	359 (251-3-105)	796	2007-2024	18y 260d	35y 336d
1009	14	Selwood, Joel	1988-05-26	183cm	84kg	355 (259-1-95)	175	2007-2022	18y 310d	34y 121d
975	44	Enright, Corey	1981-09-14	187cm	90kg	332 (220-3-109)	66	2001-2016	19y 206d	35y 9d
696	40	Nankervis, Ian	1948-01-03	183cm	73kg	325 (159-1-165)	203	1967-1983	19y 144d	35y 236d
980	3	Bartel, Jimmy	1983-12-04	187cm	87kg	305 (213-3-89)	202	2002-2016	18y 116d	32y 294d
1019	22	Duncan, Mitch	1991-06-10	188cm	88kg	305 (216-2-87)	185	2010-2025	18y 289d	34y 25d
676	17	Newman, Sam	1945-12-22	189cm	94kg	300 (165-2-133)	110	1964-1980	18y 132d	34y 266d
1040	46	Blicavs, Mark	1991-03-28	198cm	100kg	300 (199-3-98)	81	2013-2026	22y 4d	35y 20d
943	39	Milburn, Darren	1977-04-15	189cm	92kg	292 (181-1-110)	94	1997-2011	19y 349d	34y 140d
907	15	Riccardi, Peter	1972-12-17	183cm	92kg	288 (159-3-126)	286	1992-2006	19y 117d	33y 239d
956	30	Scarlett, Matthew	1979-06-05	192cm	94kg	284 (185-2-97)	17	1998-2012	19y 85d	33y 95d
995	4	Mackie, Andrew	1984-08-07	193cm	82kg	280 (207-2-71)	100	2004-2017	19y 247d	33y 46d
1013	7	Taylor, Harry	1986-06-12	195cm	94kg	280 (203-2-75)	75	2008-2020	21y 292d	34y 134d
970	11	Corey, Joel	1982-02-17	191cm	89kg	276 (182-2-92)	79	2000-2013	18y 134d	31y 215d
871	32	Hocking, Garry	1968-10-08	182cm	84kg	274 (149-3-122)	243	1987-2001	18y 185d	32y 328d
986	9	Kelly, James	1983-12-29	183cm	85kg	273 (185-1-87)	88	2002-2015	18y 126d	31y 250d
851	7	Couch, Paul	1964-07-19	180cm	82kg	259 (153-1-105)	203	1985-1997	20y 282d	32y 295d
717	33	Nankervis, Bruce	1950-08-14	179cm	80kg	253 (119-0-134)	80	1970-1983	19y 282d	33y 13d
985	20	Johnson, Steve	1983-07-04	189cm	95kg	253 (178-3-72)	452	2002-2015	18y 304d	32y 63d
969	35	Chapman, Paul	1981-11-05	179cm	87kg	251 (166-2-83)	336	2000-2013	18y 204d	31y 312d
