Cap  	#  	Player  	DOB  	HT  	WT  	Games (W-D-L)  	Goals  	Seasons  	Debut  	Last  
20	24	Swallow, David	1992-11-19	185cm	87kg	249 (76-1-172)	111	2011-2015, 2017-2025	18y 134d	32y 298d
71	11	Miller, Touk	1996-02-22	178cm	83kg	220 (74-2-144)	75	2015-2026	19y 41d	30y 55d
8	5	Harbrow, Jarrod	1988-07-18	178cm	73kg	192 (48-2-142)	33	2011-2021	22y 258d	33y 34d
51	6	Sexton, Alex	1993-12-03	186cm	83kg	186 (55-0-131)	164	2012-2025	18y 168d	31y 262d
93	28	Witts, Jarrod	1992-09-13	209cm	111kg	171 (65-1-105)	28	2017-2026	24y 193d	33y 217d
88	9	Ainsworth, Ben	1998-02-10	178cm	77kg	158 (59-1-98)	137	2017-2025	19y 43d	27y 215d
32	12	Day, Sam	1992-09-06	197cm	104kg	155 (46-2-107)	117	2011-2016, 2018-2024	18y 243d	31y 304d
63	23	Lemmens, Sean	1994-11-02	184cm	84kg	149 (44-2-103)	25	2014-2025	19y 133d	30y 217d
107	25	Collins, Sam	1994-06-15	194cm	98kg	141 (63-1-77)	 	2019-2026	24y 282d	31y 307d
98	7	Holman, Nick	1995-05-29	189cm	87kg	138 (54-0-84)	78	2018-2025	22y 299d	30y 79d
101	10	Ballard, Charlie	1999-07-23	195cm	91kg	138 (47-1-90)	3	2018-2026	18y 286d	26y 269d
105	27	Powell, Wil	1999-08-26	185cm	76kg	136 (60-1-75)	18	2018-2026	18y 308d	26y 235d
117	15	Anderson, Noah	2001-02-17	188cm	86kg	134 (58-1-75)	56	2020-2026	19y 33d	25y 53d
17	35	Rischitelli, Michael	1986-01-08	185cm	84kg	132 (31-0-101)	44	2011-2019	25y 84d	33y 228d
34	19	Lynch, Tom	1992-10-31	199cm	99kg	131 (37-1-93)	254	2011-2018	18y 188d	25y 235d
114	34	King, Ben	2000-07-07	202cm	87kg	126 (52-1-73)	279	2019-2021, 2023-2026	18y 316d	25y 285d
30	17	May, Steven	1992-01-10	193cm	100kg	123 (38-1-84)	21	2011-2018	19y 111d	26y 227d
87	8	Fiorini, Brayden	1997-08-22	186cm	82kg	123 (42-1-80)	41	2016-2025	18y 364d	28y 22d
99	14	Weller, Lachie	1996-02-23	181cm	81kg	120 (44-1-75)	35	2018-2026	22y 29d	30y 54d
110	13	Lukosius, Jack	2000-08-09	195cm	83kg	116 (40-1-75)	79	2019-2024	18y 227d	24y 15d
121	18	Rowell, Matt	2001-07-01	178cm	74kg	113 (53-0-60)	35	2020-2026	18y 264d	24y 291d
1	9	Ablett, Gary	1984-05-14	182cm	87kg	110 (35-0-75)	124	2011-2017	26y 323d	33y 83d
15	18	McKenzie, Trent	1992-04-03	191cm	83kg	106 (29-0-77)	22	2011-2017	18y 364d	25y 145d
40	16	Thompson, Rory	1991-03-12	200cm	100kg	106 (32-1-73)	7	2011-2018, 2022	20y 119d	31y 70d
47	33	Hall, Aaron	1990-11-09	185cm	85kg	103 (33-1-69)	76	2012-2018	21y 143d	27y 205d
