Cap  	#  	Player  	DOB  	HT  	WT  	Games (W-D-L)  	Goals  	Seasons  	Debut  	Last  
614	17	Tuck, Michael	1953-06-24	188cm	76kg	426 (302-1-123)	320	1972-1991	18y 331d	38y 96d
598	3	Matthews, Leigh	1952-03-01	178cm	86kg	332 (220-1-111)	915	1969-1985	17y 147d	33y 211d
872	22	Breust, Luke	1990-11-11	184cm	84kg	308 (187-2-119)	553	2011-2025	20y 185d	34y 286d
814	5	Mitchell, Sam	1982-10-12	180cm	84kg	307 (189-1-117)	67	2002-2016	19y 197d	33y 340d
742	9	Crawford, Shane	1974-09-09	174cm	80kg	305 (154-2-149)	224	1993-2008	18y 199d	34y 18d
813	15	Hodge, Luke	1984-06-15	185cm	92kg	305 (180-2-123)	193	2002-2017	17y 316d	33y 71d
690	24	Langford, Chris	1963-01-02	193cm	96kg	303 (205-2-96)	33	1983-1997	20y 146d	34y 240d
574	23	Scott, Don	1947-12-20	190cm	89kg	302 (187-1-114)	133	1967-1981	19y 144d	33y 252d
608	15	Moore, Kelvin	1950-08-15	188cm	86kg	300 (201-0-99)	21	1970-1984	20y 7d	34y 17d
830	2	Roughead, Jarryd	1987-01-23	193cm	98kg	283 (176-2-105)	578	2005-2015, 2017-2019	18y 77d	32y 207d
661	7	Ayres, Gary	1960-09-28	187cm	95kg	269 (196-1-72)	70	1978-1993	17y 311d	32y 342d
701	19	Dunstall, Jason	1964-08-14	188cm	98kg	269 (177-1-91)	1254	1985-1998	20y 237d	34y 15d
596	24	Knights, Peter	1952-03-30	188cm	84kg	264 (176-1-87)	201	1969-1985	17y 62d	33y 175d
829	3	Lewis, Jordan	1986-04-24	186cm	86kg	264 (169-1-94)	145	2005-2016	18y 351d	30y 145d
704	44	Platten, John	1963-03-17	170cm	70kg	258 (165-1-92)	228	1986-1997	23y 14d	34y 166d
877	19	Gunston, Jack	1991-10-16	193cm	87kg	257 (162-1-94)	531	2012-2022, 2024-2026	20y 166d	34y 177d
858	26	Shiels, Liam	1991-04-29	183cm	84kg	255 (156-3-96)	90	2009-2022	18y 32d	31y 107d
866	9	Burgoyne, Shaun	1982-10-21	186cm	89kg	250 (166-4-80)	131	2010-2021	27y 207d	38y 304d
837	14	Birchall, Grant	1988-01-28	193cm	89kg	248 (167-1-80)	34	2006-2017, 2019	18y 64d	31y 186d
665	34	Kennedy, John	1959-11-22	190cm	90kg	241 (165-1-75)	210	1979-1991	19y 171d	31y 149d
640	9	DiPierdomenico, Robert	1958-05-05	185cm	93kg	240 (170-0-70)	130	1975, 1978-1991	17y 89d	33y 36d
453	2	Arthur, Graham	1936-06-09	180cm	86kg	232 (117-2-113)	201	1955-1968	18y 311d	32y 83d
671	2	Mew, Chris	1961-05-07	189cm	90kg	230 (166-1-63)	21	1980-1992	19y 17d	31y 122d
649	26	Eade, Rodney	1958-04-04	183cm	84kg	229 (152-1-76)	46	1976-1987	18y 111d	29y 161d
610	6	Moncrieff, Michael	1952-08-19	191cm	85kg	224 (140-0-84)	629	1971-1983	18y 234d	30y 359d
601	14	Martello, Alan	1952-09-14	193cm	100kg	223 (148-0-75)	164	1970-1980	17y 202d	27y 337d
743	34	Graham, Mark	1973-03-13	190cm	84kg	223 (103-2-118)	61	1993-2004	20y 48d	31y 169d
445	23	Peck, John	1937-08-07	188cm	91kg	213 (106-2-105)	475	1954-1966	16y 255d	29y 20d
710	4	Collins, Andrew	1965-04-25	174cm	75kg	212 (135-1-76)	37	1987-1996	21y 360d	31y 128d
521	27	Parkin, David	1942-09-12	180cm	80kg	211 (116-2-93)	21	1961-1974	18y 348d	32y 9d
712	18	Pritchard, Darrin	1966-03-21	178cm	74kg	211 (135-1-75)	94	1987-1997	21y 56d	31y 162d
871	16	Smith, Isaac	1988-12-30	188cm	83kg	210 (144-1-65)	165	2011-2020	22y 127d	31y 224d
905	15	Hardwick, Blake	1997-02-05	181cm	79kg	204 (100-2-102)	32	2016-2026	19y 176d	29y 72d
774	19	Dixon, Ben	1977-06-14	188cm	91kg	203 (98-1-104)	282	1997-2007	19y 316d	30y 93d
624	2	Ablett, Geoff	1955-03-13	180cm	80kg	202 (137-0-65)	135	1973-1982	18y 67d	27y 189d
865	24	Stratton, Ben	1989-03-01	189cm	88kg	202 (133-1-68)	2	2010-2020	21y 41d	31y 203d
39	19	Pool, Ted	1905-11-09	165cm	65kg	200 (42-1-157)	230	1926-1938	20y 173d	32y 221d
823	12	Sewell, Brad	1984-02-02	181cm	86kg	200 (122-1-77)	32	2004-2014	20y 69d	30y 215d
559	30	Meagher, Des	1944-03-07	185cm	86kg	198 (115-1-82)	96	1966-1976	22y 47d	32y 188d
612	25	Hendrie, John	1953-06-11	188cm	87kg	197 (126-0-71)	254	1972-1982	18y 295d	28y 289d
122	12	Mills, Bert	1910-02-16	180cm	86kg	196 (54-1-141)	60	1930-1942	20y 76d	32y 152d
870	28	Puopolo, Paul	1987-12-02	173cm	78kg	196 (136-0-60)	185	2011-2020	23y 155d	32y 293d
708	1	Jencke, Ray	1966-03-25	185cm	84kg	194 (123-1-70)	27	1986-1997	20y 61d	31y 46d
412	27	Simmonds, Roy	1928-12-29	175cm	80kg	192 (81-1-110)	78	1950-1961	21y 191d	32y 212d
686	23	Brereton, Dermott	1964-08-19	186cm	89kg	189 (142-1-46)	427	1982-1992	18y 23d	27y 341d
849	33	Rioli, Cyril	1989-07-14	177cm	80kg	189 (129-1-59)	275	2008-2018	18y 253d	28y 275d
899	6	Sicily, James	1995-01-06	186cm	87kg	185 (98-1-86)	76	2015-2020, 2022-2026	20y 96d	31y 102d
670	29	Greene, Russell	1957-05-30	185cm	78kg	184 (124-1-59)	82	1980-1988	22y 360d	31y 117d
779	24	Croad, Trent	1980-03-09	190cm	92kg	184 (88-1-95)	129	1998-2001, 2004-2008	18y 19d	28y 202d
826	23	Franklin, Lance	1987-01-30	199cm	105kg	182 (109-1-72)	580	2005-2013	18y 56d	26y 241d
769	37	Lekkas, Angelo	1976-06-29	185cm	86kg	180 (75-1-104)	120	1996-2005	20y 34d	29y 59d
749	2	Holland, Nick	1974-07-29	195cm	102kg	179 (79-2-98)	239	1994-2005	19y 253d	30y 311d
