Cap  	#  	Player  	DOB  	HT  	WT  	Games (W-D-L)  	Goals  	Seasons  	Debut  	Last  
1144	9	Neitz, David	1975-01-22	191cm	103kg	306 (140-0-166)	631	1993-2008	18y 64d	33y 89d
1246	2	Jones, Nathan	1988-01-20	180cm	87kg	302 (101-3-198)	141	2006-2021	18y 191d	33y 157d
924	2	Flower, Robert	1955-08-05	183cm	75kg	272 (88-0-184)	315	1973-1987	17y 308d	32y 45d
1163	13	Yze, Adem	1977-09-21	187cm	87kg	271 (120-1-150)	234	1995-2008	17y 283d	30y 345d
1093	11	Stynes, Jim	1966-04-23	199cm	99kg	264 (135-1-128)	130	1987-1998	20y 353d	32y 148d
1102	21	Febey, Steven	1969-08-19	184cm	82kg	258 (130-0-128)	40	1988-2001	18y 269d	32y 14d
1208	18	Green, Brad	1981-03-13	184cm	86kg	254 (106-3-145)	350	2000-2012	19y 4d	31y 166d
1279	11	Gawn, Max	1991-12-30	208cm	109kg	253 (122-1-130)	118	2011, 2013-2026	19y 155d	34y 110d
754	9	Dixon, Brian	1936-05-20	175cm	70kg	252 (169-3-80)	41	1954-1968	17y 360d	32y 103d
1282	25	McDonald, Tom	1992-09-18	194cm	99kg	252 (111-1-140)	170	2011-2026	18y 344d	33y 205d
1183	23	McDonald, James	1976-10-05	180cm	75kg	251 (103-1-147)	56	1997-2010	20y 295d	33y 328d
1295	7	Viney, Jack	1994-04-13	178cm	84kg	237 (105-1-131)	70	2013-2025	18y 352d	31y 131d
1190	34	White, Jeff	1977-02-19	195cm	95kg	236 (108-1-127)	95	1998-2008	21y 38d	31y 194d
1084	17	Lovett, Brett	1966-05-20	180cm	92kg	235 (121-1-113)	48	1986-1997	20y 39d	31y 81d
1091	12	Viney, Todd	1966-03-30	183cm	92kg	233 (110-1-122)	92	1987-1999	20y 363d	33y 151d
1184	24	Robertson, Russell	1978-11-24	187cm	91kg	228 (105-1-122)	428	1997-2009	18y 264d	30y 279d
823	15	Alves, Stan	1946-05-22	178cm	78kg	226 (80-0-146)	160	1965-1976	19y 7d	30y 91d
1078	3	Lyon, Garry	1967-09-13	193cm	96kg	226 (127-1-98)	426	1986-1999	18y 197d	31y 274d
885	11	Wells, Greg	1950-06-06	175cm	80kg	224 (75-1-148)	251	1969-1980	19y 71d	30y 15d
1205	32	Bruce, Cameron	1979-09-30	190cm	87kg	224 (91-2-131)	210	2000-2010	20y 160d	30y 333d
856	33	Hardeman, Gary	1950-02-26	187cm	86kg	219 (73-1-145)	113	1967-1977, 1981	17y 62d	31y 184d
523	12	Mueller, Jack	1915-09-09	188cm	89kg	216 (136-2-78)	378	1934-1950	18y 238d	34y 358d
486	24	Beames, Percy	1911-07-27	165cm	70kg	213 (113-1-99)	323	1931-1944	19y 328d	33y 37d
1327	5	Petracca, Christian	1996-01-04	186cm	96kg	212 (114-1-97)	202	2016-2025	20y 117d	29y 230d
543	4	Smith, Norm	1915-11-21	183cm	81kg	210 (134-2-74)	546	1935-1948	19y 269d	32y 323d
740	25	Williams, Don	1935-11-03	182cm	80kg	205 (127-3-75)	5	1953-1959, 1964-1968	17y 187d	32y 176d
1324	13	Oliver, Clayton	1997-07-22	187cm	85kg	205 (109-1-95)	58	2016-2025	18y 248d	28y 31d
741	31	Barassi, Ron	1936-02-27	179cm	87kg	204 (149-4-51)	295	1953-1964	17y 78d	28y 205d
1307	3	Salem, Christian	1995-07-15	183cm	81kg	204 (100-1-103)	28	2014-2026	18y 285d	30y 270d
933	35	Smith, Steven	1956-05-22	193cm	91kg	203 (62-0-141)	144	1974-1985	17y 333d	28y 347d
783	8	Johnson, Tassie	1937-12-02	189cm	89kg	202 (111-2-89)	20	1959-1969	21y 137d	31y 271d
861	4	Sullivan, Tony	1949-01-18	180cm	82kg	191 (63-1-127)	1	1967-1979	18y 185d	30y 163d
1062	8	Yeats, Graeme	1964-09-21	179cm	78kg	182 (97-1-84)	45	1984-1995	19y 241d	30y 338d
784	29	Mann, Hassa	1940-10-10	177cm	76kg	178 (111-2-65)	193	1959-1968	18y 190d	27y 326d
1231	36	Davey, Aaron	1983-06-10	177cm	75kg	178 (62-3-113)	174	2004-2013	20y 291d	30y 83d
706	30	Beckwith, John	1932-09-16	180cm	76kg	176 (107-4-65)	19	1951-1960	18y 217d	28y 8d
1318	30	Neal-Bullen, Alex	1996-01-09	182cm	80kg	176 (101-1-74)	116	2015-2024	19y 156d	28y 227d
1336	31	Fritsch, Bayley	1996-12-06	188cm	82kg	176 (93-1-82)	298	2018-2026	21y 109d	29y 134d
667	35	McMahen, Noel	1926-10-30	184cm	86kg	175 (96-3-76)	28	1946-1956	19y 221d	29y 321d
809	14	Bourke, Barry	1943-09-14	179cm	77kg	175 (77-1-97)	154	1963-1966, 1968-1973	19y 223d	29y 352d
1123	5	Schwarz, David	1972-07-24	195cm	105kg	173 (80-1-92)	243	1991-1995, 1997-2002	18y 243d	29y 339d
522	17	La Fontaine, Allan	1910-12-15	175cm	81kg	171 (109-1-61)	77	1934-1942, 1945	23y 141d	34y 260d
785	22	Kenneally, Bryan	1942-03-26	180cm	79kg	171 (99-1-71)	68	1959-1969	17y 107d	27y 157d
868	19	Biffin, Ray	1949-05-06	182cm	92kg	170 (62-1-107)	131	1968-1979	19y 61d	30y 118d
819	6	Davis, Frank	1944-08-25	178cm	78kg	168 (67-1-100)	2	1964-1973	19y 328d	29y 7d
1310	10	Brayshaw, Angus	1996-01-09	187cm	87kg	167 (94-1-72)	49	2015-2023	19y 85d	27y 241d
595	21	Cordner, Don	1922-01-21	188cm	89kg	166 (90-1-75)	23	1941-1950	19y 235d	28y 224d
1245	14	Dunn, Lynden	1987-05-14	192cm	102kg	165 (43-2-120)	97	2006-2016	18y 356d	28y 352d
404	35	Taylor, Dick	1900-11-28	178cm	70kg	164 (93-3-68)	100	1922-1931, 1935	21y 292d	34y 192d
749	6	Adams, Frank	1935-06-12	168cm	76kg	164 (116-3-45)	180	1953-1964	18y 50d	29y 99d
1079	18	Stretch, Steven	1964-01-05	184cm	81kg	164 (90-1-73)	71	1986-1993	22y 83d	29y 222d
1107	2	Tingay, Stephen	1970-08-13	181cm	85kg	162 (88-0-74)	84	1989-1999	18y 231d	28y 282d
364	12	Corbett, Bob	1895-11-23	178cm	76kg	161 (85-3-73)	9	1920-1929	24y 160d	33y 281d
1185	16	Johnstone, Travis	1980-07-17	184cm	83kg	160 (78-1-81)	111	1998-2007	17y 255d	27y 47d
1262	39	Jetta, Neville	1990-02-12	180cm	83kg	159 (61-2-96)	24	2009-2021	19y 45d	31y 99d
1234	12	Sylvia, Colin	1985-11-08	186cm	86kg	157 (48-2-107)	129	2004-2013	18y 196d	27y 297d
1225	40	Jamar, Mark	1983-08-09	198cm	101kg	155 (50-3-102)	56	2003-2015	19y 233d	31y 267d
1036	7	Wilson, Brian	1961-09-30	180cm	82kg	154 (74-0-80)	208	1982-1990	20y 179d	28y 329d
750	11	Mithen, Laurie	1934-04-15	183cm	83kg	153 (114-1-38)	108	1954-1962	20y 4d	28y 139d
805	16	Townsend, John	1943-06-16	171cm	66kg	153 (73-1-79)	182	1962-1972	19y 21d	29y 50d
1265	4	Watts, Jack	1991-03-26	196cm	88kg	153 (46-2-105)	143	2009-2017	18y 74d	26y 153d
92	 	Coutie, Vin	1881-10-28	 	 	152 (56-2-94)	212	1901-1911	19y 237d	29y 232d
