Cap  	#  	Player  	DOB  	HT  	WT  	Games (W-D-L)  	Goals  	Seasons  	Debut  	Last  
102	10	Boak, Travis	1988-08-01	183cm	85kg	387 (204-1-182)	215	2007-2025	18y 320d	37y 21d
61	18	Cornes, Kane	1983-01-05	183cm	78kg	300 (151-2-147)	93	2001-2015	18y 148d	32y 139d
101	39	Westhoff, Justin	1986-10-01	199cm	96kg	280 (138-1-141)	313	2007-2020	20y 245d	33y 333d
144	16	Wines, Ollie	1994-10-07	190cm	99kg	276 (159-0-117)	104	2013-2026	18y 175d	31y 193d
100	9	Gray, Robbie	1988-03-30	183cm	84kg	271 (140-0-131)	367	2007-2022	19y 65d	34y 143d
24	16	Tredrea, Warren	1978-12-24	194cm	96kg	255 (145-2-108)	549	1997-2010	18y 103d	31y 135d
4	7	Burgoyne, Peter	1978-01-29	183cm	84kg	240 (132-3-105)	193	1997-2009	19y 59d	31y 212d
49	35	Cornes, Chad	1979-11-12	192cm	95kg	239 (133-1-105)	175	1999-2011	19y 171d	31y 267d
14	5	Lade, Brendon	1976-07-10	199cm	102kg	234 (128-3-103)	182	1997-2000, 2002-2009	20y 262d	33y 50d
64	25	Cassisi, Domenic	1982-09-22	184cm	82kg	228 (116-2-110)	74	2002-2014	19y 287d	31y 301d
159	33	Byrne-Jones, Darcy	1995-09-20	181cm	75kg	227 (130-0-97)	76	2016-2026	20y 201d	30y 210d
130	42	Jonas, Tom	1991-01-09	188cm	89kg	216 (122-1-93)	2	2011-2023	20y 216d	32y 230d
110	8	Hartlett, Hamish	1990-08-14	185cm	83kg	193 (99-1-93)	77	2009-2021	18y 247d	30y 309d
21	15	Wilson, Michael	1976-11-21	181cm	89kg	192 (104-4-84)	51	1997-2001, 2003-2008	20y 128d	31y 213d
131	7	Ebert, Brad	1990-04-02	189cm	90kg	184 (98-1-85)	107	2012-2020	21y 365d	30y 197d
33	17	Dew, Stuart	1979-08-18	183cm	99kg	180 (102-3-75)	245	1997-2006	17y 329d	27y 15d
60	20	Brogan, Dean	1978-12-14	200cm	101kg	174 (99-1-74)	50	2001-2011	22y 164d	32y 264d
25	4	Wanganeen, Gavin	1973-06-18	181cm	83kg	173 (106-3-64)	138	1997-2006	23y 292d	32y 287d
113	5	Broadbent, Matthew	1990-08-01	189cm	90kg	171 (77-1-93)	52	2009-2017, 2019	18y 352d	29y 24d
