Cap  	#  	Player  	DOB  	HT  	WT  	Games (W-D-L)  	Goals  	Seasons  	Debut  	Last  
1348	35	Harvey, Robert	1971-08-21	181cm	86kg	383 (194-4-185)	215	1988-2008	16y 351d	37y 30d
1484	12	Riewoldt, Nick	1982-10-17	193cm	92kg	336 (168-6-162)	718	2001-2017	18y 269d	34y 314d
1335	3	Burke, Nathan	1970-02-06	180cm	85kg	323 (136-3-184)	124	1987-2003	17y 92d	33y 184d
1325	23	Loewe, Stewart	1968-05-23	194cm	108kg	321 (135-2-184)	594	1986-2002	18y 1d	34y 100d
1117	4	Breen, Barry	1948-01-07	191cm	93kg	300 (144-5-151)	308	1965-1982	17y 135d	34y 184d
1459	7	Hayes, Lenny	1980-01-14	186cm	84kg	297 (140-6-151)	95	1999-2014	19y 100d	34y 229d
1490	11	Montagna, Leigh	1983-11-02	178cm	76kg	287 (152-5-130)	155	2002-2017	18y 182d	33y 262d
1481	44	Milne, Stephen	1980-03-08	176cm	83kg	275 (145-5-125)	574	2001-2013	21y 44d	33y 176d
1140	12	Colling, Gary	1950-03-17	188cm	87kg	265 (117-4-144)	49	1968-1981	18y 34d	31y 11d
1488	26	Dal Santo, Nick	1984-02-22	185cm	85kg	260 (145-5-110)	140	2002-2013	18y 58d	29y 190d
1118	18	Neale, Kevin	1945-07-18	189cm	99kg	256 (136-3-117)	301	1965-1977	19y 308d	32y 40d
1390	1	Peckett, Justin	1972-10-05	182cm	87kg	252 (114-2-136)	50	1992-2006	19y 189d	33y 338d
1294	2	Frawley, Danny	1963-09-08	191cm	95kg	240 (85-2-153)	13	1984-1995	20y 228d	31y 359d
1083	3	Smith, Ross	1942-09-12	173cm	71kg	234 (149-1-84)	230	1961-1972, 1975	18y 222d	32y 352d
1445	8	Hudghton, Max	1976-09-02	191cm	93kg	234 (110-3-121)	14	1997-2009	20y 208d	32y 348d
1188	1	Barker, Trevor	1956-10-07	183cm	78kg	230 (60-5-165)	134	1975-1989	18y 187d	32y 330d
1332	7	Winmar, Nicky	1965-09-25	183cm	81kg	230 (106-1-123)	283	1987-1998	21y 184d	32y 352d
1500	25	Fisher, Sam	1982-07-10	191cm	94kg	228 (125-5-98)	22	2004-2016	21y 303d	34y 49d
1171	31	Sarau, Jeff	1954-01-25	191cm	96kg	226 (67-4-155)	119	1973-1983	19y 86d	29y 214d
1420	5	Jones, Austinn	1976-09-28	176cm	82kg	226 (103-2-121)	127	1995-2005	18y 186d	28y 353d
1198	5	Cunningham, Geoff	1959-01-07	183cm	83kg	224 (52-2-170)	58	1977-1989	18y 94d	30y 161d
1446	4	Thompson, Andrew	1972-10-21	180cm	81kg	221 (103-2-116)	93	1997-2007	24y 159d	34y 315d
1470	27	Blake, Jason	1981-03-15	189cm	90kg	219 (120-5-94)	38	2000-2013	19y 51d	32y 169d
235	1	Lever, Harry	1886-01-05	178cm	76kg	218 (81-2-135)	6	1905-1915, 1918-1919, 1921-1922	19y 226d	36y 254d
1578	35	Sinclair, Jack	1995-02-12	181cm	81kg	216 (95-1-120)	69	2015-2026	20y 52d	31y 65d
1553	6	Ross, Sebastian	1993-05-07	188cm	88kg	211 (87-2-122)	36	2012-2024	19y 110d	31y 38d
1108	2	Mynott, Brian	1944-01-29	193cm	92kg	210 (125-1-84)	75	1964-1975	20y 164d	31y 213d
1510	19	Gilbert, Sam	1986-08-19	194cm	90kg	208 (112-6-90)	38	2006-2018	19y 275d	32y 7d
1521	14	Geary, Jarryn	1988-06-23	183cm	82kg	207 (102-2-103)	34	2008-2021	19y 273d	32y 347d
1495	18	Goddard, Brendon	1985-05-20	193cm	94kg	205 (126-3-76)	104	2003-2012	17y 336d	27y 105d
1094	10	Ditterich, Carl	1945-10-10	193cm	91kg	203 (116-3-84)	156	1963-1972, 1976-1978	17y 192d	32y 327d
1457	10	Baker, Steven	1980-05-22	181cm	85kg	203 (105-4-94)	35	1999-2011	18y 317d	31y 91d
1479	23	Koschitzke, Justin	1982-09-20	197cm	94kg	200 (111-3-86)	247	2001-2013	18y 207d	30y 345d
310	11	Eicke, Wels	1893-09-27	177cm	74kg	197 (74-3-120)	61	1909-1915, 1918-1924, 1926	15y 314d	32y 349d
627	10	Mohr, Bill	1909-06-29	182cm	81kg	195 (94-0-101)	735	1929-1941	19y 302d	31y 301d
1297	6	Grant, David	1966-08-07	184cm	84kg	191 (69-1-121)	75	1984-1995	17y 300d	29y 5d
1588	9	Steele, Jack	1995-12-13	187cm	90kg	185 (80-1-104)	61	2017-2025	21y 102d	29y 254d
1280	4	Lockett, Tony	1966-03-09	191cm	104kg	183 (68-0-115)	898	1983-1994	17y 38d	28y 171d
1531	3	Steven, Jack	1990-03-28	180cm	83kg	183 (69-3-111)	112	2009-2019	19y 133d	29y 149d
1396	10	Everitt, Peter	1974-05-03	203cm	108kg	180 (73-2-105)	300	1993-2002	18y 328d	28y 120d
1561	29	Webster, Jimmy	1993-06-28	188cm	83kg	180 (74-1-105)	4	2013-2019, 2021-2025	19y 319d	32y 7d
1577	28	Membrey, Tim	1994-05-26	190cm	89kg	178 (84-2-92)	293	2015-2024	20y 314d	30y 91d
1124	19	Davis, Allan	1948-09-29	180cm	78kg	173 (99-1-73)	308	1966-1975	17y 257d	26y 335d
958	10	Roberts, Neil	1933-06-15	185cm	81kg	169 (61-2-106)	40	1952-1962	19y 34d	29y 71d
1218	11	Burns, Greg	1958-02-21	183cm	83kg	169 (38-2-129)	114	1978-1989	20y 158d	31y 173d
1516	20	Armitage, David	1988-06-16	185cm	88kg	169 (69-1-99)	98	2007-2019	18y 337d	31y 6d
1524	24	Dempster, Sean	1984-01-20	191cm	87kg	168 (73-3-92)	13	2008-2016	24y 83d	32y 221d
1132	14	ODea, Jim	1949-02-02	185cm	91kg	167 (88-2-77)	7	1967-1976, 1978-1980	18y 107d	31y 196d
733	4	Williamson, Col	1913-12-31	185cm	85kg	165 (55-3-107)	44	1937-1946	23y 114d	32y 243d
1042	8	Morrow, Alan	1936-11-29	183cm	89kg	163 (96-0-67)	151	1957-1966	20y 156d	29y 299d
1592	19	Marshall, Rowan	1995-11-24	201cm	104kg	161 (74-0-87)	78	2017-2026	21y 240d	30y 145d
1603	44	Wilkie, Callum	1996-03-10	191cm	87kg	161 (76-0-85)	1	2019-2026	23y 14d	30y 39d
624	21	Roberts, William	1908-12-04	178cm	74kg	160 (75-0-85)	6	1928-1937	19y 146d	28y 260d
1054	16	Howell, Verdun	1937-06-16	179cm	80kg	159 (92-0-67)	59	1958-1968	21y 33d	30y 316d
1133	7	Trott, Stuart	1948-04-25	177cm	76kg	159 (89-0-70)	69	1967-1974	19y 25d	26y 128d
218	8	Dangerfield, Gordon	1885-09-27	182cm	83kg	158 (59-1-98)	16	1905, 1907-1915, 1918-1919	19y 228d	33y 344d
1230	33	Elphinstone, Robert	1960-11-22	191cm	89kg	157 (33-1-123)	51	1980-1989	19y 135d	28y 284d
786	12	Bray, Harold	1920-07-05	178cm	76kg	156 (31-3-122)	15	1941-1943, 1945-1952	20y 295d	32y 56d
270	24	Woodcock, Bill	1888-06-29	182cm	96kg	155 (58-2-95)	48	1908-1914, 1918-1921	19y 322d	33y 80d
1121	15	Moran, Jeff	1947-01-07	179cm	76kg	155 (95-1-59)	63	1965-1974	18y 198d	27y 180d
1549	16	Newnes, Jack	1993-02-24	186cm	82kg	155 (55-2-98)	55	2012-2019	19y 44d	26y 181d
1566	15	Billings, Jack	1995-08-18	184cm	79kg	155 (62-1-92)	108	2014-2023	18y 216d	27y 346d
1055	9	Synman, Ian	1938-09-28	188cm	85kg	154 (98-1-55)	 	1958-1959, 1961-1969	19y 329d	30y 252d
1501	1	Gram, Jason	1984-04-27	186cm	88kg	154 (92-4-58)	71	2004-2012	20y 75d	28y 128d
1095	6	Murray, Bob	1942-04-05	183cm	82kg	153 (99-1-53)	14	1963, 1965-1972, 1974	21y 15d	32y 71d
641	26	Davis, Jack	1908-07-16	189cm	84kg	150 (70-0-80)	31	1930-1938	21y 298d	30y 42d
451	4	Cubbins, Bill	1899-05-04	180cm	80kg	149 (62-1-86)	42	1915, 1919-1926, 1928-1930	16y 74d	31y 132d
1143	11	Besanko, Neil	1951-04-28	187cm	88kg	149 (78-2-69)	4	1968-1977	17y 62d	26y 114d
1515	4	Jones, Clinton	1984-02-02	183cm	83kg	149 (82-4-63)	40	2007-2014	23y 71d	30y 210d
1478	9	Gehrig, Fraser	1976-03-03	195cm	109kg	145 (73-1-71)	390	2001-2008	25y 36d	32y 74d
573	12	Bence, Roy	1900-04-01	163cm	67kg	144 (63-0-81)	83	1925-1933	25y 38d	33y 119d
1491	14	Ball, Luke	1984-05-25	184cm	83kg	142 (90-0-52)	58	2003-2009	18y 308d	25y 124d
877	20	Ross, Jim	1927-10-18	185cm	80kg	139 (28-2-109)	171	1946-1954	18y 186d	26y 314d
1179	3	Duperouzel, Bruce	1950-04-21	174cm	74kg	139 (36-4-99)	160	1974-1982	23y 350d	32y 129d
1152	8	Elliott, Glenn	1950-08-15	183cm	78kg	138 (67-2-69)	69	1969-1977	18y 289d	26y 307d
533	18	Mason, Horrie	1903-04-30	177cm	80kg	137 (68-0-69)	76	1922-1931	19y 20d	28y 128d
571	8	Matthews, Harold	1902-12-07	179cm	83kg	136 (59-0-77)	 	1925-1932	22y 146d	29y 271d
