Cap  	#  	Player  	DOB  	HT  	WT  	Games (W-D-L)  	Goals  	Seasons  	Debut  	Last  
1289	37	Goodes, Adam	1980-01-08	191cm	100kg	372 (216-5-151)	464	1999-2015	19y 79d	35y 254d
1297	24	Bolton, Jude	1980-03-15	182cm	84kg	325 (184-5-136)	196	1999-2013	19y 97d	33y 190d
1325	3	McVeigh, Jarrad	1985-04-07	184cm	81kg	325 (203-4-118)	201	2004-2019	18y 355d	34y 139d
1262	19	OLoughlin, Michael	1977-02-20	189cm	90kg	303 (171-4-128)	521	1995-2009	18y 69d	32y 190d
1371	26	Parker, Luke	1992-10-25	183cm	87kg	293 (180-2-111)	213	2011-2024	18y 201d	31y 339d
1304	5	OKeefe, Ryan	1981-01-24	187cm	88kg	286 (164-4-118)	261	2000-2014	19y 111d	33y 79d
1359	12	Kennedy, Josh	1988-06-20	189cm	97kg	277 (171-2-104)	153	2010-2022	21y 280d	34y 40d
1378	24	Rampe, Dane	1990-06-02	187cm	88kg	277 (176-2-99)	9	2013-2026	22y 301d	35y 313d
1388	44	Lloyd, Jake	1993-09-20	181cm	79kg	277 (170-1-106)	53	2014-2026	20y 211d	32y 209d
870	5	Rantall, John	1943-12-09	182cm	77kg	260 (89-2-169)	8	1963-1972, 1976-1979	19y 132d	35y 266d
1337	39	Grundy, Heath	1986-06-02	192cm	103kg	256 (160-2-94)	24	2006-2019	20y 50d	32y 294d
1340	15	Jack, Kieren	1987-06-28	178cm	81kg	256 (159-3-94)	166	2007-2019	19y 311d	32y 57d
1023	11	Browning, Mark	1956-11-30	180cm	80kg	251 (109-1-141)	138	1975-1987	18y 147d	30y 287d
1066	26	Wright, Stephen	1961-03-06	171cm	73kg	246 (106-1-139)	247	1979-1992	18y 81d	31y 175d
1138	30	Bayes, Mark	1967-03-15	190cm	94kg	246 (101-2-143)	174	1985-1998	18y 22d	31y 168d
1223	8	Cresswell, Daryn	1971-05-22	183cm	84kg	244 (110-2-132)	208	1992-2003	21y 51d	32y 121d
1299	31	Kirk, Brett	1976-10-25	184cm	80kg	241 (132-3-106)	96	1999-2010	22y 286d	33y 321d
780	14	Skilton, Bob	1938-11-08	171cm	76kg	237 (88-3-146)	412	1956-1968, 1970-1971	17y 186d	32y 293d
1266	21	Barry, Leo	1977-05-19	184cm	89kg	237 (136-1-100)	56	1995-2009	18y 107d	32y 102d
1185	14	Kelly, Paul	1969-07-28	179cm	83kg	234 (92-4-138)	200	1990-2002	20y 246d	33y 34d
635	23	Clegg, Ron	1927-11-17	183cm	84kg	231 (100-3-128)	156	1945-1954, 1956-1960	17y 169d	32y 263d
1057	21	Morwood, Tony	1960-05-17	185cm	76kg	229 (106-0-123)	397	1978-1989	17y 326d	29y 88d
1393	5	Heeney, Isaac	1996-05-05	186cm	84kg	229 (145-1-83)	308	2015-2026	18y 334d	29y 347d
1335	25	Richards, Ted	1983-01-11	192cm	94kg	228 (141-4-83)	15	2006-2016	23y 80d	33y 185d
493	22	Graham, Jack	1916-05-07	191cm	99kg	227 (108-2-117)	233	1935-1949	19y 95d	33y 14d
188	2	Belcher, Vic	1888-08-24	180cm	80kg	226 (151-3-72)	62	1907-1915, 1917-1920	18y 246d	32y 11d
1286	28	Crouch, Jared	1978-03-05	173cm	80kg	223 (116-1-106)	51	1998-2009	20y 64d	31y 177d
482	20	Cleary, Jim	1914-07-13	183cm	89kg	222 (110-2-110)	6	1934-1948	19y 324d	33y 363d
1374	7	Cunningham, Harry	1993-12-06	181cm	78kg	222 (137-1-84)	54	2012-2026	18y 109d	32y 132d
1096	7	Carroll, Dennis	1960-11-07	187cm	86kg	219 (97-2-120)	117	1981-1993	20y 190d	32y 168d
1082	13	Carter, Rod	1954-10-29	191cm	93kg	217 (103-0-114)	1	1980-1990	25y 173d	35y 286d
1214	6	Dunkley, Andrew	1968-06-29	192cm	100kg	217 (93-3-121)	11	1992-2002	23y 288d	34y 63d
964	29	McLeish, David	1950-02-21	180cm	76kg	213 (76-1-136)	22	1969-1980	19y 127d	30y 191d
1346	40	Smith, Nick	1988-06-12	183cm	83kg	211 (135-2-74)	10	2008-2018	19y 312d	30y 61d
1356	4	Hannebery, Dan	1991-02-24	181cm	80kg	208 (135-2-71)	95	2009-2018	18y 144d	27y 196d
235	27	Tandy, Mark	1892-09-03	173cm	70kg	207 (117-2-88)	47	1911-1915, 1917-1926	18y 252d	33y 317d
1399	11	Papley, Tom	1996-07-13	178cm	76kg	202 (122-1-79)	312	2016-2026	19y 257d	29y 278d
1268	11	Maxfield, Stuart	1972-04-09	178cm	82kg	200 (110-2-88)	87	1996-2005	23y 357d	33y 21d
1281	4	Mathews, Ben	1978-11-29	181cm	86kg	198 (108-2-88)	45	1997, 1999-2008	18y 232d	29y 240d
1308	17	Kennelly, Tadhg	1981-07-01	190cm	90kg	197 (120-1-76)	30	2001-2008, 2010-2011	20y 7d	30y 77d
1041	25	Round, Barry	1950-01-26	193cm	105kg	193 (83-1-109)	157	1976-1985	26y 68d	35y 218d
460	2	Matthews, Herbie	1913-11-12	177cm	76kg	191 (116-1-74)	17	1932-1945	18y 170d	31y 321d
401	12	Thomas, Len	1908-07-20	179cm	80kg	187 (98-1-88)	54	1927-1934, 1936-1938	18y 321d	30y 38d
202	8	Hiskins, Arthur	1886-09-09	178cm	76kg	185 (105-3-77)	56	1908-1915, 1919-1923	21y 236d	37y 27d
1406	13	Florent, Oliver	1998-07-22	185cm	81kg	184 (102-1-81)	51	2017-2025	18y 246d	27y 32d
1408	9	Hayward, Will	1998-10-26	187cm	84kg	184 (103-1-80)	229	2017-2025	18y 156d	26y 301d
1197	3	Lewis, Dale	1969-05-04	188cm	87kg	182 (70-2-110)	186	1990-2001	21y 71d	32y 128d
1366	20	Reid, Sam	1991-12-27	196cm	100kg	181 (116-2-63)	183	2010-2015, 2017-2022	18y 244d	30y 271d
1398	14	Mills, Callum	1997-04-02	189cm	83kg	180 (106-1-73)	30	2016-2026	18y 359d	29y 15d
1323	30	Roberts-Thomson, Lewis	1983-09-08	194cm	92kg	179 (106-1-72)	54	2003-2014	19y 252d	30y 230d
943	11	Bedford, Peter	1947-04-11	180cm	75kg	178 (52-2-124)	325	1968-1976	21y 9d	29y 139d
1333	9	Malceski, Nick	1984-08-15	189cm	86kg	176 (116-2-58)	67	2005-2014	20y 293d	30y 43d
1270	23	Nicks, Matthew	1975-05-13	187cm	88kg	175 (96-1-78)	125	1996-2005	20y 337d	30y 22d
1385	23	Franklin, Lance	1987-01-30	199cm	105kg	172 (113-0-59)	486	2014-2019, 2021-2023	27y 44d	36y 180d
969	7	Brice, Gary	1948-10-07	180cm	78kg	171 (66-1-104)	101	1970-1979	21y 179d	30y 315d
1130	10	Mitchell, Barry	1965-12-07	173cm	70kg	170 (70-2-98)	214	1984-1992	18y 221d	26y 265d
1318	6	Bolton, Craig	1980-05-31	190cm	87kg	170 (99-2-69)	15	2003-2010	22y 302d	29y 328d
917	33	Lambert, Greg	1947-03-01	178cm	76kg	167 (57-2-108)	22	1966-1979	19y 60d	32y 86d
920	17	Cook, Russell	1947-09-23	185cm	85kg	164 (47-2-115)	54	1966-1975	18y 261d	27y 334d
972	16	Quade, Ricky	1950-08-26	185cm	88kg	164 (54-2-108)	110	1970-1980	19y 221d	29y 363d
1294	12	Fosdike, Nic	1980-02-26	179cm	72kg	164 (88-2-74)	66	1999-2008	19y 58d	28y 172d
1310	1	Hall, Barry	1977-02-08	194cm	104kg	162 (92-2-68)	467	2002-2009	25y 51d	32y 139d
431	10	Pratt, Bob	1912-08-31	180cm	76kg	158 (97-0-61)	681	1930-1939, 1946	17y 245d	33y 234d
1413	30	McCartin, Tom	1999-12-30	193cm	89kg	158 (93-0-65)	31	2018-2026	18y 132d	26y 108d
1071	5	Roberts, Ian	1957-04-03	180cm	73kg	157 (69-0-88)	33	1979-1991	22y 88d	34y 60d
1417	22	Blakey, Nick	2000-02-27	195cm	80kg	157 (89-1-67)	52	2019-2026	19y 24d	26y 49d
374	25	Reville, Peter	1904-10-05	183cm	88kg	156 (89-0-67)	207	1925-1934	20y 216d	30y 8d
1129	35	Murphy, David	1962-08-23	179cm	75kg	156 (62-0-94)	92	1984-1993	21y 313d	31y 5d
216	2	Caldwell, Jim	1888-08-11	173cm	66kg	155 (106-3-46)	34	1909-1915, 1917-1919	20y 263d	31y 40d
1195	34	Luff, Troy	1969-11-22	191cm	93kg	155 (72-2-81)	85	1990-2001	20y 207d	31y 277d
399	16	Robertson, Austin	1907-11-21	180cm	82kg	154 (95-1-58)	251	1927-1937	19y 174d	29y 238d
