Cap  	#  	Player  	DOB  	HT  	WT  	Games (W-D-L)  	Goals  	Seasons  	Debut  	Last  
166	25	Hurn, Shannon	1987-09-04	187cm	95kg	333 (181-1-151)	50	2006-2023	18y 237d	35y 356d
198	27	Darling, Jack	1992-06-13	191cm	95kg	298 (157-1-140)	532	2011-2024	18y 287d	32y 72d
138	20	Cox, Dean	1981-08-01	203cm	104kg	290 (144-1-145)	169	2001-2014	19y 250d	33y 22d
199	3	Gaff, Andrew	1992-06-16	183cm	85kg	280 (150-1-129)	84	2011-2024	18y 284d	32y 63d
71	27	Jakovich, Glen	1973-03-24	193cm	102kg	276 (147-4-125)	60	1991-2004	18y 77d	31y 52d
179	17	Kennedy, Josh	1987-08-25	196cm	102kg	271 (146-1-124)	712	2008-2022	20y 245d	34y 347d
121	23	Glass, Darren	1981-05-14	192cm	93kg	270 (141-2-127)	8	2000-2014	18y 323d	33y 24d
35	17	McKenna, Guy	1969-05-11	184cm	88kg	267 (165-2-100)	28	1988-2000	18y 327d	31y 87d
84	6	Banfield, Drew	1974-02-27	184cm	89kg	265 (155-3-107)	76	1993-2006	19y 141d	32y 215d
206	15	Cripps, Jamie	1992-04-23	183cm	84kg	261 (121-1-139)	323	2013-2026	20y 334d	33y 361d
58	30	Matera, Peter	1969-04-03	183cm	89kg	253 (149-2-102)	217	1990-2002	20y 363d	33y 157d
117	32	Embley, Andrew	1981-06-27	189cm	91kg	250 (124-1-125)	216	1999-2013	17y 274d	32y 65d
189	13	Shuey, Luke	1990-06-02	183cm	90kg	248 (140-1-107)	142	2010-2023	19y 298d	33y 85d
57	2	Kemp, Dean	1969-02-17	182cm	81kg	243 (145-2-96)	117	1990-2001	21y 43d	32y 125d
69	11	McIntosh, Ashley	1972-10-20	192cm	99kg	242 (142-3-97)	108	1991-2003	18y 224d	30y 321d
167	11	Priddis, Matt	1985-03-21	184cm	90kg	240 (125-1-114)	73	2006-2017	21y 74d	32y 179d
100	9	Cousins, Ben	1978-06-30	179cm	78kg	238 (134-3-101)	205	1996-2007	17y 296d	29y 69d
109	10	Braun, Michael	1978-03-24	175cm	74kg	228 (123-2-103)	66	1997-2008	19y 76d	30y 153d
102	44	Wirrpanda, David	1979-08-03	173cm	82kg	227 (118-3-106)	131	1996-2009	16y 268d	30y 19d
132	4	Kerr, Daniel	1983-05-16	178cm	80kg	220 (120-2-98)	122	2001-2013	17y 320d	30y 42d
162	2	LeCras, Mark	1986-08-30	184cm	82kg	219 (126-1-92)	441	2005-2011, 2013-2018	18y 272d	32y 30d
193	5	Sheppard, Brad	1991-05-23	187cm	85kg	216 (126-1-89)	19	2010-2021	18y 350d	30y 84d
12	28	Lewis, Chris	1969-03-17	186cm	80kg	215 (132-3-80)	259	1987-1998, 2000	18y 12d	31y 23d
176	7	Masten, Chris	1989-05-02	180cm	78kg	215 (122-1-92)	70	2008-2019	18y 332d	30y 134d
186	9	Naitanui, Nic	1990-05-04	201cm	110kg	213 (120-1-92)	112	2009-2016, 2018-2022	19y 40d	32y 101d
28	24	Worsfold, John	1968-09-25	180cm	86kg	209 (131-2-76)	37	1987-1998	18y 205d	29y 338d
144	21	Lynch, Quinten	1983-01-24	192cm	103kg	209 (117-0-92)	281	2002, 2004-2012	19y 142d	29y 235d
222	14	Duggan, Liam	1996-12-11	184cm	83kg	206 (87-0-119)	15	2015-2026	18y 120d	29y 129d
23	3	Mainwaring, Chris	1965-12-27	177cm	85kg	201 (124-2-75)	84	1987-1999	21y 106d	33y 210d
219	20	McGovern, Jeremy	1992-04-15	196cm	99kg	197 (105-0-92)	38	2014-2025	22y 11d	33y 18d
173	31	Schofield, Will	1989-01-24	196cm	92kg	194 (110-1-83)	22	2007-2020	18y 184d	31y 237d
217	6	Yeo, Elliot	1993-10-01	190cm	89kg	189 (104-1-84)	90	2014-2024, 2026	20y 173d	32y 200d
151	37	Selwood, Adam	1984-05-01	189cm	84kg	187 (101-0-86)	43	2003-2013	19y 100d	29y 122d
29	36	Hart, David	1964-03-03	176cm	83kg	184 (116-1-67)	95	1987-1997	23y 53d	33y 153d
4	14	Brennan, Michael	1965-06-29	187cm	92kg	179 (110-2-67)	20	1987-1995	21y 273d	30y 80d
101	33	Matera, Phillip	1975-11-27	171cm	76kg	179 (91-3-85)	389	1996-2005	20y 146d	29y 279d
120	7	Fletcher, Chad	1979-08-30	179cm	80kg	179 (93-3-83)	74	1999-2009	19y 313d	29y 363d
39	39	Waterman, Chris	1968-09-19	180cm	86kg	177 (113-2-62)	75	1988-1998	19y 223d	29y 352d
164	24	Rosa, Matt	1986-11-23	191cm	84kg	168 (87-1-80)	39	2005-2015	18y 243d	28y 314d
156	26	Butler, Sam	1986-01-14	187cm	86kg	166 (95-0-71)	16	2004-2006, 2008-2017	18y 136d	31y 168d
216	4	Sheed, Dom	1995-04-10	185cm	87kg	165 (91-1-73)	69	2014-2024	18y 347d	29y 59d
115	18	Jones, Rowan	1979-11-19	187cm	82kg	158 (83-3-72)	70	1998-2007	18y 263d	27y 299d
60	1	Heady, Brett	1970-01-04	183cm	82kg	156 (98-2-56)	237	1990-1999	20y 106d	29y 83d
11	5	Lamb, Dwayne	1961-12-20	180cm	90kg	151 (93-2-56)	44	1987-1994	25y 99d	32y 229d
67	12	White, Mitchell	1973-03-28	190cm	96kg	151 (89-2-60)	103	1991-2000	18y 44d	27y 131d
129	39	Hunter, Adam	1981-06-18	190cm	92kg	151 (82-2-67)	86	2000-2009	19y 49d	27y 354d
46	4	Sumich, Peter	1968-01-11	190cm	96kg	150 (100-2-48)	514	1989-1997	21y 79d	29y 239d
224	37	Barrass, Tom	1995-10-08	196cm	96kg	150 (69-1-80)	1	2015-2024	19y 291d	28y 293d
99	5	Morrison, Chad	1978-03-29	184cm	83kg	148 (77-1-70)	87	1996-2001, 2003-2004	18y 2d	26y 159d
171	16	Mackenzie, Eric	1988-05-19	197cm	100kg	147 (69-0-78)	7	2007-2014, 2016-2017	19y 56d	29y 120d
177	10	Selwood, Scott	1990-03-27	186cm	85kg	135 (67-1-67)	37	2008-2015	18y 9d	25y 168d
143	3	Judd, Chris	1983-09-08	189cm	88kg	134 (84-2-48)	138	2002-2007	18y 210d	23y 364d
225	8	Redden, Jack	1990-12-09	190cm	85kg	134 (75-0-59)	28	2016-2022	25y 109d	31y 254d
45	10	Pyke, Don	1968-12-05	178cm	78kg	132 (84-0-48)	70	1989-1996	20y 116d	27y 235d
227	28	Cole, Tom	1997-05-28	186cm	81kg	132 (58-0-74)	5	2016-2021, 2023-2026	19y 1d	28y 291d
66	50	Turnbull, Ryan	1971-09-23	195cm	100kg	129 (72-1-56)	39	1991-1992, 1994-1998, 2000-2001	19y 223d	29y 287d
106	1	Gardiner, Michael	1979-07-05	199cm	103kg	129 (66-2-61)	87	1997-2006	17y 288d	27y 10d
235	1	Ryan, Liam	1996-10-02	179cm	72kg	125 (49-0-76)	158	2018-2025	21y 174d	28y 325d
249	11	Kelly, Tim	1994-07-26	182cm	81kg	121 (32-0-89)	36	2020-2026	25y 240d	31y 267d
152	8	Waters, Beau	1986-03-30	188cm	87kg	120 (68-0-52)	25	2004, 2006-2008, 2010-2013	18y 11d	27y 98d
209	34	Hutchings, Mark	1991-05-25	182cm	83kg	120 (73-1-46)	46	2013-2021	21y 351d	30y 88d
237	2	Waterman, Jake	1998-05-06	191cm	92kg	118 (45-0-73)	160	2018-2026	19y 323d	27y 348d
59	9	Wilson, Peter	1963-11-15	183cm	88kg	117 (85-0-32)	84	1990-1995	26y 137d	31y 292d
47	7	Turley, Craig	1965-08-24	185cm	84kg	115 (74-2-39)	91	1989-1995	23y 219d	30y 24d
90	7	Gehrig, Fraser	1976-03-03	195cm	109kg	115 (63-1-51)	159	1995-2000	19y 30d	24y 141d
