Cap  	#  	Player  	DOB  	HT  	WT  	Games (W-D-L)  	Goals  	Seasons  	Debut  	Last  
846	6	Johnson, Brad	1976-07-18	182cm	87kg	364 (177-7-180)	558	1994-2010	18y 5d	34y 62d
809	3	Grant, Chris	1972-12-13	193cm	99kg	341 (173-6-162)	554	1990-2007	17y 109d	34y 263d
664	7	Hawkins, Doug	1960-05-05	180cm	79kg	329 (144-4-181)	216	1978-1994	17y 331d	34y 122d
830	7	West, Scott	1974-11-14	178cm	80kg	324 (152-5-167)	104	1993-2008	18y 132d	33y 164d
377	3	Whitten, Ted	1933-07-27	184cm	89kg	321 (139-2-180)	360	1951-1970	17y 268d	36y 279d
887	2	Murphy, Robert	1982-06-09	187cm	81kg	312 (140-4-168)	183	2000-2017	18y 36d	35y 77d
824	5	Smith, Rohan	1973-05-31	184cm	80kg	300 (144-5-151)	254	1992-2006	18y 296d	33y 108d
904	5	Boyd, Matthew	1982-08-27	184cm	88kg	292 (146-2-144)	86	2003-2017	20y 257d	34y 363d
771	39	Liberatore, Tony	1966-02-11	163cm	77kg	283 (150-3-130)	95	1986-2002	20y 130d	36y 167d
188	3	Olliver, Arthur	1916-12-10	189cm	87kg	272 (128-4-140)	354	1935-1950	18y 152d	33y 259d
891	13	Giansiracusa, Daniel	1982-03-11	182cm	83kg	265 (116-4-145)	331	2001-2014	19y 90d	32y 173d
977	4	Bontempelli, Marcus	1995-11-24	193cm	93kg	264 (149-0-115)	261	2014-2026	18y 147d	30y 144d
737	24	Wallis, Stephen	1964-10-27	183cm	80kg	261 (130-4-127)	57	1983-1996	18y 150d	31y 308d
946	21	Liberatore, Tom	1992-05-16	183cm	83kg	261 (133-0-128)	92	2011-2014, 2016-2026	18y 315d	33y 336d
916	38	Morris, Dale	1982-12-29	190cm	91kg	253 (137-2-114)	3	2005-2011, 2013-2019	22y 115d	36y 211d
972	11	Macrae, Jack	1994-08-03	191cm	85kg	249 (133-0-116)	59	2013-2024	18y 261d	30y 34d
800	15	Wynd, Scott	1970-01-25	201cm	108kg	237 (124-4-109)	31	1988-2000	18y 188d	30y 200d
847	14	Darcy, Luke	1975-07-12	197cm	100kg	226 (99-5-122)	183	1994-2005, 2007	19y 32d	32y 52d
79	7	Morrison, Alby	1909-01-29	183cm	86kg	224 (104-3-117)	369	1928-1938, 1941-1942, 1946	19y 83d	37y 221d
882	10	Eagleton, Nathan	1978-11-10	180cm	84kg	221 (107-3-111)	186	2000-2010	21y 122d	31y 312d
906	17	Cooney, Adam	1985-09-30	187cm	83kg	219 (104-2-113)	186	2004-2014	18y 180d	28y 335d
964	39	Johannisen, Jason	1992-11-08	180cm	82kg	212 (112-0-100)	77	2012-2025	19y 270d	32y 289d
898	4	Cross, Daniel	1983-03-30	187cm	87kg	210 (98-3-109)	33	2002-2013	19y 63d	30y 155d
552	24	Dempsey, Gary	1948-11-22	197cm	100kg	207 (91-3-113)	105	1967-1978	18y 144d	29y 284d
889	9	Gilbee, Lindsay	1981-07-08	180cm	83kg	206 (103-2-101)	119	2001-2012	19y 280d	31y 21d
328	22	Donald, Wally	1927-05-27	178cm	80kg	205 (108-3-94)	1	1946-1958	19y 68d	30y 327d
894	25	Hargrave, Ryan	1981-07-26	190cm	87kg	203 (95-4-104)	37	2002-2012	20y 248d	31y 17d
915	16	Griffen, Ryan	1986-07-27	192cm	88kg	202 (97-1-104)	130	2005-2014	18y 263d	28y 35d
147	4	Ware, Norm	1911-03-05	193cm	91kg	200 (87-1-112)	220	1932-1942, 1944-1946	21y 56d	35y 186d
733	33	Royal, Brian	1961-12-12	175cm	79kg	199 (106-2-91)	299	1983-1993	21y 104d	31y 245d
936	42	Picken, Liam	1986-08-01	184cm	83kg	198 (99-0-99)	87	2009-2017	22y 247d	31y 24d
901	36	Lake, Brian	1982-02-27	195cm	98kg	197 (90-2-105)	32	2002-2012	20y 178d	30y 188d
987	35	Daniel, Caleb	1996-07-07	168cm	72kg	192 (105-0-87)	49	2015-2024	18y 362d	28y 61d
913	27	Minson, Will	1985-04-11	199cm	106kg	191 (92-1-98)	81	2004-2016	19y 42d	31y 139d
450	25	Jillard, John	1941-03-28	183cm	81kg	189 (66-0-123)	1	1958-1970	17y 64d	29y 14d
447	14	Schultz, John	1938-09-28	191cm	89kg	188 (66-0-122)	37	1958-1968	19y 196d	29y 317d
718	27	Macpherson, Stephen	1964-12-02	178cm	87kg	188 (93-4-91)	152	1982-1995	17y 115d	30y 219d
939	10	Wood, Easton	1989-09-04	187cm	86kg	188 (99-0-89)	20	2009-2021	19y 338d	32y 21d
820	16	Croft, Matthew	1973-02-26	191cm	94kg	186 (95-5-86)	72	1991-2004	18y 151d	31y 177d
983	31	Dale, Bailey	1996-07-22	183cm	82kg	184 (103-0-81)	87	2015-2026	18y 299d	29y 269d
884	8	Hahn, Mitch	1981-05-10	188cm	99kg	181 (88-2-91)	164	2000-2010	19y 4d	29y 131d
995	34	Williams, Bailey	1997-10-10	187cm	85kg	180 (100-0-80)	47	2016-2026	18y 218d	28y 189d
578	21	Power, Stephen	1950-10-07	179cm	80kg	177 (81-5-91)	25	1969-1979	18y 229d	28y 329d
580	2	Quinlan, Bernie	1951-07-21	193cm	97kg	177 (85-4-88)	241	1969-1977	17y 342d	26y 37d
788	21	Kolyniuk, Steven	1970-07-05	174cm	84kg	177 (92-1-84)	198	1987-2000	17y 41d	30y 38d
230	7	Hickey, Harry	1917-07-19	175cm	76kg	174 (99-1-74)	169	1937-1942, 1944-1948	20y 5d	31y 54d
545	19	Merrington, Gary	1946-11-19	187cm	85kg	174 (72-1-101)	46	1966-1975	19y 169d	28y 263d
285	6	Sutton, Charlie	1924-04-03	169cm	87kg	173 (96-1-76)	65	1942, 1946-1956	18y 43d	32y 39d
975	7	Hunter, Lachie	1994-12-13	183cm	82kg	173 (92-0-81)	73	2013-2022	18y 191d	27y 264d
622	32	Dunstan, Ian	1955-02-28	185cm	80kg	172 (53-5-114)	135	1973-1982	18y 87d	27y 181d
811	18	Cameron, Leon	1972-09-02	185cm	82kg	172 (93-3-76)	68	1990-1999	17y 218d	27y 9d
1003	33	Naughton, Aaron	1999-11-30	195cm	89kg	172 (97-0-75)	304	2018-2026	18y 115d	26y 138d
826	35	Kretiuk, Steven	1972-07-04	184cm	89kg	170 (90-4-76)	11	1992-2003	19y 338d	31y 57d
222	10	Ryan, Joe	1917-09-27	170cm	76kg	167 (90-2-75)	261	1937-1948	19y 260d	30y 350d
504	6	Bisset, George	1943-03-10	168cm	70kg	166 (60-0-106)	288	1963-1972	20y 41d	29y 176d
563	4	Welsh, Peter	1951-06-29	192cm	96kg	165 (74-4-87)	92	1968-1978	16y 359d	27y 51d
739	32	Foster, Peter	1960-06-02	189cm	86kg	163 (88-3-72)	56	1983-1993	22y 304d	33y 39d
949	3	Wallis, Mitch	1992-10-24	186cm	85kg	162 (77-0-85)	109	2011-2022	18y 183d	29y 222d
481	5	Bryant, Ian	1942-06-11	178cm	73kg	160 (59-0-101)	21	1960-1969	18y 7d	27y 80d
548	9	Sandilands, Laurie	1949-04-30	188cm	87kg	160 (68-4-88)	228	1966-1977	17y 77d	28y 105d
712	8	Kennedy, Rick	1960-12-11	188cm	83kg	158 (67-2-89)	34	1981-1991	20y 121d	30y 263d
998	44	English, Tim	1997-08-10	205cm	93kg	158 (90-0-68)	92	2017-2026	19y 290d	28y 238d
634	35	Wheeler, Terry	1955-03-13	178cm	89kg	157 (47-4-106)	18	1974-1983	19y 66d	28y 111d
363	2	Collins, Jack	1930-01-03	183cm	87kg	154 (83-2-69)	385	1950-1958	20y 109d	28y 232d
656	20	Edmond, Jim	1958-09-03	183cm	89kg	154 (56-1-97)	226	1977-1985	18y 220d	27y 18d
715	18	Beasley, Simon	1956-07-26	195cm	102kg	154 (71-1-82)	575	1982-1989	25y 244d	32y 306d
954	6	Dahlhaus, Luke	1992-08-21	179cm	77kg	154 (70-0-84)	110	2011-2018	18y 293d	25y 335d
1005	20	Richards, Ed	1999-07-03	185cm	79kg	153 (83-0-70)	60	2018-2026	18y 272d	26y 288d
6	1	Hopkins, Allan	1904-05-24	175cm	75kg	151 (63-1-87)	205	1925-1934	20y 343d	30y 114d
382	24	Gallagher, Jim	1931-03-16	180cm	80kg	151 (77-2-72)	 	1951-1960	20y 99d	29y 157d
539	16	Thorpe, David	1948-05-30	185cm	83kg	151 (56-1-94)	79	1965-1973	17y 62d	25y 94d
338	18	Bryden, Dave	1927-06-23	187cm	86kg	147 (76-1-70)	56	1947-1955	20y 19d	28y 58d
633	22	Whitten, Ted	1957-03-15	178cm	76kg	144 (46-2-96)	133	1974-1982	17y 43d	25y 138d
280	27	McCankie, Len	1924-11-08	180cm	85kg	143 (70-2-71)	10	1941-1950	16y 267d	25y 291d
632	31	Templeton, Kelvin	1956-09-30	191cm	94kg	143 (50-4-89)	494	1974-1982	17y 202d	25y 311d
310	21	McLaren, George	1925-03-22	170cm	68kg	139 (73-2-64)	24	1944-1951	19y 80d	26y 170d
680	29	Cordy, Neil	1959-04-08	188cm	83kg	139 (51-0-88)	28	1979-1986	20y 6d	27y 144d
877	30	Robbins, Matthew	1977-05-08	178cm	87kg	139 (59-2-78)	135	1999-2007	22y	30y 117d
942	23	Roughead, Jordan	1990-11-03	200cm	101kg	138 (63-0-75)	34	2010-2018	19y 171d	27y 295d
499	30	McKenzie, Don	1942-07-22	180cm	73kg	137 (43-0-94)	128	1962-1970	19y 301d	28y 38d
629	25	Jennings, Geoff	1955-04-04	178cm	76kg	137 (51-3-83)	136	1974-1983	19y 2d	28y 138d
864	17	Brown, Nathan	1978-02-10	181cm	80kg	137 (64-3-70)	206	1997-2003	19y 47d	25y 201d
873	4	Garlick, Simon	1975-04-10	177cm	79kg	137 (63-3-71)	114	1998-2004	22y 352d	29y 133d
572	14	Round, Barry	1950-01-26	193cm	105kg	135 (64-1-70)	136	1969-1975	19y 71d	25y 216d
505	15	Darcy, David	1943-08-11	188cm	83kg	133 (48-0-85)	47	1963-1966, 1968-1971	19y 252d	28y 17d
561	23	Magee, Stuart	1943-10-13	174cm	74kg	132 (56-1-75)	77	1968-1975	24y 218d	31y 321d
240	14	Miller, Jim	1919-05-30	169cm	67kg	131 (71-2-58)	27	1938-1941, 1943-1948	18y 335d	28y 330d
857	28	Dimattina, Paul	1974-11-22	180cm	80kg	131 (63-2-66)	56	1995-2003	20y 257d	28y 275d
374	25	Henderson, Herb	1930-09-13	188cm	83kg	130 (78-1-51)	 	1950-1958	19y 340d	27y 344d
790	10	Hunter, Mark	1965-09-03	181cm	77kg	130 (61-3-66)	10	1988-1996	22y 214d	30y 329d
388	9	Ross, Don	1934-02-20	180cm	83kg	129 (70-2-57)	20	1952-1958	18y 59d	24y 184d
749	35	Baxter, Darren	1965-03-19	185cm	85kg	129 (63-3-63)	28	1984-1992	19y 89d	27y 184d
919	7	Higgins, Shaun	1988-03-04	184cm	89kg	129 (58-1-70)	128	2006-2014	18y 83d	26y 180d
