"No","surname","first_name","Games","Age","Date of Birth","Height","Origin","Position_1","Position_2"
"4","Ah Chee","Callum","171","28yr 6mth","9 Oct 1997","182cm","South Fremantle","Forward",NA
"3","Berry","Sam","82","24yr 2mth","12 Feb 2002","181cm","Gippsland Power","Midfield",NA
"21","Bond","Hugh","16","21yr 7mth","25 Sep 2004","185cm","Greater Western Victoria Rebels","Defender",NA
"35","Borlase","James","18","23yr 9mth","18 Jul 2002","192cm","Sturt","Defender",NA
"41","Butts","Jordon","89","26yr 3mth","31 Dec 1999","195cm","Murray Bushrangers","Defender",NA
"15","Cook","Brayden","36","23yr 9mth","18 Jul 2002","189cm","South Adelaide","Midfield","Forward"
"33","Cotton","Indy","0","18yr 11mth","8 May 2007","195cm","NBL One East","Forward",NA
"44","Cumming","Isaac","110","27yr 8mth","11 Aug 1998","188cm","Broken Hill","Midfield",NA
"6","Curtin","Daniel","32","21yr 1mth","8 Mar 2005","197cm","Claremont","Midfield",NA
"12","Dawson","Jordan","160","29yr","9 Apr 1997","190cm","Sturt","Midfield",NA
"31","Dowling","Billy","10","21yr 9mth","1 Jul 2004","187cm","North Adelaide","Midfield","Forward"
"5","Draper","Sid","10","19yr 9mth","5 Jul 2006","182cm","South Adelaide","Midfield","Forward"
"11","Edwards","Charlie","1","20yr 11mth","18 May 2005","191cm","Sandringham Dragons","Defender","Midfield"
"32","Fogarty","Darcy","129","26yr 7mth","25 Sep 1999","192cm","Glenelg","Forward",NA
"20","Hinge","Mitchell","90","27yr 9mth","28 Jun 1998","187cm","Glenelg","Defender",NA
"1","Jones","Chayce","100","26yr 3mth","14 Jan 2000","180cm","Launceston","Defender","Midfield"
"48","Keane","Mark","56","26yr 1mth","17 Mar 2000","194cm","Cork","Defender",NA
"2","Keays","Ben","167","29yr 2mth","23 Feb 1997","185cm","Brisbane Reserves","Forward",NA
"29","Laird","Rory","273","32yr 3mth","29 Dec 1993","178cm","West Adelaide","Defender",NA
"34","Ludowyke","Archie","0","18yr 5mth","19 Nov 2007","197cm","Sandringham Dragons","Forward",NA
"36","Maley","Finnbar","11","22yr 9mth","18 Jul 2003","197cm","Northern Bullants","Forward",NA
"26","Marsh","Mitchell","0","19yr 2mth","15 Feb 2007","192cm","West Adelaide","Forward",NA
"42","McAndrew","Lachlan","8","25yr 10mth","26 May 2000","209cm","Sydney","Ruck",NA
"16","Michalanney","Max","72","22yr 1mth","26 Feb 2004","190cm","Norwood","Defender",NA
"30","Milera","Wayne","129","28yr 7mth","14 Sep 1997","185cm","Central District","Defender",NA
"9","Murray","Nick","73","25yr 4mth","18 Dec 2000","195cm","Allies","Defender",NA
"39","Murray","Toby","1","22yr 5mth","3 Nov 2003","200cm","Adelaide SANFL","Forward",NA
"27","Nankervis","Luke","34","22yr 11mth","25 May 2003","189cm","Sandringham Dragons","Midfield",NA
"28","Neal-Bullen","Alex","207","30yr 3mth","9 Jan 1996","182cm","Glenelg","Forward",NA
"43","O'Brien","Reilly","147","30yr 8mth","20 Aug 1995","201cm","Calder Cannons","Ruck",NA
"25","Peatling","James","74","25yr 8mth","21 Aug 2000","186cm","GWS Giants","Midfield",NA
"10","Pedlar","Luke","44","23yr 11mth","17 May 2002","183cm","Glenelg","Forward",NA
"8","Rachele","Josh","76","23yr","11 Apr 2003","180cm","Murray Bushrangers","Midfield","Forward"
"23","Rankine","Izak","110","26yr","23 Apr 2000","179cm","West Adelaide","Midfield","Forward"
"22","Ryan","Oscar","0","20yr 11mth","15 May 2005","187cm","Murray Bushrangers","Defender",NA
"38","Sholl","Lachlan","79","26yr 1mth","7 Mar 2000","186cm","Calder Cannons","Midfield",NA
"14","Soligo","Jake","90","23yr 3mth","25 Jan 2003","179cm","Eastern Ranges","Midfield",NA
"19","Taylor","Zac","30","23yr 2mth","31 Jan 2003","180cm","Calder Cannons","Forward",NA
"7","Thilthorpe","Riley","84","23yr 9mth","7 Jul 2002","201cm","West Adelaide Fc","Forward",NA
"13","Walker","Taylor","306","36yr","25 Apr 1990","192cm","Broken Hill North","Forward",NA
"17","Welsh","Tyler","0","19yr 8mth","15 Aug 2006","191cm","Woodville-West Torrens","Forward",NA
"24","Worrell","Josh","61","25yr","11 Apr 2001","195cm","Sandringham Dragons","Defender",NA
