"No","surname","first_name","Games","Age","Date of Birth","Height","Origin","Position_1","Position_2"
"4","Allen","Oscar","111","27yr 1mth","19 Mar 1999","196cm","West Perth","Forward",NA
"31","Andrews","Harris","242","29yr 4mth","11 Dec 1996","200cm","Aspley","Defender",NA
"14","Annable","Daniel","1","19yr","5 Apr 2007","184cm","Brisbane Lions Academy","Midfield",NA
"43","Answerth","Noah","91","26yr 8mth","6 Aug 1999","182cm","Oakleigh Chargers","Defender",NA
"10","Ashcroft","Levi","33","19yr 4mth","18 Dec 2006","179cm","Sandringham Dragons","Midfield",NA
"8","Ashcroft","Will","64","21yr 11mth","6 May 2004","182cm","Sandringham Dragons","Midfield",NA
"33","Bailey","Zac","171","26yr 7mth","23 Sep 1999","181cm","Norwood","Midfield","Forward"
"17","Beecken","Luke","1","25yr","18 Apr 2001","185cm","Woodville-West Torrens","Midfield",NA
"7","Berry","Jarrod","190","28yr 2mth","5 Feb 1998","193cm","North Ballarat Rebels","Midfield",NA
"34","Brain","Shadeau","9","22yr 2mth","13 Feb 2004","183cm","Noosa","Defender",NA
"23","Cameron","Charlie","260","31yr 9mth","5 Jul 1994","180cm","Swan Districts","Forward",NA
"18","Coleman","Keidean","72","26yr","31 Mar 2000","182cm","Brisbane","Defender",NA
"37","Curtin","Cody","0","18yr 11mth","18 May 2007","200cm","Claremont","Forward",NA
"12","Doedee","Tom","83","29yr 1mth","1 Mar 1997","190cm","Geelong Falcons","Defender",NA
"2","Draper","Sam","83","27yr 6mth","28 Sep 1998","205cm","South Adelaide","Forward","Ruck"
"5","Dunkley","Josh","200","29yr 3mth","9 Jan 1997","191cm","Gippsland Power","Midfield",NA
"24","Evans","Koby","0","18yr 7mth","8 Sep 2007","187cm","Perth","Midfield",NA
"3","Fletcher","Jaspa","74","22yr 2mth","24 Feb 2004","184cm","Brisbane Lions","Defender",NA
"32","Fort","Darcy","62","32yr 8mth","6 Aug 1993","204cm","Central District","Ruck",NA
"22","Gallop","Ty","12","20yr 2mth","9 Feb 2006","194cm","Maroochydore","Defender","Forward"
"27","Gardiner","Darcy","185","30yr 7mth","22 Sep 1995","192cm","Geelong Falcons","Defender",NA
"42","Hayes","Tai","0","21yr 5mth","18 Nov 2004","190cm","Southport Sharks","Midfield","Forward"
"30","Hipwood","Eric","199","28yr 7mth","13 Sep 1997","204cm","Aspley","Forward",NA
"41","Joyce","Darragh","25","29yr","23 Apr 1997","195cm","Kilkenny","Defender",NA
"35","Lester","Ryan","239","33yr 7mth","26 Aug 1992","190cm","Oakleigh Chargers","Defender",NA
"19","Lloyd","Luke","0","20yr 8mth","8 Aug 2005","193cm","Sandringham Dragons","Forward",NA
"1","Lohmann","Kai","59","22yr 11mth","6 May 2003","185cm","GWV Rebels","Forward",NA
"20","Marshall","Sam","11","20yr 3mth","19 Jan 2006","185cm","Sandringham Dragons","Midfield",NA
"11","McCarthy","Lincoln","156","32yr 6mth","22 Oct 1993","176cm","Glenelg","Forward",NA
"6","McCluggage","Hugh","212","28yr 1mth","3 Mar 1998","187cm","North Ballarat Rebels","Midfield",NA
"26","McKenna","Conor","128","30yr","28 Mar 1996","184cm","Eglish, Tyrone","Forward",NA
"28","McLachlan","Will","6","21yr","13 Apr 2005","185cm","Geelong Falcons","Forward",NA
"13","Morris","Logan","50","20yr 11mth","10 May 2005","191cm","Western Jets","Forward",NA
"39","Murphy","Ben","0","","","191cm","Kerry GAA","Defender",NA
"9","Neale","Lachie","300","32yr 11mth","24 May 1993","177cm","Glenelg","Midfield",NA
"40","Payne","Jack","81","26yr 6mth","15 Oct 1999","196cm","Lions Academy","Defender",NA
"16","Rayner","Cameron","173","26yr 6mth","21 Oct 1999","187cm","Western Jets","Forward",NA
"38","Reville","Bruce","31","25yr 2mth","22 Feb 2001","185cm","Coates Talent League Boys","Midfield",NA
"25","Smith","Henry","6","23yr 7mth","24 Sep 2002","202cm","Woodville-west Torrens","Forward",NA
"36","Torrent","Reece","0","20yr 8mth","3 Aug 2005","184cm","Peel Thunder","Midfield",NA
"29","Tunstill","James","14","22yr 9mth","18 Jul 2003","187cm","East Perth","Midfield",NA
"44","Wilmot","Darcy","89","22yr 3mth","31 Dec 2003","183cm","Northern Knights","Defender",NA
"21","Zakostelsky","Zane","3","20yr 4mth","14 Dec 2005","196cm","Claremont","Defender","Ruck"
"15","Zorko","Dayne","309","37yr 2mth","9 Feb 1989","175cm","Broadbeach","Defender",NA
