"No","surname","first_name","Games","Age","Date of Birth","Height","Origin","Position_1","Position_2"
"13","Acres","Blake","187","30yr 6mth","7 Oct 1995","193cm","West Perth","Midfield",NA
"12","Ainsworth","Ben","165","28yr 2mth","10 Feb 1998","178cm","Gippsland Power","Forward",NA
"37","Boyd","Jordan","40","27yr 7mth","22 Sep 1998","182cm","Footscray","Defender",NA
"39","Byrne","Talor","5","18yr 5mth","14 Nov 2007","174cm","GWV Rebels","Midfield","Forward"
"16","Camporeale","Ben","0","19yr 9mth","21 Jul 2006","186cm","Glenelg","Midfield",NA
"21","Camporeale","Lucas","3","19yr 9mth","21 Jul 2006","184cm","Glenelg","Midfield",NA
"32","Carroll","Matt","23","20yr 4mth","28 Nov 2005","188cm","Sandringham Dragons","Defender","Midfield"
"5","Cerra","Adam","152","26yr 6mth","7 Oct 1999","188cm","Eastern Ranges","Midfield",NA
"28","Charleson","Harry","0","19yr 9mth","26 Jun 2006","183cm","Greater Western Victoria Rebels","Defender","Midfield"
"31","Chesser","Campbell","39","22yr 11mth","27 Apr 2003","186cm","Sandringham Dragons","Midfield",NA
"46","Cottrell","Matt","75","26yr 1mth","29 Feb 2000","184cm","Dandenong Stingrays","Midfield","Forward"
"2","Cowan","Lachlan","44","21yr 4mth","1 Dec 2004","188cm","Tasmania Devils","Defender",NA
"9","Cripps","Patrick","237","31yr 1mth","18 Mar 1995","195cm","East Fremantle","Midfield",NA
"35","Dean","Harry","5","18yr 5mth","13 Nov 2007","194cm","Murray Bushrangers","Defender",NA
"47","Derksen","Wade","2","24yr 10mth","18 Jun 2001","194cm","Peel Thunder","Defender",NA
"41","Duffy","Matt","0","22yr 3mth","2 Jan 2004","194cm","Longford GAA","Defender",NA
"44","Evans","Francis","49","24yr 8mth","23 Aug 2001","182cm","Calder Cannons","Forward",NA
"14","Florent","Oliver","191","27yr 9mth","22 Jul 1998","184cm","Sandringham Dragons","Defender","Midfield"
"8","Fogarty","Lachlan","92","27yr","1 Apr 1999","180cm","Western Jets","Forward",NA
"26","Haynes","Nick","237","33yr 11mth","18 May 1992","192cm","Dandenong Stingrays","Defender",NA
"19","Hayward","Will","190","27yr 5mth","26 Oct 1998","186cm","North Adelaide","Forward",NA
"29","Hewett","George","206","30yr 3mth","29 Dec 1995","187cm","North Adelaide","Midfield",NA
"20","Hollands","Elijah","47","24yr","25 Apr 2002","189cm","Murray Bushrangers","Midfield","Forward"
"4","Hollands","Oliver","71","22yr 3mth","16 Jan 2004","184cm","Murray Bushrangers","Defender",NA
"30","Ison","Jack","0","19yr","26 Mar 2007","192cm","Oakleigh Chargers","Midfield",NA
"17","Kemp","Brodie","56","24yr 11mth","1 May 2001","192cm","Bendigo Pioneers","Forward",NA
"36","Lord","Cooper","26","21yr 1mth","20 Mar 2005","184cm","North Melbourne","Midfield",NA
"11","McGovern","Mitch","152","31yr 6mth","11 Oct 1994","190cm","Claremont","Defender","Forward"
"10","McKay","Harry","146","28yr 4mth","24 Dec 1997","200cm","Gippsland Power","Forward",NA
"43","Moir","Ashton","13","21yr","15 Apr 2005","188cm","Glenelg","Forward",NA
"34","Monahan","Rob","0","21yr 9mth","29 Jun 2004","194cm","Kerry","Forward",NA
"3","Motlop","Jesse","63","22yr 5mth","23 Nov 2003","180cm","South Fremantle","Forward",NA
"24","Newman","Nic","138","33yr 3mth","15 Jan 1993","186cm","Frankston","Defender",NA
"22","O'Farrell","Harry","6","19yr 11mth","3 May 2006","196cm","Calder Cannons","Defender",NA
"40","O'Keeffe","Hudson","8","21yr 4mth","16 Dec 2004","202cm","Oakleigh Chargers","Forward","Ruck"
"27","Pittonet","Marc","86","29yr 10mth","3 Jun 1996","202cm","Oakleigh Chargers","Ruck",NA
"25","Reidy","Liam","5","25yr 10mth","14 Jun 2000","204cm","Frankston Dolphins","Forward","Ruck"
"42","Saad","Adam","217","31yr 9mth","23 Jul 1994","178cm","Coburg","Defender",NA
"7","Smith","Jagga","7","20yr 2mth","28 Jan 2006","182cm","Oakleigh Chargers","Midfield",NA
"18","Walsh","Sam","140","25yr 9mth","2 Jul 2000","184cm","Geelong Falcons","Midfield",NA
"23","Weitering","Jacob","210","28yr 5mth","23 Nov 1997","195cm","Mount Eliza Football Club","Defender",NA
"6","Williams","Zachary","180","31yr 7mth","20 Sep 1994","186cm","Narrandera","Defender","Forward"
"15","Wilson","Billy","4","20yr 10mth","16 Jun 2005","183cm","Dandenong Stringrays","Defender",NA
"45","Young","Flynn","8","24yr 2mth","3 Feb 2002","181cm","Werribee","Forward",NA
"33","Young","Lewis","87","27yr 4mth","20 Dec 1998","202cm","Sturt","Defender",NA
