"No","surname","first_name","Games","Age","Date of Birth","Height","Origin","Position_1","Position_2"
"16","Allan","Edward","19","21yr 10mth","26 May 2004","194cm","Claremont","Midfield",NA
"41","Anderson","Angus","3","22yr 11mth","25 May 2003","193cm","Sturt","Midfield",NA
"34","Buller","Jack","12","24yr 11mth","16 May 2001","199cm","Claremont","Forward",NA
"14","Cameron","Darcy","127","30yr 9mth","18 Jul 1995","204cm","Claremont","Ruck",NA
"27","Cochran","Joel","0","20yr","28 Mar 2006","195cm","UNSW-Eastern Suburbs","Defender",NA
"25","Crisp","Jack","281","32yr 6mth","2 Oct 1993","190cm","Murray Bushrangers","Midfield",NA
"7","Daicos","Josh","158","27yr 4mth","26 Nov 1998","178cm","Oakleigh Chargers","Defender",NA
"35","Daicos","Nick","101","23yr 3mth","3 Jan 2003","184cm","Oakleigh Chargers","Midfield",NA
"2","De Goey","Jordan","188","30yr 1mth","15 Mar 1996","188cm","Oakleigh Chargers","Midfield","Forward"
"13","Demattia","Harry","0","20yr 7mth","11 Sep 2005","186cm","Dandenong Stingrays","Midfield",NA
"5","Elliott","Jamie","226","33yr 8mth","21 Aug 1992","178cm","Murray Bushrangers","Forward",NA
"17","Frampton","Billy","81","29yr 5mth","20 Nov 1996","201cm","South Fremantle","Defender",NA
"36","Harrison","Harvey","16","22yr 5mth","10 Nov 2003","181cm","North Adelaide","Forward",NA
"39","Hayes","Will","5","19yr 11mth","16 May 2006","180cm","Claremont","Forward",NA
"23","Hill","Bobby","102","26yr 2mth","9 Feb 2000","175cm","Perth","Forward",NA
"9","Houston","Dan","196","28yr 11mth","12 May 1997","186cm","Oakleigh Chargers","Defender",NA
"38","Howe","Jeremy","276","35yr 9mth","29 Jun 1990","190cm","Hobart","Defender",NA
"40","Howes","Noah","0","20yr 5mth","28 Oct 2005","196cm","South Adelaide","Forward",NA
"19","Jiath","Tew","1","21yr 1mth","2 Mar 2005","188cm","Gippsland Power","Defender",NA
"1","Lipinski","Patrick","148","27yr 9mth","17 Jul 1998","190cm","Northern Knights","Midfield","Forward"
"44","Long","Ned","43","23yr 2mth","5 Feb 2003","194cm","Northern Knights","Midfield",NA
"4","Maynard","Brayden","236","29yr 7mth","20 Sep 1996","189cm","Sandringham Dragons","Defender",NA
"37","McCarthy","Zac","0","18yr 5mth","27 Oct 2007","199cm","Oakleigh Chargers","Forward","Ruck"
"31","McCreery","Beau","103","25yr","19 Apr 2001","186cm","South Adelaide","Forward",NA
"26","McInnes","Reef","23","23yr 4mth","12 Dec 2002","194cm","Oakleigh Chargers","Defender",NA
"11","McStay","Daniel","205","30yr 10mth","24 Jun 1995","195cm","Eastern Ranges","Forward",NA
"28","Membrey","Tim","209","31yr 10mth","26 May 1994","188cm","Gippsland Power","Forward",NA
"30","Moore","Darcy","196","30yr 3mth","25 Jan 1996","203cm","Oakleigh Chargers","Defender",NA
"15","Parker","Wil","11","23yr 10mth","29 May 2002","183cm","Eastern Ranges","Defender",NA
"10","Pendlebury","Scott","431","38yr 3mth","7 Jan 1988","191cm","Gippsland Power","Midfield",NA
"12","Perryman","Harry","161","27yr 4mth","19 Dec 1998","187cm","Collingullie","Defender",NA
"18","Prindable","Tyan","0","19yr 3mth","25 Jan 2007","182cm","Brisbane Lions Academy","Midfield",NA
"3","Quaynor","Isaac","140","26yr 3mth","15 Jan 2000","180cm","Oakleigh Chargers","Defender",NA
"24","Ryan","Jakob","1","21yr 7mth","20 Sep 2004","189cm","Glenelg","Defender",NA
"43","Saxena","Jai","0","18yr 8mth","27 Jul 2007","179cm","Oakleigh Chargers","Forward",NA
"8","Schultz","Lachlan","133","28yr 4mth","30 Nov 1997","178cm","Williamstown","Forward",NA
"22","Sidebottom","Steele","360","35yr 3mth","2 Jan 1991","184cm","Murray Bushrangers","Midfield",NA
"20","Smit","Iliro","0","20yr 8mth","9 Aug 2005","200cm","Eastern Ranges","Ruck",NA
"45","Steele","Roan","12","24yr 6mth","22 Oct 2001","183cm","West Perth","Midfield",NA
"21","Steene","Oscar","5","22yr 8mth","23 Aug 2003","201cm","West Adelaide","Forward","Ruck"
"33","Sullivan","Lachie","25","28yr 7mth","25 Sep 1997","180cm","Footscray","Forward",NA
"32","Swadling","Samuel","0","19yr 3mth","16 Jan 2007","189cm","West Perth","Midfield",NA
"29","West","Charlie","1","20yr 2mth","1 Feb 2006","194cm","Woodville-West Torrens","Forward",NA
