"No","surname","first_name","Games","Age","Date of Birth","Height","Origin","Position_1","Position_2"
"46","Blakiston","Lachlan","18","27yr 7mth","9 Sep 1998","203cm","East Fremantle","Defender","Ruck"
"39","Bourke","Cillian","0","19yr 10mth","7 Jun 2006","190cm","County Offaly","Defender",NA
"24","Bryan","Nick","23","24yr 6mth","22 Oct 2001","203cm","Oakleigh Chargers","Ruck",NA
"30","Caddy","Nate","33","20yr 9mth","14 Jul 2005","193cm","Northern Knights","Forward",NA
"6","Caldwell","Jye","96","25yr 6mth","28 Sep 2000","183cm","Bendigo Pioneers","Midfield",NA
"36","Clarke","Angus","14","19yr 11mth","8 May 2006","188cm","Glenelg","Defender","Midfield"
"13","Cox","Nikolas","53","24yr 3mth","15 Jan 2002","200cm","Northern Knights","Midfield",NA
"44","Day-Wicks","Archer","10","19yr 11mth","13 May 2006","186cm","Bendigo Pioneers","Midfield","Forward"
"22","Durham","Sam","98","24yr 9mth","9 Jul 2001","185cm","Richmond","Midfield","Forward"
"28","Duursma","Xavier","117","25yr 9mth","7 Jul 2000","186cm","Gippsland Power","Midfield",NA
"45","Edwards","Tom","6","25yr 11mth","20 May 2000","191cm","Swan Districts","Forward",NA
"33","El Achkar","Hussien","2","19yr","2 Apr 2007","171cm","Calder Cannons","Forward",NA
"41","El-Hawli","Saad","13","24yr 11mth","15 May 2001","184cm","Northern Bullants","Midfield",NA
"2","Farrow","Jacob","5","18yr 7mth","21 Sep 2007","188cm","West Perth","Defender","Midfield"
"8","Fiorini","Brayden","125","28yr 8mth","22 Aug 1997","187cm","Northern Knights","Midfield",NA
"19","Gerreyn","Kayle","0","19yr 11mth","10 May 2006","199cm","West Perth","Ruck",NA
"11","Gresham","Jade","181","28yr 8mth","24 Aug 1997","177cm","Northern Knights","Forward",NA
"35","Guelfi","Matt","123","28yr 8mth","14 Aug 1997","184cm","Claremont","Forward",NA
"18","Hayes","Lewis","1","21yr 4mth","17 Dec 2004","199cm","Eastern Ranges","Defender",NA
"40","Johnson","Zak","13","19yr 4mth","24 Dec 2006","185cm","Northern Knights","Defender",NA
"23","Jones","Harrison","59","25yr 2mth","25 Feb 2001","196cm","Calder Cannons","Midfield","Forward"
"10","Kako","Isaac","29","20yr 1mth","7 Mar 2006","175cm","Calder Cannons","Forward",NA
"29","Kondogiannis","Max","2","18yr 5mth","14 Nov 2007","191cm","Oakleigh Chargers","Defender",NA
"4","Langford","Kyle","169","29yr 4mth","1 Dec 1996","192cm","Northern Knights","Midfield","Forward"
"37","Martin","Nicholas","83","25yr","3 Apr 2001","192cm","Colts","Midfield","Forward"
"26","May","Archie","13","21yr 7mth","27 Aug 2004","198cm","Subiaco","Forward",NA
"1","McGrath","Andrew","187","27yr 10mth","2 Jun 1998","180cm","Sandringham Dragons","Defender",NA
"32","McKay","Ben","111","28yr 4mth","24 Dec 1997","202cm","Gippsland Power","Defender",NA
"48","McMahon","Liam","7","23yr 11mth","2 May 2002","197cm","Northern Knights","Forward",NA
"7","Merrett","Zachary","258","30yr 6mth","3 Oct 1995","179cm","Sandringham Dragons","Midfield",NA
"42","Nguyen","Jayden","7","19yr 8mth","27 Jul 2006","178cm","Calder Cannons","Defender",NA
"3","Parish","Darcy","172","28yr 9mth","25 Jul 1997","180cm","Geelong Falcons","Midfield",NA
"16","Perkins","Archie","105","24yr","26 Mar 2002","188cm","Sandringham Dragons","Forward",NA
"25","Prior","Jaxon","68","24yr 10mth","4 Jun 2001","189cm","West Perth","Defender",NA
"27","Redman","Mason","145","28yr 7mth","26 Aug 1997","187cm","Glenelg","Defender",NA
"31","Reid","Zach","26","24yr 1mth","2 Mar 2002","202cm","Gippsland Power","Defender",NA
"14","Ridley","Jordan","106","27yr 6mth","20 Oct 1998","195cm","Oakleigh Chargers","Defender",NA
"21","Roberts","Archie","34","20yr 5mth","18 Nov 2005","184cm","Sandringham Dragons","Defender",NA
"9","Robey","Sullivan","3","18yr 6mth","4 Oct 2007","192cm","Eastern Ranges","Midfield","Forward"
"12","Setterfield","Will","84","28yr 2mth","5 Feb 1998","192cm","Sandringham Dragons","Midfield",NA
"15","Sharp","Dyson","3","18yr 11mth","23 May 2007","187cm","Central District","Midfield",NA
"5","Tsatas","Elijah","19","21yr 6mth","18 Oct 2004","187cm","Oakleigh Chargers","Midfield",NA
"38","Unwin","Rhys","3","19yr 6mth","11 Oct 2006","179cm","Greater Western Victoria Rebels","Forward",NA
"17","Visentini","Vigo","2","20yr 7mth","5 Sep 2005","203cm","Sandringham Dragons","Ruck",NA
"20","Wright","Peter","159","29yr 7mth","8 Sep 1996","203cm","Calder Cannons","Forward","Ruck"
