"No","surname","first_name","Games","Age","Date of Birth","Height","Origin","Position_1","Position_2"
"24","Amiss","Jye","78","22yr 8mth","31 Jul 2003","196cm","East Perth","Forward",NA
"41","Banfield","Bailey","118","28yr 1mth","26 Feb 1998","190cm","Claremont","Defender",NA
"10","Bolton","Shai","165","27yr 4mth","8 Dec 1998","176cm","South Fremantle","Midfield","Forward"
"8","Brayshaw","Andrew","177","26yr 5mth","8 Nov 1999","185cm","Sandringham Dragons","Midfield",NA
"38","Carr","Jaren","0","22yr 2mth","27 Jan 2004","191cm","South Fremantle","Forward",NA
"5","Chapman","Heath","72","24yr 2mth","31 Jan 2002","193cm","West Perth","Defender",NA
"6","Clark","Jordan","133","25yr 6mth","16 Oct 2000","185cm","Claremont","Defender",NA
"36","Cox","Brennan","140","27yr 8mth","13 Aug 1998","195cm","Woodville-West Torrens","Defender",NA
"18","Cox","Mason","141","35yr 1mth","14 Mar 1991","211cm","Oklahoma State","Forward","Ruck"
"4","Darcy","Sean","132","27yr 10mth","12 Jun 1998","203cm","Geelong Falcons","Ruck",NA
"12","Davies","Hugh","2","21yr 6mth","28 Sep 2004","196cm","Claremont","Defender",NA
"37","Draper","Josh","31","22yr 2mth","8 Feb 2004","197cm","Peel Thunder","Defender",NA
"43","Dudley","Isaiah","23","22yr 11mth","30 Apr 2003","171cm","Central District","Forward",NA
"28","Erasmus","Neil","46","22yr 4mth","2 Dec 2003","190cm","Subiaco","Midfield",NA
"32","Frederick","Michael","104","25yr 11mth","17 May 2000","183cm","Eagles","Forward",NA
"9","Jackson","Luke","126","24yr 6mth","29 Sep 2001","199cm","East Fremantle","Ruck",NA
"44","Johnson","Matt","62","23yr 1mth","16 Mar 2003","193cm","Subiaco","Midfield",NA
"19","Kickett","Leon","0","26yr 3mth","1 Jan 2000","","Swan Districts","Midfield","Forward"
"40","Luke","Ryda","0","18yr 7mth","19 Sep 2007","185cm","South Fremantle","Forward",NA
"21","McDonald","Oscar","96","30yr 1mth","18 Mar 1996","196cm","North Ballarat Rebels","Defender",NA
"17","McVee","Judd","72","22yr 8mth","7 Aug 2003","185cm","East Fremantle","Defender",NA
"33","Murphy","Ollie","0","20yr 7mth","16 Sep 2005","200cm","Sandringham Dragons","Defender",NA
"11","Murray","Tobyn","0","20yr 11mth","5 May 2005","180cm","Geelong Cats","Forward",NA
"22","Nicholls","Charlie","0","19yr 10mth","8 Jun 2006","197cm","Central District","Forward",NA
"30","O'Driscoll","Nathan","40","23yr 11mth","17 May 2002","188cm","Perth","Midfield",NA
"2","O'Meara","Jaeger","203","32yr 2mth","23 Feb 1994","184cm","Perth Demons","Midfield",NA
"25","Pearce","Alex","145","30yr 10mth","9 Jun 1995","201cm","Devonport","Defender",NA
"16","Reid","Murphy","31","19yr 8mth","30 Jul 2006","181cm","Sandringham Dragons","Forward",NA
"42","Riddle","Aiden","0","20yr 3mth","27 Dec 2005","200cm","Claremont","Ruck",NA
"13","Ryan","Luke","185","30yr 2mth","6 Feb 1996","186cm","Coburg","Defender",NA
"45","Scerri","Chris","4","19yr 9mth","6 Jul 2006","177cm","Northern Bullants","Midfield","Forward"
"3","Serong","Caleb","134","25yr 2mth","9 Feb 2001","180cm","Gippsland Power","Midfield",NA
"14","Sharp","Jeremy","61","24yr 8mth","13 Aug 2001","189cm","East Fremantle","Midfield",NA
"29","Simpson","Cooper","5","21yr 2mth","13 Feb 2005","182cm","Dandenong Stringrays","Defender",NA
"1","Sturt","Sam","31","25yr 11mth","12 May 2000","190cm","Dandenong Stingrays","Forward",NA
"15","Sweid","Adam","0","18yr 7mth","14 Sep 2007","176cm","Calder Cannons","Midfield",NA
"39","Switkowski","Sam","112","29yr 5mth","20 Nov 1996","179cm","Box Hill Hawks","Forward",NA
"35","Treacy","Josh","87","23yr 8mth","4 Aug 2002","195cm","Bendigo Pioneers","Forward",NA
"20","Voss","Patrick","33","22yr 9mth","29 Jun 2003","195cm","Giants Academy","Forward",NA
"34","Wagner","Corey","64","29yr 1mth","23 Mar 1997","181cm","Aspley","Midfield",NA
"31","Walker","Brandon","67","23yr 6mth","17 Oct 2002","186cm","East Fremantle","Defender",NA
"27","Whan","Toby","0","18yr 11mth","9 May 2007","184cm","South Fremantle","Midfield",NA
"23","Worner","Karl","38","23yr 10mth","16 Jun 2002","188cm","Oakleigh Chargers","Defender",NA
"26","Young","Hayden","92","25yr","11 Apr 2001","189cm","Dandenong Stingrays","Midfield",NA
