"No","surname","first_name","Games","Age","Date of Birth","Height","Origin","Position_1","Position_2"
"30","Atkins","Tom","160","30yr 7mth","18 Sep 1995","180cm","Geelong","Midfield",NA
"26","Barker","Harley","0","18yr 11mth","2 May 2007","188cm","Sturt","Midfield",NA
"24","Bews","Jed","175","32yr 4mth","14 Dec 1993","186cm","Geelong Falcons","Defender",NA
"46","Blicavs","Mark","301","35yr","28 Mar 1991","198cm","Geelong Vfl","Ruck",NA
"12","Bowes","Jack","147","28yr 2mth","26 Jan 1998","189cm","Cairns","Midfield",NA
"4","Bruhn","Tanner","73","23yr 10mth","27 May 2002","184cm","Geelong Falcons","Midfield",NA
"41","Burke","Cillian","0","23yr","29 Mar 2003","192cm","Kerry GAA","Defender",NA
"5","Cameron","Jeremy","286","33yr","1 Apr 1993","196cm","Dartmoor","Forward",NA
"13","Clark","Jhye","29","21yr 9mth","23 Jul 2004","181cm","Geelong Falcons","Midfield","Forward"
"45","Close","Bradley","132","27yr 8mth","30 Jul 1998","183cm","Glenelg","Forward",NA
"6","Conway","Toby","6","23yr","24 Apr 2003","206cm","Geelong Falcons","Ruck",NA
"35","Dangerfield","Patrick","363","36yr","5 Apr 1990","189cm","Geelong Falcons","Forward",NA
"16","De Koning","Sam","91","25yr 1mth","26 Feb 2001","204cm","Dandenong Stingrays","Defender",NA
"28","Dempsey","Ollie","65","23yr 3mth","7 Jan 2003","187cm","Carey Grammar","Midfield",NA
"27","Driscoll","Nick","0","26yr 3mth","1 Jan 2000","","Northern Knights","Midfield",NA
"11","Edwards","Mitchell","6","20yr 10mth","2 Jun 2005","206cm","Peel Thunder","Ruck",NA
"39","Guthrie","Zach","135","27yr 9mth","30 Jun 1998","188cm","Calder Cannons","Defender",NA
"38","Henry","Jack","169","27yr 7mth","29 Aug 1998","192cm","Geelong Falcons","Defender",NA
"36","Henry","Oliver","91","23yr 8mth","29 Jul 2002","189cm","Geelong Falcons","Forward",NA
"23","Hoffman","Lennox","0","19yr 8mth","8 Aug 2006","191cm","Sandringham Dragons","Defender",NA
"22","Holmes","Hunter","0","19yr 2mth","19 Feb 2007","188cm","Oakleigh Chargers","Midfield",NA
"9","Holmes","Max","109","23yr 7mth","29 Aug 2002","190cm","Sandringham Dragons","Midfield",NA
"17","Humphries","Lawson","43","23yr","24 Apr 2003","182cm","Swan Districts","Defender",NA
"10","Knevitt","Mitchell","22","23yr 3mth","8 Jan 2003","193cm","Geelong Falcons","Midfield",NA
"8","Kolodjashnij","Jake","200","30yr 8mth","9 Aug 1995","193cm","Launceston","Defender",NA
"7","Mannagh","Shaun","42","28yr 8mth","6 Aug 1997","178cm","Werribee","Forward",NA
"19","Martin","Jack","170","31yr 2mth","29 Jan 1995","186cm","Geraldton","Forward",NA
"31","Matofai-Forbes","Keighton","0","20yr 2mth","2 Feb 2006","188cm","Western Jets","Defender","Forward"
"25","Mellor","Jesse","0","19yr 3mth","4 Jan 2007","185cm","Geelong Falcons","Forward",NA
"32","Miers","Gryan","160","27yr","30 Mar 1999","179cm","Geelong Falcons","Forward",NA
"20","Molier","Jacob","0","19yr 6mth","11 Oct 2006","201cm","Sturt","Ruck",NA
"34","Mullin","Oisin","50","26yr 2mth","11 Feb 2000","182cm","Mayo","Defender","Midfield"
"33","Neale","Shannon","52","23yr 9mth","25 Jul 2002","203cm","South Fremantle","Forward",NA
"42","O'Connor","Mark","152","29yr 3mth","17 Jan 1997","189cm","Ireland","Defender","Midfield"
"14","O'Sullivan","Connor","33","20yr 11mth","19 May 2005","198cm","Murray Bushrangers","Defender",NA
"37","Pike","Joe","0","20yr 11mth","17 May 2005","203cm","Geelong Falcons","Ruck",NA
"2","Polkinghorne","Jay","0","19yr 10mth","2 Jun 2006","191cm","Norwood","Forward",NA
"3","Smith","Bailey","133","25yr 4mth","7 Dec 2000","185cm","Sandringham Dragons","Midfield",NA
"1","Stanley","Rhys","229","35yr 4mth","1 Dec 1990","200cm","West Adelaide","Ruck",NA
"18","Stengle","Tyson","109","27yr 6mth","19 Oct 1998","175cm","Woodville West Torrens","Forward",NA
"15","Stevens","George","2","21yr","14 Apr 2005","189cm","Greater Western Victoria Rebels","Midfield",NA
"44","Stewart","Thomas","198","33yr 1mth","15 Mar 1993","190cm","Geelong Vfl","Defender",NA
"21","Wiltshire","Oliver","6","23yr 7mth","15 Sep 2002","180cm","Barwon Heads","Forward",NA
"29","Worpel","James","152","27yr 3mth","24 Jan 1999","186cm","Geelong Falcons","Midfield",NA
