"No","surname","first_name","Games","Age","Date of Birth","Height","Origin","Position_1","Position_2"
"48","Adams","Oscar","12","22yr 9mth","23 Jul 2003","197cm","Glenelg","Defender",NA
"38","Addinsall","Beau","0","19yr 1mth","9 Mar 2007","182cm","Gold Coast Suns Academy","Midfield",NA
"15","Anderson","Noah","135","25yr 2mth","17 Feb 2001","192cm","Oakleigh Chargers","Midfield",NA
"1","Andrew","Mac","72","22yr 4mth","4 Dec 2003","202cm","Dandenong Stingrays","Defender",NA
"10","Ballard","Charlie","138","26yr 9mth","23 Jul 1999","196cm","Sturt","Defender",NA
"31","Bell","Cooper","0","19yr 4mth","30 Nov 2006","199cm","Belconnen","Defender","Forward"
"33","Clohesy","Sam","39","23yr 4mth","12 Dec 2002","189cm","Werribee","Midfield",NA
"25","Collins","Samuel","156","31yr 10mth","15 Jun 1994","194cm","Box Hill Hawks","Defender",NA
"43","Coulson","Koby","0","18yr 8mth","31 Jul 2007","180cm","Gold Coast Suns Academy","Midfield",NA
"5","Davies","Alex","44","24yr 1mth","18 Mar 2002","193cm","Suns Academy","Midfield",NA
"42","Eastham","Asher","0","19yr 11mth","13 May 2006","190cm","Gippsland Power","Forward",NA
"36","Evans","Zak","0","26yr","26 Mar 2000","190cm","Melbourne Renegades","Midfield",NA
"50","Farrar","Jy","44","29yr 4mth","7 Dec 1996","190cm","Scotch OC","Forward",NA
"46","Graham","Caleb","37","25yr 7mth","12 Sep 2000","194cm","Gold Coast Academy","Defender",NA
"26","Graham","Will","32","20yr 8mth","27 Jul 2005","186cm","Palm Beach Currumbin AFC","Midfield","Forward"
"39","Gulbin","Lachlan","3","19yr 5mth","24 Nov 2006","187cm","Broadbeach","Forward",NA
"12","Himmelberg","Elliott","50","27yr 10mth","4 Jun 1998","196cm","Redlands","Forward",NA
"7","Holman","Nicholas","147","30yr 10mth","29 May 1995","188cm","Central District","Midfield","Forward"
"19","Humphrey","Bailey","67","21yr 7mth","11 Sep 2004","186cm","Gippsland Power","Midfield","Forward"
"16","Jeffrey","Joel","59","24yr 1mth","12 Mar 2002","192cm","Suns Academy","Defender",NA
"44","Jepson","Ben","1","24yr 6mth","10 Oct 2001","184cm","Coburg","Midfield",NA
"34","King","Ben","127","25yr 9mth","7 Jul 2000","202cm","Sandringham Dragons","Forward",NA
"37","Knobel","Max","0","21yr 9mth","27 Jun 2004","206cm","Gippsland Power","Ruck",NA
"45","Lewis","Caleb","0","22yr 6mth","29 Sep 2003","198cm","Casey","Forward",NA
"8","Lombard","Leo","11","19yr 6mth","5 Oct 2006","179cm","Broadbeach","Forward",NA
"22","Long","Ben","142","28yr 8mth","21 Aug 1997","186cm","Nt Thunder","Forward",NA
"11","Miller","Touk","221","30yr 2mth","22 Feb 1996","178cm","Calder Cannons","Midfield","Forward"
"23","Moyle","Ned","13","24yr 2mth","15 Feb 2002","206cm","Oakleigh Chargers","Ruck",NA
"35","Murray","Jai","0","19yr 1mth","9 Mar 2007","185cm","Gold Coast Suns Academy","Midfield",NA
"2","Noble","John","144","29yr 1mth","25 Mar 1997","180cm","West Adelaide","Defender",NA
"30","Patterson","Dylan","0","18yr 7mth","1 Sep 2007","184cm","Gold Coast Suns Academy","Defender",NA
"3","Petracca","Christian","217","30yr 3mth","4 Jan 1996","187cm","Eastern Ranges","Midfield","Forward"
"27","Powell","Wil","137","26yr 7mth","26 Aug 1999","188cm","Claremont","Defender","Midfield"
"20","Read","Ethan","32","20yr 9mth","7 Jul 2005","202cm","Palm Beach Currumbin AFC","Forward",NA
"17","Rioli","Daniel","210","29yr","16 Apr 1997","179cm","North Ballarat Rebels","Defender",NA
"29","Rogers","Jake","23","21yr 1mth","2 Mar 2005","172cm","Broadbeach AFC","Forward",NA
"18","Rowell","Matt","114","24yr 9mth","1 Jul 2001","180cm","Oakleigh Chargers","Midfield",NA
"41","Thomas","Avery","0","18yr 7mth","20 Sep 2007","185cm","Tasmania Devils","Defender",NA
"9","Ugle-Hagan","Jamarra","68","24yr","4 Apr 2002","197cm","Oakleigh Chargers","Forward",NA
"6","Uwland","Bodhi","56","22yr 9mth","25 Jul 2003","188cm","Allies","Defender",NA
"32","Uwland","Zeke","7","19yr","24 Apr 2007","179cm","Gold Coast Suns Academy","Defender","Midfield"
"4","Walter","Jed","34","20yr 10mth","8 Jun 2005","195cm","Palm Beach Currumbin AFC","Forward",NA
"14","Weller","Lachlan","168","30yr 2mth","23 Feb 1996","182cm","Southport","Midfield",NA
"28","Witts","Jarrod","212","33yr 7mth","13 Sep 1992","209cm","Sydney University","Ruck",NA
