"No","surname","first_name","Games","Age","Date of Birth","Height","Origin","Position_1","Position_2"
"21","Aleer","Leek","26","24yr 8mth","21 Aug 2001","194cm","Central District","Defender",NA
"29","Angove","Cody","4","19yr 10mth","28 May 2006","182cm","Claremont","Forward",NA
"9","Angwin","Ryan","36","23yr 4mth","12 Dec 2002","185cm","Gippsland Power","Midfield",NA
"7","Ash","Lachlan","131","24yr 10mth","21 Jun 2001","188cm","Murray Bushrangers","Defender",NA
"14","Bedford","Toby","85","25yr 10mth","27 May 2000","179cm","Dandenong Stingrays","Midfield","Forward"
"32","Briggs","Kieren","74","26yr 6mth","6 Oct 1999","201cm","Pennant Hills","Ruck",NA
"46","Brown","Callum","69","25yr 8mth","15 Aug 2000","188cm","County Derry","Forward",NA
"44","Buckley","Jack","90","28yr 4mth","17 Dec 1997","195cm","Swans Academy","Defender",NA
"5","Cadman","Aaron","60","22yr 1mth","3 Mar 2004","195cm","Greater Western Victoria Rebels","Forward",NA
"17","Callaghan","Finn","77","23yr","26 Apr 2003","192cm","Sandringham Dragons","Midfield",NA
"3","Coniglio","Stephen","232","32yr 4mth","15 Dec 1993","182cm","Swan Districts","Midfield","Forward"
"16","Daniels","Brent","113","27yr 1mth","9 Mar 1999","172cm","Bendigo Pioneers","Forward",NA
"45","Davis","Finnegan","0","19yr 3mth","21 Jan 2007","188cm","Western Jets","Defender",NA
"38","Delana","Josaia","7","19yr 9mth","1 Jul 2006","176cm","East Coast Eagles","Forward",NA
"37","Fonti","Joseph","28","21yr 4mth","24 Dec 2004","189cm","Claremont","Defender",NA
"11","Gothard","Phoenix","6","20yr 7mth","7 Sep 2005","179cm","Murray Bushrangers","Forward",NA
"12","Green","Tom","115","25yr 3mth","23 Jan 2001","192cm","GWS Giants Academy","Midfield",NA
"4","Greene","Toby","267","32yr 7mth","25 Sep 1993","182cm","Oakleigh Chargers","Midfield","Forward"
"35","Gruzewski","Max","15","21yr 9mth","21 Jul 2004","192cm","Oakleigh Chargers","Forward",NA
"43","Hamilton","Riley","0","19yr 8mth","15 Aug 2006","189cm","Ainslie","Midfield","Forward"
"13","Hannaford","Oliver","3","19yr 7mth","1 Sep 2006","180cm","Greater Western Victoria Rebels","Midfield","Forward"
"27","Himmelberg","Harrison","207","29yr 11mth","8 May 1996","195cm","Mangoplah Cookardinia United Eastlakes","Defender",NA
"23","Hogan","Jesse","186","31yr 2mth","12 Feb 1995","196cm","Claremont","Forward",NA
"39","Idun","Connor","123","25yr 8mth","29 Jul 2000","193cm","Geelong Falcons","Defender",NA
"2","Jones","Darcy","37","22yr","3 Apr 2004","175cm","Swan Districts","Forward",NA
"22","Kelly","Joshua","230","31yr 2mth","12 Feb 1995","184cm","Sandringham Dragons","Midfield",NA
"25","Laverde","Jayden","151","30yr","12 Apr 1996","193cm","Western Jets","Defender",NA
"30","Leake","James","4","20yr 6mth","2 Oct 2005","188cm","Tasmania Devils","Defender","Forward"
"41","Madden","Nick","5","21yr 11mth","17 May 2004","204cm","Greater Western Sydney","Ruck",NA
"31","McMullin","Toby","29","21yr 8mth","6 Aug 2004","183cm","Sandringham Dragons","Midfield",NA
"33","O'Halloran","Xavier","96","25yr 9mth","11 Jul 2000","187cm","Western Jets","Midfield","Forward"
"10","Oliver","Clayton","211","28yr 9mth","22 Jul 1997","189cm","Murray Bushrangers","Midfield",NA
"19","Oliver","Harrison","0","19yr 10mth","15 Jun 2006","181cm","Sandringham Dragons","Defender",NA
"28","Ough","Jack","0","19yr 4mth","15 Dec 2006","194cm","Greater Western Victoria Rebels","Midfield",NA
"26","Riccardi","Jake","95","26yr 5mth","7 Nov 1999","198cm","Werribee","Forward","Ruck"
"24","Rowston","Harry","21","21yr 8mth","12 Aug 2004","182cm","Griffith Swans FNC","Midfield",NA
"36","Smith","Logan","0","19yr 7mth","24 Sep 2006","204cm","Queanbeyan","Ruck",NA
"18","Stone","Conor","20","24yr","22 Apr 2002","189cm","Oakleigh Chargers","Defender",NA
"20","Stringer","Jake","233","32yr","25 Apr 1994","192cm","Bendigo Pioneers","Forward",NA
"34","Taylor","Oskar","0","18yr 8mth","1 Aug 2007","182cm","Eastern Ranges","Defender",NA
"15","Taylor","Sam","131","26yr 11mth","5 May 1999","198cm","Swan Districts","Defender",NA
"1","Thomas","Harvey","46","20yr 8mth","8 Aug 2005","176cm","GWS Giants Academy","Midfield","Forward"
"42","Wardius","Nathan","0","21yr 6mth","12 Oct 2004","181cm","Rand-Walbundrie-Walla","Forward",NA
"6","Whitfield","Lachie","263","31yr 9mth","18 Jul 1994","185cm","Dandenong Stingrays","Defender",NA
