"No","surname","first_name","Games","Age","Date of Birth","Height","Origin","Position_1","Position_2"
"10","Amon","Karl","201","30yr 8mth","19 Aug 1995","181cm","Sandringham Dragons","Defender",NA
"32","Anderson","Cody","0","20yr 2mth","30 Jan 2006","183cm","Eastern Ranges","Midfield",NA
"37","Barrass","Tom","182","30yr 6mth","8 Oct 1995","197cm","Claremont","Defender",NA
"24","Battle","Josh","156","27yr 7mth","1 Sep 1998","193cm","Dandenong Stingrays","Defender",NA
"36","Blanck","James","24","25yr 5mth","20 Nov 2000","196cm","Box Hill Hawks","Defender",NA
"30","Butler","Sam","31","23yr 2mth","10 Feb 2003","184cm","GWV Rebels","Midfield","Forward"
"18","Chol","Mabior","113","29yr 2mth","29 Jan 1997","200cm","Aspley","Forward",NA
"16","D'Ambrosio","Massimo","73","22yr 10mth","5 Jun 2003","178cm","Western Jets","Midfield",NA
"34","Dalton","Jack","2","19yr","5 Apr 2007","178cm","Sandringham Dragons","Midfield",NA
"12","Day","Will","76","24yr 10mth","5 Jun 2001","191cm","West Adelaide","Midfield",NA
"13","Dear","Calsher","28","20yr 8mth","4 Aug 2005","195cm","Sandringham Dragons","Forward",NA
"33","Ginnivan","Jack","97","23yr 4mth","9 Dec 2002","185cm","Bendigo Pioneers","Forward",NA
"35","Greeves","Ollie","0","19yr 2mth","7 Feb 2007","192cm","Eastern Ranges","Midfield",NA
"19","Gunston","Jack","289","34yr 6mth","16 Oct 1991","193cm","Sandringham","Forward",NA
"15","Hardwick","Blake","205","29yr 2mth","5 Feb 1997","183cm","Eastern Ranges","Defender",NA
"41","Hill","Matt","0","22yr 3mth","1 Jan 2004","187cm","Melbourne Storm","Defender",NA
"44","Hustwaite","Henry","10","21yr 9mth","20 Jul 2004","195cm","Dandenong Stingrays","Midfield",NA
"4","Impey","Jarman","228","30yr 9mth","9 Jul 1995","178cm","Murray Bushrangers","Defender",NA
"31","LeRay","Matthew","0","19yr 2mth","22 Feb 2007","188cm","Central District","Midfield",NA
"2","Lewis","Mitchell","85","27yr 6mth","14 Oct 1998","199cm","Calder Cannons","Forward",NA
"9","MacDonald","Connor","97","23yr 3mth","13 Jan 2003","185cm","Dandenong Stingrays","Forward",NA
"42","Macdonald","Bailey","8","21yr 8mth","4 Aug 2004","182cm","Oakleigh Chargers","Defender",NA
"28","Mackenzie","Cameron","51","22yr 3mth","21 Jan 2004","188cm","Sandringham Dragons","Midfield",NA
"20","Maginness","Finn","60","25yr 2mth","23 Feb 2001","189cm","Sandringham Dragons","Forward",NA
"27","McCabe","William","1","20yr 6mth","29 Sep 2005","197cm","Tanunda","Defender",NA
"17","Meek","Lloyd","84","28yr","22 Apr 1998","203cm","Gwv Rebels","Ruck",NA
"8","Moore","Dylan","132","26yr 8mth","4 Aug 1999","177cm","Eastern Ranges","Forward",NA
"1","Morrison","Harry","125","27yr 5mth","12 Nov 1998","184cm","Murray Bushrangers","Midfield",NA
"21","Mraz","Noah","0","20yr 2mth","20 Feb 2006","198cm","Dandenong Stingrays","Defender",NA
"22","Nairn","Cameron","0","18yr 6mth","15 Oct 2007","188cm","Central District","Midfield","Forward"
"11","Nash","Conor","127","27yr 8mth","28 Jul 1998","198cm","Dublin","Midfield",NA
"3","Newcombe","Jai","109","24yr 8mth","2 Aug 2001","187cm","Box Hill","Midfield",NA
"39","Perez","Flynn","27","24yr 8mth","25 Aug 2001","188cm","Bendigo Pioneers","Defender",NA
"38","Ramsden","Max","9","23yr","19 Apr 2003","203cm","Sandringham Dragons","Forward",NA
"7","Reeves","Ned","49","27yr 5mth","31 Oct 1998","210cm","Box Hill","Ruck",NA
"26","Ryan","Bodie","0","21yr","20 Apr 2005","187cm","Glenelg","Defender",NA
"29","Schubert","Aidan","0","18yr 4mth","21 Dec 2007","198cm","Central District","Forward","Ruck"
"14","Scrimshaw","Jack","128","27yr 7mth","4 Sep 1998","194cm","Sandringham Dragons","Defender",NA
"6","Sicily","James","185","31yr 3mth","6 Jan 1995","188cm","Western Jets","Defender",NA
"43","Uhr-Henry","Jaime","0","23yr 1mth","12 Mar 2003","209cm","Dandenong Rangers","Ruck",NA
"25","Ward","Josh","74","22yr 8mth","15 Aug 2003","183cm","Northern Knights","Midfield",NA
"5","Watson","Nick","50","21yr 2mth","24 Feb 2005","170cm","Eastern Ranges","Forward",NA
"23","Weddle","Joshua","67","21yr 11mth","25 May 2004","191cm","Oakleigh Chargers","Defender","Midfield"
