"No","surname","first_name","Games","Age","Date of Birth","Height","Origin","Position_1","Position_2"
"26","Adams","Jed","1","21yr 11mth","14 May 2004","196cm","Peel Thunder","Defender",NA
"38","Berry","Oscar","0","","","196cm","North Florida Ospreys","Defender",NA
"17","Bowey","Jake","84","23yr 7mth","12 Sep 2002","175cm","Sandringham Dragons","Defender",NA
"29","Campbell","Tom","58","34yr 5mth","2 Nov 1991","201cm","Bendigo Bombers","Ruck",NA
"37","Chandler","Kade","86","26yr 3mth","13 Jan 2000","175cm","Norwood","Forward",NA
"41","Cross","Paddy","1","23yr 2mth","14 Feb 2003","181cm","Casey VFL","Forward",NA
"13","Culley","Jai","23","23yr 2mth","24 Feb 2003","194cm","Dandenong Stingrays","Midfield",NA
"31","Fritsch","Bayley","177","29yr 4mth","6 Dec 1996","188cm","Casey Demons","Forward",NA
"11","Gawn","Max","254","34yr 3mth","30 Dec 1991","209cm","Sandringham Dragons","Ruck",NA
"27","Heath","Max","6","23yr 6mth","24 Oct 2002","204cm","Sandringham Dragons","Forward","Ruck"
"43","Henderson","Jack","5","26yr 6mth","1 Oct 1999","176cm","Werribee","Forward",NA
"22","Howes","Blake","35","23yr","7 Apr 2003","191cm","Sandringham Dragons","Defender",NA
"21","Jefferson","Matthew","9","22yr 1mth","8 Mar 2004","195cm","Oakleigh Chargers","Forward",NA
"14","Jiath","Changkuoth","80","26yr 10mth","13 Jun 1999","185cm","Ethiopia","Defender",NA
"42","Johnson","Aidan","5","26yr 1mth","9 Mar 2000","193cm","Werribee","Forward",NA
"44","Kentfield","Luker","0","20yr 7mth","10 Sep 2005","194cm","Subiaco","Forward",NA
"15","Langdon","Ed","209","30yr 2mth","1 Feb 1996","182cm","Sandringham Dragons","Midfield","Forward"
"4","Langford","Harvey","29","20yr 1mth","15 Mar 2006","191cm","Dandenong Stingrays","Midfield",NA
"16","Laurie","Bailey","15","24yr 1mth","24 Mar 2002","179cm","Oakleigh Chargers","Forward",NA
"8","Lever","Jake","193","30yr 1mth","5 Mar 1996","194cm","Calder Cannons","Defender",NA
"5","Lindsay","Xavier","23","19yr 8mth","3 Aug 2006","183cm","Gippsland Power","Defender","Midfield"
"20","Matthews","Thomas","0","19yr 1mth","28 Feb 2007","171cm","Gippsland Power","Forward",NA
"1","May","Steven","251","34yr 3mth","10 Jan 1992","193cm","Southern Districts","Defender",NA
"23","McAdam","Shane","53","30yr 10mth","28 May 1995","186cm","Sturt","Forward",NA
"25","McDonald","Tom","252","33yr 7mth","18 Sep 1992","195cm","North Ballarat","Defender",NA
"18","Melksham","Jake","250","34yr 7mth","29 Aug 1991","186cm","Calder Cannons","Forward",NA
"39","Mentha","Ricky","0","19yr 7mth","4 Sep 2006","178cm","Gippsland Power","Defender","Forward"
"28","Mihocek","Brody","166","33yr 2mth","4 Feb 1993","192cm","Port Melbourne","Forward",NA
"45","Moniz-Wakefield","Andy","6","22yr 5mth","26 Oct 2003","182cm","NT Thunder","Defender",NA
"40","Onley","Riley","0","26yr 3mth","1 Jan 2000","","Murray Bushrangers","Midfield",NA
"35","Petty","Harrison","107","26yr 5mth","12 Nov 1999","197cm","Norwood","Defender","Forward"
"36","Pickett","Kysaiah","133","24yr 10mth","2 Jun 2001","171cm","Woodville West Torrens","Midfield","Forward"
"33","Pickett","Latrelle","7","20yr 3mth","28 Dec 2005","182cm","Glenelg","Forward",NA
"24","Rivers","Trent","125","24yr 8mth","30 Jul 2001","188cm","East Fremantle","Defender",NA
"3","Salem","Christian","204","30yr 9mth","15 Jul 1995","184cm","Sandringham Dragons","Defender",NA
"30","Sharp","Harry","41","23yr 4mth","17 Dec 2002","182cm","Gwv Rebels","Forward",NA
"32","Sparrow","Tom","124","25yr 10mth","31 May 2000","183cm","South Adelaide","Midfield","Forward"
"9","Steele","Jack","209","30yr 4mth","13 Dec 1995","187cm","Belconnen","Midfield",NA
"19","Taylor","Xavier","2","19yr 2mth","30 Jan 2007","192cm","Eastern Ranges","Defender",NA
"12","Tholstrup","Koltyn","26","20yr 9mth","28 Jun 2005","186cm","Subiaco","Defender","Forward"
"10","Turner","Daniel","43","24yr 2mth","28 Jan 2002","194cm","Murray Bushrangers","Defender",NA
"2","Van Rooyen","Jacob","64","23yr","16 Apr 2003","193cm","Claremont","Forward",NA
"7","Viney","Jack","237","32yr","13 Apr 1994","179cm","Oakleigh Chargers","Midfield",NA
"34","White","Kalani","0","18yr 11mth","5 May 2007","201cm","Casey Demons","Forward","Ruck"
"6","Windsor","Caleb","43","20yr 10mth","9 Jun 2005","185cm","Eastern Ranges","Defender","Midfield"
