"No","surname","first_name","Games","Age","Date of Birth","Height","Origin","Position_1","Position_2"
"34","Archer","Jackson","26","23yr 3mth","9 Jan 2003","187cm","Northern Knights","Defender",NA
"45","Banch","Zac","6","22yr 9mth","21 Jul 2003","175cm","Werribee","Forward",NA
"39","Blamires","Tom","6","23yr 8mth","13 Aug 2002","181cm","Frankston VFL","Defender","Midfield"
"21","Coleman-Jones","Callum","36","26yr 10mth","13 Jun 1999","200cm","Sturt","Ruck",NA
"30","Comben","Charlie","54","24yr 9mth","20 Jul 2001","199cm","Gippsland Power","Defender",NA
"4","Corr","Aidan","176","31yr 11mth","17 May 1994","195cm","Northern Knights","Defender",NA
"25","Curtis","Paul","84","23yr 1mth","4 Mar 2003","185cm","Western Jets","Forward",NA
"5","Daniel","Caleb","221","29yr 9mth","7 Jul 1996","171cm","South Adelaide","Defender",NA
"27","Darling","Jack","325","33yr 10mth","13 Jun 1992","191cm","West Perth","Forward",NA
"9","Davies-Uniacke","Luke","136","26yr 10mth","8 Jun 1999","188cm","Dandenong Stingrays","Midfield",NA
"18","Dawson","Wil","8","20yr 4mth","20 Dec 2005","200cm","Gipplands Power","Defender",NA
"1","Dovaston","Lachy","4","18yr 10mth","29 May 2007","178cm","Eastern Ranges","Forward",NA
"7","Duursma","Zane","29","20yr 7mth","28 Aug 2005","190cm","Gippsland Power","Defender","Forward"
"16","Fisher","Zac","132","27yr 10mth","15 Jun 1998","175cm","Perth","Forward",NA
"33","George","Brayden","0","22yr 3mth","13 Jan 2004","187cm","Murray Bushrangers","Forward",NA
"22","Goad","Taylor","0","20yr 11mth","28 Apr 2005","207cm","South Adelaide","Ruck",NA
"31","Goater","Josh","12","22yr 10mth","2 Jun 2003","190cm","Calder Cannons","Defender",NA
"46","Hansen","Robert","20","22yr 1mth","13 Mar 2004","182cm","Subiaco","Midfield","Forward"
"17","Hardeman","Riley","20","21yr 1mth","27 Feb 2005","184cm","Swan Districts","Defender",NA
"37","Harvey","Cooper","10","21yr 9mth","12 Jul 2004","180cm","Northern Knights","Forward",NA
"41","Konstanty","Jacob","25","21yr 5mth","9 Nov 2004","177cm","Gippsland Power","Forward",NA
"20","Larkey","Nick","140","27yr 10mth","6 Jun 1998","198cm","Oakleigh Chargers","Forward",NA
"19","Logue","Griffin","101","28yr","13 Apr 1998","193cm","Swan Districts","Defender",NA
"11","McDonald","Luke","224","31yr 2mth","9 Feb 1995","189cm","Werribee","Defender",NA
"10","McKercher","Colby","45","21yr","12 Apr 2005","182cm","Tasmania Devils","Defender",NA
"28","Mikunda","Hugo","0","19yr 1mth","13 Mar 2007","180cm","Geelong Falcons","Midfield","Forward"
"2","O'Sullivan","Finn","26","19yr 10mth","30 May 2006","182cm","Oakleigh Chargers","Defender","Midfield"
"26","Parker","Luke","321","33yr 6mth","25 Oct 1992","183cm","Dandenong Stingrays","Defender","Midfield"
"32","Pink","Toby","36","27yr 8mth","11 Aug 1998","194cm","Glenelg","Defender",NA
"24","Powell","Tom","97","24yr 1mth","2 Mar 2002","184cm","Sturt","Midfield","Forward"
"8","Scott","Bailey","113","25yr 9mth","9 Jul 2000","186cm","Gc Suns Academy","Midfield",NA
"3","Sheezel","Harry","73","21yr 6mth","13 Oct 2004","185cm","Sandringham Dragons","Midfield","Forward"
"12","Simpkin","Jy","179","28yr 1mth","5 Mar 1998","183cm","Murray Bushrangers","Midfield","Forward"
"13","Spargo","Charlie","110","26yr 5mth","25 Nov 1999","172cm","Murray Bushrangers","Forward",NA
"15","Stephens","Dylan","87","25yr 3mth","8 Jan 2001","184cm","Norwood","Midfield",NA
"36","Stevens","River","0","19yr 10mth","26 Jun 2006","176cm","Geelong Falcons","Midfield","Forward"
"23","Thredgold","Blake","0","18yr 7mth","27 Aug 2007","195cm","Sturt","Defender",NA
"47","Trembath","Cooper","9","20yr 6mth","17 Oct 2005","193cm","North Melbourne VFL","Forward",NA
"14","Urquhart","Luke","0","19yr 7mth","19 Sep 2006","184cm","East Fremantle","Midfield",NA
"6","Wardlaw","George","43","21yr 10mth","11 Jun 2004","182cm","Oakleigh Chargers","Midfield",NA
"35","Whitlock","Matt","2","19yr 11mth","16 May 2006","198cm","Murray Bushrangers","Defender","Forward"
"38","Xerri","Tristan","79","27yr 1mth","15 Mar 1999","202cm","Western Jets","Ruck",NA
"44","Zurhaar","Cameron","149","27yr 11mth","22 May 1998","190cm","East Fremantle","Forward",NA
