"No","surname","first_name","Games","Age","Date of Birth","Height","Origin","Position_1","Position_2"
"21","Aliir","Aliir","185","31yr 7mth","5 Sep 1994","194cm","East Fremantle","Defender",NA
"29","Anastasopoulos","Tom","0","20yr 10mth","31 May 2005","176cm","Geelong Falcons","Forward",NA
"40","Barrett","Benny","0","19yr 11mth","1 May 2006","172cm","South Adelaide","Midfield",NA
"14","Bergman","Miles","108","24yr 6mth","18 Oct 2001","189cm","Sandringham Dragons","Defender",NA
"5","Berry","Joe","19","20yr","18 Apr 2006","181cm","Murray Bushrangers","Forward",NA
"23","Brodie","Will","55","27yr 8mth","23 Aug 1998","190cm","Murray Bushrangers","Midfield",NA
"7","Burgoyne","Jase","63","22yr 9mth","15 Jul 2003","186cm","Eagles","Defender","Midfield"
"9","Butters","Zak","146","25yr 7mth","8 Sep 2000","181cm","Western Jets","Midfield",NA
"33","Byrne-Jones","Darcy","228","30yr 7mth","20 Sep 1995","181cm","Oakleigh Chargers","Defender","Forward"
"26","Cochrane","Tom","3","20yr 2mth","27 Jan 2006","182cm","Central District","Forward",NA
"28","Drew","Willem","137","27yr 6mth","1 Oct 1998","188cm","North Ballarat Rebels","Midfield",NA
"44","Durdin","Corey","71","24yr","14 Apr 2002","173cm","Central Districts","Forward",NA
"22","Evans","Logan","30","20yr 6mth","7 Oct 2005","189cm","Port Adelaide","Defender",NA
"6","Farrell","Kane","121","27yr 1mth","17 Mar 1999","182cm","Bendigo Pioneers","Defender",NA
"19","Georgiades","Mitch","99","24yr 6mth","28 Sep 2001","192cm","Subiaco","Forward",NA
"18","Horne-Francis","Jason","87","22yr 10mth","21 Jun 2003","185cm","South Adelaide","Midfield","Forward"
"34","Jones","Lachlan","80","24yr","9 Apr 2002","186cm","-","Defender",NA
"43","Lai","Josh","5","20yr 6mth","1 Oct 2005","185cm","Cheltenham","Defender","Midfield"
"50","Liddy","Mani","9","24yr 2mth","20 Feb 2002","181cm","Central Districts","Midfield",NA
"30","Lord","Ollie","35","24yr 3mth","2 Jan 2002","197cm","Sandringham Dragons","Forward",NA
"36","Lorenz","Will","8","21yr 2mth","19 Feb 2005","186cm","Oakleigh Chargers","Midfield",NA
"12","Lukosius","Jack","127","25yr 8mth","9 Aug 2000","195cm","Woodville-West Torrens","Forward",NA
"31","Mackinlay","Ewan","8","22yr 9mth","18 Jul 2003","182cm","North Adelaide","Midfield",NA
"4","Marshall","Todd","120","27yr 6mth","8 Oct 1998","198cm","Murray Bushrangers","Defender","Forward"
"3","Mead","Jackson","66","24yr 6mth","30 Sep 2001","184cm","Woodville West Torrens","Midfield",NA
"11","Moraes","Christian","16","19yr 5mth","8 Nov 2006","183cm","Eastern Ranges","Midfield",NA
"42","Moss","Jacob","0","21yr 4mth","22 Dec 2004","198cm","Sturt Sabres","Defender",NA
"41","O'Brien","Balyn","0","19yr 2mth","26 Jan 2007","187cm","Norwood","Defender",NA
"2","Powell-Pepper","Sam","158","28yr 3mth","8 Jan 1998","187cm","East Perth","Forward",NA
"32","Ramm","Harrison","1","19yr 4mth","5 Dec 2006","202cm","Glenelg","Defender",NA
"27","Ratugolea","Esava","114","27yr 9mth","24 Jul 1998","197cm","Murray Bushrangers","Defender",NA
"35","Richards","Joe","38","26yr 5mth","23 Nov 1999","177cm","Wangaratta","Forward",NA
"1","Rozee","Connor","152","26yr 3mth","22 Jan 2000","185cm","North Adelaide","Defender","Midfield"
"8","Sinn","Josh","30","23yr 3mth","7 Jan 2003","187cm","Sandringham Dragons","Defender",NA
"13","Soldo","Ivan","66","30yr","14 Apr 1996","204cm","Daramalan College","Forward","Ruck"
"24","Sweet","Jordon","53","28yr 2mth","2 Feb 1998","206cm","North Adelaide","Ruck",NA
"38","Visentini","Dante","17","23yr 2mth","13 Feb 2003","202cm","Sandringham Dragons","Ruck",NA
"45","Walsh","Xavier","0","20yr 7mth","6 Sep 2005","195cm","East Perth","Forward",NA
"37","Watkins","Jack","6","26yr 3mth","1 Jan 2000","","Port Adelaide","Midfield","Forward"
"15","Wehr","Jacob","46","27yr 9mth","5 Jul 1998","185cm","Woodville-west Torrens","Defender","Midfield"
"17","Whitlock","Jack","11","19yr 11mth","16 May 2006","200cm","Murray Bushrangers","Forward",NA
"16","Wines","Oliver","277","31yr 6mth","7 Oct 1994","187cm","Bendigo Pioneers","Midfield",NA
"39","Zadow","Mitch","1","22yr 1mth","11 Mar 2004","180cm","East Fremantle","Forward",NA
"25","Zerk-Thatcher","Brandon","90","27yr 8mth","25 Aug 1998","195cm","Sturt","Defender",NA
