"No","surname","first_name","Games","Age","Date of Birth","Height","Origin","Position_1","Position_2"
"29","Alger","Jasper","5","19yr 4mth","17 Dec 2006","183cm","Oakleigh Chargers","Forward",NA
"34","Armstrong","Harry","11","19yr 10mth","14 Jun 2006","195cm","Sandringham Dragons","Forward",NA
"21","Balta","Noah","123","26yr 6mth","23 Oct 1999","194cm","Calder Cannons","Defender","Forward"
"6","Banks","Sam","49","23yr","2 Apr 2003","187cm","Tasmania Devils","Defender","Midfield"
"35","Broad","Nathan","176","33yr","15 Apr 1993","192cm","Swan Districts","Defender",NA
"30","Brown","Tom","47","22yr 8mth","30 Jul 2003","193cm","Murray Bushrangers","Defender",NA
"45","Burton","Thomas","1","19yr 3mth","9 Jan 2007","178cm","Western Jets","Midfield",NA
"44","Campbell","Seth","50","21yr 3mth","29 Dec 2004","182cm","Tasmania Devils","Forward",NA
"23","Clarke","Judson","17","22yr 6mth","17 Oct 2003","180cm","Dandenong Stingrays","Forward",NA
"22","Cumming","Sam","1","18yr 8mth","27 Jul 2007","184cm","North Adelaide","Midfield",NA
"8","Faull","Jonty","22","20yr 2mth","1 Feb 2006","195cm","Greater Western Victoria Rebels","Forward",NA
"43","Fawcett","Liam","4","21yr","22 Apr 2005","197cm","Central District","Forward",NA
"18","Gibcus","Josh","22","23yr","4 Apr 2003","196cm","GWV Rebels","Defender",NA
"50","Gray","Campbell","9","22yr 8mth","1 Aug 2003","195cm","Essendon VFL","Defender","Ruck"
"48","Green","Steely","32","22yr 3mth","9 Jan 2004","179cm","South Fremantle","Forward",NA
"24","Grlj","Samuel","7","18yr 8mth","26 Jul 2007","182cm","Oakleigh Chargers","Defender","Midfield"
"47","Hayes-Brown","Oliver","1","25yr 11mth","28 Apr 2000","208cm","Perth Wildcats","Ruck",NA
"2","Hopper","Jacob","171","29yr 2mth","6 Feb 1997","187cm","North Ballarat Rebels","Midfield",NA
"10","Hotton","Taj","7","19yr 10mth","17 Jun 2006","182cm","Sandringham Dragons","Forward",NA
"4","Lalor","Sam","18","19yr 7mth","30 Aug 2006","188cm","Greater Western Victoria Rebels","Midfield","Forward"
"42","Lefau","Mykelti","17","27yr 10mth","22 Jun 1998","195cm","Rugby League","Forward",NA
"19","Lynch","Tom","239","33yr 5mth","31 Oct 1992","199cm","Dandenong Stingrays","Forward",NA
"7","Mansell","Rhyan","74","25yr 10mth","4 Jun 2000","180cm","Woodville West-Torrens","Forward",NA
"28","McAuliffe","Kane","18","21yr 1mth","1 Mar 2005","187cm","North Adelaide","Midfield",NA
"12","Miller","Ben","76","26yr 7mth","31 Aug 1999","198cm","Subiaco","Defender",NA
"25","Nankervis","Toby","181","31yr 8mth","12 Aug 1994","199cm","North Launceston","Ruck",NA
"26","Peucker","Zane","0","18yr 4mth","4 Dec 2007","180cm","Woodville-West Torrens","Midfield","Forward"
"3","Prestia","Dion","243","33yr 6mth","12 Oct 1992","175cm","Calder Cannons","Midfield","Forward"
"13","Ralphsmith","Hugo","67","24yr 5mth","9 Nov 2001","187cm","Sandringham Dragons","Midfield",NA
"33","Retschko","Patrick","2","20yr 1mth","28 Feb 2006","186cm","Oakleigh Chargers","Midfield",NA
"17","Rioli","Maurice","55","23yr 7mth","1 Sep 2002","179cm","Oakleigh","Forward",NA
"27","Roberts-Thomson","Noah","0","19yr","29 Mar 2007","181cm","Sturt","Midfield",NA
"5","Ross","Jack","100","25yr 7mth","3 Sep 2000","187cm","Oakleigh Chargers","Midfield","Forward"
"32","Ryan","Samson","28","25yr 4mth","9 Dec 2000","206cm","Lions Academy","Ruck",NA
"15","Short","Jayden","196","30yr 3mth","24 Jan 1996","178cm","Northern Knights","Defender",NA
"38","Sims","Thomas","11","19yr 11mth","12 May 2006","199cm","Northern Knights","Forward",NA
"16","Smillie","Josh","0","19yr 11mth","17 May 2006","195cm","Eastern Ranges","Midfield",NA
"49","Smith","Kaleb","12","21yr 5mth","20 Nov 2004","181cm","East Fremantle","Defender",NA
"40","Sonsie","Tyler","45","23yr 2mth","27 Jan 2003","181cm","Eastern Ranges","Midfield","Forward"
"14","Taranto","Tim","179","28yr 2mth","28 Jan 1998","188cm","Sandringham Dragons","Midfield",NA
"11","Trainor","Luke","24","20yr","10 Apr 2006","193cm","Sandringham Dragons","Defender",NA
"36","Trezise","James","27","23yr 10mth","15 Jun 2002","188cm","Richmond","Midfield",NA
"1","Vlastuin","Nick","261","32yr","19 Apr 1994","187cm","Northern Knights","Defender",NA
