"No","surname","first_name","Games","Age","Date of Birth","Height","Origin","Position_1","Position_2"
"46","Armstrong","Eamonn","0","19yr 8mth","26 Jul 2006","191cm","Meath GAA","Defender",NA
"36","Banfield","Charlie","0","18yr 9mth","18 Jul 2007","192cm","Claremont","Midfield","Forward"
"28","Barrat","James","0","19yr 5mth","23 Nov 2006","194cm","Bendigo Pioneers","Defender","Forward"
"38","Boxshall","Hugh","16","19yr 9mth","11 Jul 2006","188cm","Claremont","Midfield",NA
"16","Butler","Daniel","155","29yr 10mth","3 Jun 1996","182cm","North Ballarat Rebels","Forward",NA
"13","Byrnes","Ryan","80","24yr 11mth","3 May 2001","181cm","Sandringham Dragons","Defender",NA
"47","Caminiti","Anthony","60","22yr 4mth","9 Dec 2003","196cm","Northern Knights","Defender",NA
"18","Carroll","Jack","31","23yr 4mth","20 Dec 2002","188cm","East Fremantle","Defender","Midfield"
"11","Clark","Hunter","114","27yr","26 Mar 1999","186cm","Dandenong Stingrays","Midfield",NA
"4","Collard","Lance","15","21yr","26 Mar 2005","185cm","Subiaco","Forward",NA
"21","De Koning","Tom","107","26yr 9mth","16 Jul 1999","201cm","Dandenong Stingrays","Ruck",NA
"30","Dodson","Alex","1","19yr 10mth","15 Jun 2006","203cm","Sturt","Forward",NA
"15","Dow","Paddy","83","26yr 6mth","16 Oct 1999","184cm","Bendigo Pioneers","Midfield",NA
"37","Fincher","Kye","0","18yr 5mth","18 Nov 2007","186cm","Sandringham Dragons","Defender","Midfield"
"9","Flanders","Sam","96","24yr 9mth","24 Jul 2001","183cm","Gippsland Power","Midfield","Forward"
"34","Garcia","Hugo","33","20yr 11mth","22 May 2005","185cm","Calder Cannons","Midfield",NA
"40","Hall","Max","30","24yr","15 Apr 2002","183cm","Box Hill","Forward",NA
"24","Hastie","Angus","14","20yr 7mth","19 Sep 2005","190cm","Geelong Falcons","Defender",NA
"23","Henry","Liam","61","24yr 7mth","28 Aug 2001","180cm","Claremont","Forward",NA
"1","Higgins","Jack","152","27yr 1mth","19 Mar 1999","178cm","Oakleigh Chargers","Forward",NA
"8","Hill","Bradley","284","32yr 9mth","9 Jul 1993","182cm","West Perth","Midfield","Forward"
"20","Howard","Dougal","140","30yr 1mth","25 Mar 1996","199cm","Murray Bushrangers","Defender",NA
"17","Keeler","Isaac","12","22yr","23 Apr 2004","198cm","North Adelaide","Forward",NA
"12","King","Max","83","25yr 9mth","7 Jul 2000","202cm","Sandringham Dragons","Forward",NA
"6","Macrae","Jackson","272","31yr 8mth","3 Aug 1994","192cm","Oakleigh Chargers","Midfield",NA
"19","Marshall","Rowan","162","30yr 5mth","24 Nov 1995","201cm","North Ballarat","Forward","Ruck"
"42","McDonald","Kobe","0","18yr 4mth","8 Dec 2007","193cm","Mayo GAA","Defender",NA
"45","O'Connell","Liam","7","23yr 1mth","4 Mar 2003","189cm","Ireland","Defender",NA
"10","Owens","Mitchito","79","22yr 7mth","24 Sep 2003","191cm","Sandringham Dragons","Forward",NA
"25","Phillipou","Mattaes","51","21yr 3mth","27 Dec 2004","190cm","Eagles","Midfield","Forward"
"31","Ryan","Liam","132","29yr 6mth","2 Oct 1996","181cm","Subiaco","Forward",NA
"33","Said","Patrick","0","20yr","24 Apr 2006","180cm","Calder Cannons","Midfield","Forward"
"43","Sharman","Cooper","77","25yr 9mth","25 Jul 2000","193cm","Woodville-West Torrens","Forward",NA
"3","Silvagni","Jack","135","28yr 4mth","17 Dec 1997","194cm","Oakleigh Chargers","Defender",NA
"35","Sinclair","Jack","217","31yr 2mth","12 Feb 1995","181cm","Oakleigh Chargers","Defender",NA
"14","Stocker","Liam","87","26yr 3mth","23 Jan 2000","184cm","Sandringham Dragons","Defender",NA
"26","Tauru","Alix","15","19yr 5mth","16 Nov 2006","193cm","Gippsland Power","Defender","Forward"
"5","Travaglia","Tobie","12","19yr 5mth","26 Oct 2006","187cm","Bendigo Pioneers","Defender","Midfield"
"7","Wanganeen-Milera","Nasiah","93","23yr 2mth","22 Feb 2003","187cm","Glenelg","Defender","Midfield"
"44","Wilkie","Callum","162","30yr 1mth","10 Mar 1996","191cm","North Adelaide","Defender",NA
"22","Wilson","Darcy","48","20yr 8mth","18 Aug 2005","185cm","Murray Bushrangers","Midfield","Forward"
"2","Windhager","Marcus","82","22yr 11mth","16 May 2003","185cm","Sandringham Dragons","Defender","Midfield"
"32","Wood","Mason","163","32yr 7mth","13 Sep 1993","192cm","Geelong Falcons","Midfield","Forward"
