"No","surname","first_name","Games","Age","Date of Birth","Height","Origin","Position_1","Position_2"
"3","Adams","Taylor","229","32yr 7mth","20 Sep 1993","181cm","Geelong Falcons","Forward",NA
"36","Amartey","Joel","68","26yr 7mth","2 Sep 1999","195cm","Sandringham Dragons","Forward",NA
"20","Andrew","Riak","0","21yr 2mth","17 Feb 2005","193cm","Dandenong Stingrays","Defender",NA
"26","Bice","Riley","23","25yr 6mth","26 Sep 2000","185cm","Werribee","Defender",NA
"22","Blakey","Nick","158","26yr 1mth","27 Feb 2000","196cm","UNSW","Defender",NA
"23","Bowman","Ned","0","19yr 7mth","12 Sep 2006","186cm","Norwood","Forward",NA
"16","Campbell","Braeden","94","24yr 2mth","4 Feb 2002","181cm","Sydney Academy","Forward",NA
"42","Chamberlain","Noah","0","19yr 1mth","21 Mar 2007","191cm","St Ives Saints","Forward",NA
"33","Cleary","Caiden","18","21yr 1mth","5 Mar 2005","182cm","Sydney University","Forward",NA
"25","Cootee","Billy","1","23yr 4mth","18 Dec 2002","179cm","Norwood","Midfield",NA
"7","Cunningham","Harry","223","32yr 4mth","6 Dec 1993","181cm","Turvey Park","Defender",NA
"35","Curnow","Charlie","156","29yr 2mth","3 Feb 1997","194cm","Geelong Falcons","Forward",NA
"9","Dattoli","Jesse","3","19yr 9mth","7 Jul 2006","179cm","Northern Knights","Forward",NA
"28","Edwards","Will","1","22yr 11mth","8 May 2003","197cm","Sydney","Defender",NA
"45","Green","Will","0","20yr 7mth","8 Sep 2005","204cm","Northern Knights","Ruck",NA
"4","Grundy","Brodie","249","32yr","15 Apr 1994","202cm","Sturt","Ruck",NA
"21","Gulden","Errol","105","23yr 9mth","18 Jul 2002","175cm","Sydney Academy","Midfield",NA
"29","Hamling","Joel","107","33yr","9 Apr 1993","194cm","Claremont","Defender",NA
"40","Hanily","Tom","8","20yr 10mth","31 May 2005","179cm","Gippsland Power","Forward",NA
"5","Heeney","Isaac","229","29yr 11mth","5 May 1996","185cm","Cardiff","Midfield",NA
"39","Hetherton","Liam","0","18yr 11mth","2 May 2007","198cm","Murray Bushrangers","Forward",NA
"17","Jordon","James","121","25yr 4mth","20 Dec 2000","187cm","Oakleigh Chargers","Midfield","Forward"
"31","King","Max","0","19yr 3mth","9 Jan 2007","192cm","Sydney Swans Academy","Forward",NA
"32","Kyle","Harry","0","18yr 9mth","16 Jul 2007","188cm","Sydney Swans Academy","Defender","Midfield"
"19","Ladhams","Peter","63","28yr 3mth","14 Jan 1998","204cm","Norwood","Forward","Ruck"
"44","Lloyd","Jake","278","32yr 7mth","20 Sep 1993","182cm","North Ballarat Rebels","Midfield","Forward"
"30","McCartin","Tom","159","26yr 3mth","30 Dec 1999","194cm","Geelong Falcons","Defender",NA
"6","McDonald","Logan","77","24yr","4 Apr 2002","195cm","Perth Fc","Forward",NA
"27","McInerney","Justin","116","25yr 8mth","18 Aug 2000","189cm","Northern Knights","Midfield","Forward"
"2","McLean","Hayden","98","27yr 3mth","20 Jan 1999","197cm","Sandringham","Forward",NA
"43","Melican","Lewis","105","29yr 5mth","4 Nov 1996","194cm","Geelong Falcons","Defender",NA
"14","Mills","Callum","181","29yr","2 Apr 1997","188cm","North Shore","Defender",NA
"11","Papley","Tom","203","29yr 9mth","13 Jul 1996","177cm","Gippsland Power","Forward",NA
"18","Phillipou","Jevan","0","19yr","30 Mar 2007","183cm","Woodville-West Torrens","Midfield",NA
"24","Rampe","Dane","278","35yr 10mth","2 Jun 1990","187cm","Williamstown","Defender",NA
"34","Roberts","Matthew","55","22yr 8mth","31 Jul 2003","184cm","South Adelaide","Defender","Midfield"
"10","Rosas","Malcolm","55","24yr 9mth","27 Jun 2001","180cm","NT Thunder","Forward",NA
"8","Rowbottom","James","147","25yr 7mth","19 Sep 2000","186cm","Oakleigh Chargers","Midfield",NA
"13","Serong","Jai","17","23yr 2mth","16 Feb 2003","193cm","Gippsland Power","Defender","Midfield"
"12","Sheldrick","Angus","35","22yr 5mth","7 Nov 2003","178cm","Claremont","Midfield",NA
"41","Snell","Patrick","0","20yr 9mth","18 Jul 2005","194cm","Wilston Grange","Defender","Forward"
"1","Warner","Chad","115","24yr 11mth","19 May 2001","185cm","East Fremantle","Midfield","Forward"
"37","Warner","Corey","27","22yr 6mth","7 Oct 2003","182cm","East Fremantle","Midfield","Forward"
"15","Wicks","Sam","94","26yr 7mth","14 Sep 1999","181cm","Swans Academy","Defender",NA
