"No","surname","first_name","Games","Age","Date of Birth","Height","Origin","Position_1","Position_2"
"26","Allan","Bo","13","20yr 2mth","16 Feb 2006","191cm","Peel Thunder","Defender","Midfield"
"12","Allen","Sam","0","19yr 3mth","13 Jan 2007","184cm","Oakleigh Chargers","Midfield","Forward"
"3","Baker","Liam","157","28yr 2mth","27 Jan 1998","173cm","Subiaco","Defender",NA
"30","Barnett","Harry","2","22yr 3mth","22 Jan 2004","203cm","West Adelaide","Ruck",NA
"33","Bazzo","Rhett","28","22yr 6mth","17 Oct 2003","195cm","Swan Districts","Defender",NA
"41","Brock","Sandy","18","23yr 4mth","14 Dec 2002","198cm","Peel Thunder","Defender",NA
"10","Brockman","Tyler","56","23yr 5mth","22 Nov 2002","180cm","Subiaco","Forward",NA
"37","Champion","Malakai","4","19yr 11mth","17 May 2006","172cm","Subiaco","Forward",NA
"28","Cole","Tom","132","28yr 10mth","28 May 1997","188cm","Sandhurst Football Netball Club","Defender",NA
"15","Cripps","Jamie","277","34yr","23 Apr 1992","184cm","East Fremantle","Forward",NA
"38","Davis","Hamish","15","19yr 11mth","2 May 2006","190cm","Claremont","Midfield",NA
"43","Dewar","Tyrell","23","22yr","27 Mar 2004","185cm","Subiaco","Defender","Midfield"
"21","Duff-Tytler","Cooper","7","18yr 8mth","22 Aug 2007","201cm","Calder Cannons","Forward","Ruck"
"14","Duggan","Liam","207","29yr 4mth","11 Dec 1996","186cm","Western Jets","Defender",NA
"1","Duursma","Willem","7","18yr 10mth","21 Jun 2007","193cm","Gippsland Power","Midfield",NA
"42","Edwards","Harry","56","25yr 6mth","1 Oct 2000","200cm","Swan Districts","Defender",NA
"25","Flynn","Matthew","59","28yr 7mth","13 Sep 1997","202cm","Narrandera","Ruck",NA
"7","Ginbey","Reuben","70","21yr 7mth","10 Sep 2004","191cm","East Perth","Defender",NA
"17","Graham","Jack","154","28yr 2mth","25 Feb 1998","181cm","North Adelaide","Midfield","Forward"
"31","Grego","Lucca","1","19yr 8mth","15 Aug 2006","184cm","Western Jets","Defender",NA
"27","Gross","Tom","8","19yr 7mth","15 Sep 2006","181cm","Oakleigh Chargers","Midfield","Forward"
"29","Hall","Clay","16","20yr 11mth","12 May 2005","190cm","Peel Thunder","Midfield",NA
"8","Hewett","Elijah","37","21yr 10mth","27 May 2004","186cm","Swan Districts","Midfield",NA
"19","Hough","Brady","82","23yr 1mth","5 Mar 2003","191cm","Peel Thunder","Defender","Midfield"
"44","Hutchinson","Jack","23","24yr 5mth","10 Nov 2001","190cm","Collingwood VFL","Midfield",NA
"24","Johnston","Harvey","6","20yr 8mth","18 Aug 2005","185cm","Sandringham Dragons","Defender",NA
"11","Kelly","Tim","170","31yr 8mth","26 Jul 1994","184cm","South Fremantle","Midfield","Forward"
"5","Lindsay","Josh","6","19yr","7 Apr 2007","183cm","Geelong Falcons","Defender",NA
"13","Long","Noah","36","21yr 8mth","23 Aug 2004","179cm","Bendigo Pioneeers","Forward",NA
"45","Macrae","Finlay","21","24yr 1mth","13 Mar 2002","188cm","Oakleigh Chargers","Midfield","Forward"
"23","Maric","Ryan","53","21yr 7mth","6 Sep 2004","196cm","Gippsland Power","Defender",NA
"18","McCarthy","Tom","17","25yr 9mth","12 Jul 2000","188cm","Richmond VFL","Defender",NA
"47","Murdock","Milan","4","25yr 9mth","30 Jun 2000","180cm","East Fremantle","Midfield",NA
"46","Newton","Jacob","5","20yr 1mth","20 Mar 2006","179cm","Norwood","Forward",NA
"16","Owies","Matt","90","29yr 1mth","19 Mar 1997","179cm","St Kevins","Forward",NA
"22","Reid","Archer","20","20yr 7mth","19 Sep 2005","203cm","Gippsland Power","Forward",NA
"9","Reid","Harley","46","21yr","17 Apr 2005","187cm","Bendigo Pioneers","Midfield",NA
"40","Robertson","Deven","51","24yr 9mth","30 Jun 2001","185cm","Perth","Midfield","Forward"
"39","Rodriguez","Fred","0","26yr 3mth","1 Jan 2000","","South Fremantle","Forward",NA
"48","Schoenberg","Harry","66","25yr 2mth","21 Feb 2001","180cm","Woodville West Torrens","Midfield","Forward"
"35","Shanahan","Jobe","16","19yr 8mth","2 Aug 2006","195cm","Bendigo Pioneers","Forward",NA
"4","Starcevich","Brandon","132","26yr 9mth","24 Jul 1999","188cm","East Perth","Defender",NA
"2","Waterman","Jake","119","27yr 11mth","6 May 1998","192cm","Claremont","Forward",NA
"32","Williams","Bailey J.","91","26yr","17 Apr 2000","201cm","Dandenong Stingrays","Forward","Ruck"
"34","Williams","Jack","43","22yr 4mth","1 Dec 2003","198cm","East Fremantle","Forward",NA
"36","Williams","Tylah","0","19yr 2mth","22 Feb 2007","176cm","Swan Districts","Midfield","Forward"
"6","Yeo","Elliot","217","32yr 6mth","1 Oct 1993","191cm","East Fremantle","Midfield","Forward"
"20","Young","Tylar","42","27yr 7mth","5 Sep 1998","196cm","Richmond VFL","Defender",NA
