"No","surname","first_name","Games","Age","Date of Birth","Height","Origin","Position_1","Position_2"
"13","Baker","Oskar","55","27yr 11mth","25 May 1998","184cm","Aspley","Defender","Midfield"
"4","Bontempelli","Marcus","265","30yr 5mth","24 Nov 1995","194cm","Northern Knights","Midfield",NA
"29","Bramble","Lachlan","84","28yr","19 Apr 1998","182cm","Box Hill","Defender","Forward"
"19","Budarick","Connor","60","25yr","6 Apr 2001","175cm","Gold Coast Suns Academy","Defender","Forward"
"5","Busslinger","Jedd","8","22yr 1mth","11 Mar 2004","198cm","East Perth","Defender",NA
"2","Carmichael","Lachlan","0","18yr 7mth","27 Aug 2007","184cm","Sydney Swans Academy","Defender","Midfield"
"36","Cleary","Luke","23","24yr 1mth","5 Mar 2002","191cm","Sandringham Dragons","Defender",NA
"17","Coffield","Nicholas","64","26yr 6mth","23 Oct 1999","191cm","Northern Knights","Defender",NA
"16","Croft","Jordan","7","20yr 11mth","12 May 2005","201cm","Calder Cannons","Forward",NA
"31","Dale","Bailey","185","29yr 9mth","22 Jul 1996","188cm","Dandenong Stingrays","Defender",NA
"10","Darcy","Sam","51","22yr 9mth","19 Jul 2003","208cm","Oakleigh Chargers","Forward",NA
"15","Darcy","Will","0","19yr 1mth","14 Mar 2007","196cm","Oakleigh Chargers","Defender","Forward"
"42","Davidson","Sam","26","24yr 4mth","13 Dec 2001","190cm","Richmond","Midfield","Forward"
"26","Dolan","Josh","14","19yr 5mth","11 Nov 2006","177cm","Sandringham Dragons","Forward",NA
"25","Emmett","Louis","3","19yr 1mth","23 Mar 2007","200cm","Oakleigh Chargers","Ruck",NA
"44","English","Timothy","158","28yr 8mth","10 Aug 1997","208cm","South Fremantle","Ruck",NA
"27","Freijah","Joel","43","20yr 5mth","14 Nov 2005","191cm","Greater Western Victoria Rebels","Midfield","Forward"
"12","Gallagher","Harvey","26","22yr 6mth","26 Sep 2003","181cm","Bendigo Pioneers","Defender",NA
"38","Garcia","Riley","39","25yr 2mth","30 Jan 2001","178cm","Swan Districts","Midfield","Forward"
"43","Gardner","Ryan","55","28yr 10mth","1 Jun 1997","197cm","Burnie Dockers","Defender",NA
"22","Harmes","James","174","30yr 6mth","5 Oct 1995","186cm","Dandenong Stingrays","Midfield",NA
"6","Hynes","Cooper","14","20yr 1mth","28 Feb 2006","190cm","Dandenong Stingrays","Forward",NA
"11","Jaques","Lachie","6","19yr 10mth","1 Jun 2006","184cm","Geelong Falcons","Defender",NA
"32","Jones","Arthur","20","22yr 9mth","18 Jul 2003","180cm","Claremont","Midfield","Forward"
"35","Kennedy","Luke","0","19yr 6mth","11 Oct 2006","181cm","Sandringham Dragons","Midfield",NA
"8","Kennedy","Matthew","148","29yr","6 Apr 1997","188cm","Collingullie Ashmont Kapooka","Midfield",NA
"24","Khamis","Buku","48","26yr 1mth","24 Mar 2000","191cm","Western Jets","Defender","Forward"
"28","Lewis","Will","3","26yr 11mth","5 May 1999","194cm","Footscray VFL","Forward",NA
"21","Liberatore","Thomas","261","33yr 11mth","16 May 1992","184cm","Calder Cannons","Midfield",NA
"7","Lobb","Rory","205","33yr 2mth","9 Feb 1993","207cm","Swan Districts","Defender",NA
"30","McNeil","Lachlan","76","24yr 7mth","2 Sep 2001","184cm","Woodville-West Torrens","Forward",NA
"33","Naughton","Aaron","173","26yr 4mth","30 Nov 1999","196cm","Peel Thunder","Forward",NA
"18","O'Donnell","James","54","23yr 7mth","31 Aug 2002","197cm","Cricket","Defender",NA
"20","Richards","Ed","154","26yr 9mth","3 Jul 1999","188cm","Oakleigh Chargers","Midfield",NA
"9","Sanders","Ryley","41","21yr 3mth","21 Jan 2005","186cm","Sandringham Dragons","Midfield","Forward"
"37","Sellwood","Michael","7","22yr 6mth","2 Oct 2003","186cm","Peel Thunder","Defender",NA
"40","Smith","Lachlan","1","20yr 6mth","5 Oct 2005","203cm","Gippsland Power","Ruck",NA
"1","Treloar","Adam","259","33yr 1mth","9 Mar 1993","185cm","Aspendale","Midfield","Forward"
"23","Vandermeer","Laitham","87","27yr 2mth","3 Feb 1999","182cm","Murray Bushrangers","Forward",NA
"41","Walker","Zac","0","20yr 1mth","3 Mar 2006","191cm","Gippsland","Defender",NA
"3","Weightman","Cody","76","25yr 3mth","15 Jan 2001","179cm","Dandenong Stingrays","Forward",NA
"14","West","Rhylee","88","25yr 9mth","12 Jul 2000","183cm","Calder Cannons","Forward",NA
"34","Williams","Bailey","181","28yr 6mth","10 Oct 1997","190cm","Glenelg","Defender","Midfield"
