id,firstName,lastName,team,debutYear,finalYear,gamesPlayed,fameSource,position
adam-cooney,Adam,Cooney,Essendon,2015,2016,31,Brownlow,
adam-goodes,Adam,Goodes,Sydney,1999,2015,372,Brownlow,
alex-jesaulenko,Alex,Jesaulenko,St Kilda,1980,1981,23,Captain|Legend,
andrew-embley,Andrew,Embley,West Coast,1999,2013,250,NormSmith,
andrew-mcleod,Andrew,McLeod,Adelaide,1995,2010,340,NormSmith,
barry-davis,Barry,Davis,North Melbourne,1973,1975,71,Captain,
barry-hall,Barry,Hall,Western Bulldogs,2010,2011,39,Captain,
ben-cousins,Ben,Cousins,Richmond,2009,2010,32,Brownlow,
bernie-quinlan,Bernie,Quinlan,Fitzroy,1978,1986,189,Brownlow|Coleman,
bill-hutchison,Bill,Hutchison,Essendon,1942,1957,290,Legend,
bob-pratt,Bob,Pratt,Sydney,1955,1958,35,Legend,
bob-skilton,Bob,Skilton,Sydney,1956,1971,237,Legend,
brad-hardie,Brad,Hardie,Collingwood,1992,1992,2,Brownlow,
brendan-fevola,Brendan,Fevola,Brisbane,2010,2010,17,Coleman,
brian-lake,Brian,Lake,Hawthorn,2013,2015,54,NormSmith,
brian-taylor,Brian,Taylor,Collingwood,1985,1990,97,Coleman,
brian-wilson,Brian,Wilson,St Kilda,1991,1991,7,Brownlow,
bruce-doull,Bruce,Doull,Carlton,1969,1986,356,NormSmith,
bruce-monteath,Bruce,Monteath,Richmond,1975,1980,118,Captain,
byron-pickett,Byron,Pickett,Melbourne,2006,2007,29,NormSmith,
cameron-ling,Cameron,Ling,Geelong,2000,2011,246,Captain,
chris-judd,Chris,Judd,Carlton,2008,2015,145,Brownlow|Captain|NormSmith,
colin-robertson,Colin,Robertson,Hawthorn,1980,1986,116,NormSmith,
cyril-rioli,Cyril,Rioli,Hawthorn,2008,2018,189,NormSmith,
dane-swan,Dane,Swan,Collingwood,2003,2016,258,Brownlow,
darrel-baldock,Darrel,Baldock,St Kilda,1962,1968,119,Legend,
david-dench,David,Dench,North Melbourne,1969,1984,275,Captain,
david-neitz,David,Neitz,Melbourne,1993,2008,306,Coleman,
david-parkin,David,Parkin,Hawthorn,1961,1974,211,Captain,
david-rhys-jones,David,Rhys-Jones,Carlton,1985,1992,106,NormSmith,
dean-kemp,Dean,Kemp,West Coast,1990,2001,243,NormSmith,
dick-reynolds,Dick,Reynolds,Essendon,1933,1951,320,Legend,
don-scott,Don,Scott,Hawthorn,1967,1981,302,Captain,
doug-wade,Doug,Wade,North Melbourne,1973,1975,59,Coleman,
dustin-martin,Dustin,Martin,Richmond,2010,2024,302,Brownlow|NormSmith,
easton-wood,Easton,Wood,Western Bulldogs,2009,2021,188,Captain,
fraser-gehrig,Fraser,Gehrig,St Kilda,2001,2008,145,Coleman,
gary-ablett,Gary,Ablett,Geelong,2002,2020,247,Brownlow,
gary-ayres,Gary,Ayres,Hawthorn,1978,1993,269,NormSmith,
gary-dempsey,Gary,Dempsey,North Melbourne,1979,1984,122,Brownlow,
gavin-wanganeen,Gavin,Wanganeen,Port Adelaide,1997,2006,173,Brownlow,
gerard-healy,Gerard,Healy,Sydney,1986,1990,81,Brownlow,
glenn-archer,Glenn,Archer,North Melbourne,1992,2007,311,NormSmith,
gordon-coventry,Gordon,Coventry,Collingwood,1920,1937,306,Legend,
graham-farmer,Graham,Farmer,Geelong,1962,1967,101,Legend,
graham-moss,Graham,Moss,Essendon,1973,1976,84,Brownlow,
